hour,n_transacoes,ticket_medio,itens_medio,pct,nosso_turno
0,67,54.254179104477615,5.492537313432836,0.3615563110463548,2
1,86,49.71604651162791,4.848837209302325,0.4640872052236792,2
2,104,50.99394230769231,4.8173076923076925,0.5612217365495655,2
3,76,49.21736842105263,4.684210526315789,0.41012357670929794,2
4,197,50.46228426395939,4.847715736040609,1.063083481733312,2
5,167,55.010359281437125,5.155688622754491,0.9011925961901679,2
6,467,48.79670235546039,4.680942184154175,2.520101451621607,0
7,439,50.72036446469249,4.911161731207289,2.3690032917813393,0
8,1086,50.37448434622468,4.851749539594843,5.86045005666181,0
9,1174,52.03231686541738,4.957410562180579,6.3353299875883655,0
10,1296,51.05270061728395,4.847993827160494,6.9936862554638175,0
11,1267,51.005895816890295,4.87292817679558,6.837191732772112,0
12,1119,49.92185880250223,4.7560321715817695,6.038530030759269,0
13,1165,52.07504721030043,4.932188841201716,6.286762721925422,0
14,1331,50.569624342599546,4.813673929376408,7.1825589552641524,1
15,1381,49.57244750181029,4.790007241129616,7.452377097836059,1
16,1330,50.51075939849624,4.836842105263158,7.1771625924127145,1
17,1291,51.279837335398916,4.87141750580945,6.966704441206627,1
18,1193,49.57409891031014,4.75943000838223,6.43786088176569,1
19,1223,50.500433360588715,4.838103025347506,6.599751767308834,1
20,728,48.47767857142857,4.649725274725275,3.928552155846959,2
21,766,49.682271540469976,4.775456919060052,4.133613944201608,2
22,291,50.694226804123716,4.81786941580756,1.570341589768496,2
23,287,50.1805574912892,4.7595818815331015,1.5487561383627435,2
