politica,reward_medio,reward_std,lucro_medio,perdas_medio,rupturas_medio
DQN V12 (nosso),846261.31,7339.54,659467.71,1751.33,160.17
DQN V11.7,872803.81,5832.26,658349.83,1730.71,168.96
Sempre combo,541350.2,6676.08,658048.6,1768.1,139.93
Aleatória,465202.84,9261.42,652014.89,1755.3,134.88
Sem promoção,574200.2,6676.08,658048.6,1768.1,139.93
