seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
42,0,1095,453928.16,637771.44,1828.4,74.4,0.988,145.7443,94.5,0.401
42,1,1095,437338.4,635059.74,1794.3,126.7,0.9761,130.4796,93.5,0.418
42,2,1095,444671.12,623388.35,1736.5,97.5,0.9644,136.3782,90.3,0.434
42,3,1095,441569.62,638369.59,1703.3,129.6,0.9529,130.6286,90.3,0.451
42,4,1095,457935.9,641260.65,1680.8,118.4,0.9414,127.5777,89.1,0.467
42,5,1095,424578.28,629037.31,1808.1,70.4,0.9301,121.8829,87.9,0.484
42,6,1095,444051.8,639006.35,1865.7,62.7,0.919,110.5665,88.1,0.5
42,7,1095,453306.9,621277.7,1755.6,75.6,0.9079,101.5678,88.3,0.516
42,8,1095,444767.2,627600.46,1842.2,63.9,0.897,94.5129,88.9,0.533
42,9,1095,440528.8,622644.19,1793.7,91.1,0.8863,90.2281,90.4,0.549
42,10,1095,443134.62,627750.8,1768.9,150.0,0.8756,85.6026,89.7,0.566
42,11,1095,462166.28,653195.54,1806.2,113.2,0.8651,90.9682,88.5,0.582
42,12,1095,453699.53,630788.42,1749.2,83.0,0.8548,83.3236,88.9,0.599
42,13,1095,464269.62,633761.82,1733.5,57.7,0.8445,79.7657,90.2,0.615
42,14,1095,449466.9,630174.94,1791.2,77.2,0.8344,77.2599,89.0,0.631
42,15,1095,451797.72,618385.04,1821.5,165.3,0.8243,75.3233,90.2,0.648
42,16,1095,472257.38,633520.61,1743.6,65.7,0.8145,75.6998,89.2,0.664
42,17,1095,451340.1,628424.39,1821.1,88.1,0.8047,71.3345,88.9,0.681
42,18,1095,474739.97,627042.75,1783.7,161.8,0.795,70.8956,88.4,0.697
42,19,1095,472983.8,632557.08,1727.7,84.9,0.7855,68.2643,86.7,0.714
42,20,1095,483015.1,641032.89,1724.8,77.3,0.7761,65.9797,88.0,0.73
42,21,1095,484359.9,636173.13,1788.5,80.6,0.7667,66.5438,86.3,0.746
42,22,1095,496823.6,630287.4,1770.2,80.0,0.7575,63.1942,87.3,0.763
42,23,1095,490420.1,622018.75,1668.3,109.4,0.7485,60.1688,87.3,0.779
42,24,1095,491061.2,619607.66,1776.1,135.2,0.7395,59.2359,88.1,0.796
42,25,1095,521864.38,664873.84,1719.4,147.4,0.7306,56.9899,87.4,0.812
42,26,1095,492890.4,632311.05,1770.9,154.6,0.7218,58.5749,87.5,0.828
42,27,1095,490601.6,625251.78,1783.8,116.8,0.7132,55.0201,86.3,0.845
42,28,1095,506356.2,636669.45,1747.0,71.1,0.7046,53.2754,85.9,0.861
42,29,1095,507241.38,630558.13,1706.0,232.9,0.6962,51.7182,87.6,0.878
42,30,1095,505728.9,624890.43,1786.8,163.5,0.6878,49.0707,85.3,0.894
42,31,1095,510928.56,634825.85,1730.1,73.4,0.6796,50.8101,85.8,0.911
42,32,1095,497998.56,634484.07,1747.7,83.6,0.6714,48.0024,88.8,0.927
42,33,1095,546349.75,662190.35,1720.3,155.6,0.6633,47.273,85.4,0.943
42,34,1095,548913.44,659575.69,1721.0,206.3,0.6554,45.0474,85.8,0.96
42,35,1095,519753.8,639286.03,1759.9,78.2,0.6475,43.2421,84.1,0.976
42,36,1095,543022.0,650081.55,1651.1,204.4,0.6397,45.3726,86.5,0.993
42,37,1095,521615.8,633132.18,1687.7,106.3,0.6321,43.6262,86.7,1.0
42,38,1095,519986.12,629272.11,1827.0,98.8,0.6245,41.853,84.7,1.0
42,39,1095,504701.3,621798.2,1903.2,149.5,0.617,41.8972,87.9,1.0
42,40,1095,558777.94,668860.83,1650.2,151.7,0.6096,42.2583,86.9,1.0
42,41,1095,505200.16,619234.99,1840.2,143.0,0.6023,44.6305,84.4,1.0
42,42,1095,577909.8,666314.72,1633.1,165.8,0.595,43.7009,85.3,1.0
42,43,1095,525863.3,631220.71,1775.2,68.4,0.5879,43.4996,85.1,1.0
42,44,1095,555171.3,652276.65,1760.8,153.9,0.5808,43.0601,85.0,1.0
42,45,1095,536992.3,636109.33,1740.8,84.1,0.5739,42.6047,87.3,1.0
42,46,1095,534688.0,635603.61,1772.3,102.7,0.567,43.264,85.8,1.0
42,47,1095,545702.06,637256.1,1824.5,81.9,0.5602,43.5165,87.0,1.0
42,48,1095,534141.1,620321.6,1715.9,149.8,0.5535,43.6187,83.7,1.0
42,49,1095,554657.56,637600.98,1713.9,81.8,0.5468,42.8559,85.8,1.0
42,50,1095,560733.2,635266.77,1697.1,123.5,0.5403,41.6075,85.9,1.0
42,51,1095,574645.6,660661.46,1747.3,196.4,0.5338,45.7022,84.3,1.0
