seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
7777,0,1095,442683.47,625963.05,1730.9,104.4,0.988,160.7872,94.1,0.401
7777,1,1095,469030.47,648519.63,1642.1,102.3,0.9761,121.9262,94.7,0.418
7777,2,1095,465859.03,622014.98,1654.0,98.1,0.9644,130.6215,92.3,0.434
7777,3,1095,452759.44,625999.23,1878.2,82.3,0.9529,127.0783,88.6,0.451
7777,4,1095,468449.1,636434.21,1735.6,136.9,0.9414,124.7048,90.4,0.467
7777,5,1095,457341.44,634866.17,1772.1,83.3,0.9301,118.9708,91.1,0.484
7777,6,1095,441168.75,623141.63,1894.5,142.0,0.919,109.6558,88.1,0.5
7777,7,1095,465542.53,624425.18,1839.5,61.9,0.9079,99.2759,87.8,0.516
7777,8,1095,464122.9,622316.51,1936.2,177.3,0.897,93.2813,89.8,0.533
7777,9,1095,485826.84,648317.02,1739.3,175.8,0.8863,87.3595,88.6,0.549
7777,10,1095,464557.7,623129.68,1752.7,128.5,0.8756,85.5602,90.0,0.566
7777,11,1095,463382.38,621218.65,1687.8,109.4,0.8651,87.0779,88.9,0.582
7777,12,1095,462500.16,626228.05,1823.4,164.2,0.8548,82.2529,91.3,0.599
7777,13,1095,469344.9,630871.69,1749.8,58.1,0.8445,80.8219,90.1,0.615
7777,14,1095,483231.44,648538.06,1680.3,144.2,0.8344,73.9704,88.0,0.631
7777,15,1095,491549.3,651331.32,1649.1,151.3,0.8243,74.2568,88.5,0.648
7777,16,1095,479146.8,621546.44,1785.7,142.2,0.8145,74.4883,89.3,0.664
7777,17,1095,521589.7,662387.54,1615.5,250.1,0.8047,69.8842,89.8,0.681
7777,18,1095,465320.75,628178.35,1835.4,79.5,0.795,65.4288,89.4,0.697
7777,19,1095,490657.2,621041.52,1713.7,159.9,0.7855,63.7749,87.9,0.714
7777,20,1095,481011.8,621299.21,1775.3,121.3,0.7761,61.7609,87.9,0.73
7777,21,1095,485806.2,629147.26,1815.1,87.9,0.7667,63.8407,90.5,0.746
7777,22,1095,483123.8,624028.35,1771.3,63.9,0.7575,60.0022,88.3,0.763
7777,23,1095,498903.62,629716.0,1806.5,74.8,0.7485,57.0023,87.4,0.779
7777,24,1095,490175.62,630692.96,1709.0,72.1,0.7395,54.7267,88.4,0.796
7777,25,1095,499902.1,635828.92,1726.6,82.2,0.7306,54.2266,88.3,0.812
7777,26,1095,497511.12,623536.6,1891.2,128.9,0.7218,55.707,87.7,0.828
7777,27,1095,501939.47,630987.1,1677.3,74.1,0.7132,52.2025,87.7,0.845
7777,28,1095,515063.7,621241.74,1780.6,161.5,0.7046,50.4742,87.9,0.861
7777,29,1095,504230.0,621724.1,1735.9,180.2,0.6962,48.1196,87.8,0.878
7777,30,1095,510600.56,628774.08,1746.7,62.8,0.6878,48.3463,87.2,0.894
7777,31,1095,518278.03,628790.4,1752.6,75.2,0.6796,47.1199,88.0,0.911
7777,32,1095,520625.4,631335.32,1771.9,110.1,0.6714,46.7156,86.4,0.927
7777,33,1095,538926.94,638727.69,1686.1,79.6,0.6633,44.7192,86.5,0.943
7777,34,1095,521158.84,637546.14,1721.5,77.3,0.6554,43.5681,86.1,0.96
7777,35,1095,549926.6,651754.88,1655.7,173.3,0.6475,42.0997,88.6,0.976
7777,36,1095,522053.9,636962.78,1700.9,106.3,0.6397,42.5912,86.3,0.993
7777,37,1095,515571.62,621301.64,1758.5,139.3,0.6321,41.2188,86.4,1.0
7777,38,1095,517205.6,620124.14,1866.4,163.2,0.6245,39.773,85.0,1.0
7777,39,1095,503618.72,619740.33,1902.2,202.3,0.617,40.1957,84.4,1.0
7777,40,1095,537695.94,637673.82,1708.6,68.9,0.6096,39.2161,87.1,1.0
7777,41,1095,527872.1,624124.13,1778.4,161.9,0.6023,41.1868,85.4,1.0
7777,42,1095,519100.72,619375.66,1782.5,157.0,0.595,40.0426,85.3,1.0
7777,43,1095,548149.7,632169.98,1773.9,70.7,0.5879,40.6065,86.4,1.0
7777,44,1095,535870.9,629646.49,1764.6,88.3,0.5808,42.0328,86.7,1.0
7777,45,1095,568229.4,654937.3,1766.0,128.0,0.5739,38.64,87.1,1.0
7777,46,1095,557691.25,637152.86,1746.9,70.2,0.567,41.0841,86.2,1.0
7777,47,1095,535991.3,625176.47,1756.4,81.3,0.5602,40.375,86.5,1.0
