modelo,reward,reward_std,lucro,d_lucro%,perdas,d_perdas%
V15 ensemble,825836.12,5986.73,647822.97,-0.013,1750.9,-0.92
V14 ensemble,660597.81,5754.29,647916.49,0.001,1761.8,-0.302
V13,859387.62,6815.6,647592.09,-0.049,1730.1,-2.096
Sem promo,563700.5,5713.32,647908.6,0.0,1767.2,0.0
