seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
999,0,1095,449514.8,637997.25,1742.8,171.1,0.988,153.8852,95.0,0.401
999,1,1095,417059.9,622443.92,1866.2,189.1,0.9761,130.9031,91.7,0.418
999,2,1095,455685.9,632693.49,1715.1,129.0,0.9644,136.0262,92.0,0.434
999,3,1095,443041.84,633399.36,1702.3,78.7,0.9529,131.3019,88.4,0.451
999,4,1095,440473.62,618999.87,1768.0,188.4,0.9414,125.7006,89.4,0.467
999,5,1095,476945.47,651753.09,1717.8,141.5,0.9301,120.4307,87.8,0.484
999,6,1095,426081.47,624750.1,1845.2,139.6,0.919,112.5988,87.9,0.5
999,7,1095,503654.9,669558.19,1558.8,194.9,0.9079,105.0205,90.2,0.516
999,8,1095,458335.6,636559.75,1721.5,57.4,0.897,98.5348,88.7,0.533
999,9,1095,468394.1,632396.7,1770.8,53.1,0.8863,93.3775,86.9,0.549
999,10,1095,441570.53,626384.53,1856.5,87.2,0.8756,89.1379,91.0,0.566
999,11,1095,444029.3,630189.48,1749.3,76.8,0.8651,89.2918,89.9,0.582
999,12,1095,464799.2,634203.05,1635.7,127.8,0.8548,86.0105,90.0,0.599
999,13,1095,451245.2,624832.6,1728.6,80.9,0.8445,83.6178,90.6,0.615
999,14,1095,458661.7,620805.86,1721.2,61.8,0.8344,78.8115,89.5,0.631
999,15,1095,504795.2,666058.94,1622.0,200.2,0.8243,76.5335,89.7,0.648
999,16,1095,502446.4,645440.19,1768.6,147.2,0.8145,76.9895,89.9,0.664
999,17,1095,468064.4,633264.6,1829.3,93.3,0.8047,72.3936,89.3,0.681
999,18,1095,471319.53,624077.63,1761.6,124.8,0.795,70.0572,86.5,0.697
999,19,1095,482888.9,624166.3,1776.8,128.0,0.7855,66.6515,88.4,0.714
999,20,1095,485887.44,635601.79,1694.2,70.3,0.7761,65.2834,89.4,0.73
999,21,1095,512945.62,664891.5,1734.6,188.9,0.7667,65.6591,88.1,0.746
999,22,1095,508806.25,659957.5,1671.5,121.7,0.7575,61.4303,87.4,0.763
999,23,1095,465234.8,636129.39,1809.2,87.8,0.7485,58.341,87.2,0.779
999,24,1095,507362.4,653532.02,1662.1,152.6,0.7395,57.4725,86.8,0.796
999,25,1095,478533.62,628238.45,1950.5,49.8,0.7306,54.7259,87.9,0.812
999,26,1095,465499.84,621845.14,1800.4,160.0,0.7218,57.5713,87.1,0.828
999,27,1095,503844.72,637959.36,1703.7,81.4,0.7132,53.1156,86.3,0.845
999,28,1095,488795.84,626698.19,1731.4,55.4,0.7046,52.6969,86.0,0.861
999,29,1095,495808.8,632297.07,1746.8,62.8,0.6962,48.4582,85.8,0.878
999,30,1095,527686.06,648735.67,1698.6,127.1,0.6878,48.3145,88.4,0.894
999,31,1095,510824.12,632425.58,1821.6,74.1,0.6796,48.3011,85.8,0.911
999,32,1095,525973.25,634834.06,1744.7,162.6,0.6714,46.3763,87.1,0.927
999,33,1095,520043.8,638064.46,1742.8,96.7,0.6633,44.9314,87.5,0.943
999,34,1095,515301.3,619660.14,1783.7,191.4,0.6554,43.3055,86.2,0.96
999,35,1095,503105.8,629174.82,1764.8,71.5,0.6475,42.9129,87.0,0.976
999,36,1095,514440.47,636964.71,1672.0,104.2,0.6397,42.9727,84.2,0.993
999,37,1095,515784.47,627268.42,1842.4,81.2,0.6321,40.954,86.2,1.0
999,38,1095,547667.7,666965.27,1729.8,139.4,0.6245,39.7253,82.9,1.0
999,39,1095,519271.62,635587.25,1713.4,129.5,0.617,40.2191,88.6,1.0
999,40,1095,540927.3,652355.0,1742.1,159.1,0.6096,40.7684,86.0,1.0
999,41,1095,528127.3,632636.22,1726.6,70.3,0.6023,42.6522,86.8,1.0
999,42,1095,542575.9,650678.51,1757.1,142.5,0.595,40.8776,84.4,1.0
999,43,1095,526673.6,634491.84,1680.1,141.5,0.5879,40.6139,85.7,1.0
999,44,1095,525583.06,623766.24,1816.4,122.8,0.5808,41.8513,86.0,1.0
999,45,1095,537309.2,622670.01,1676.8,136.8,0.5739,39.9732,85.6,1.0
999,46,1095,552439.0,651627.74,1659.3,147.4,0.567,42.9704,85.4,1.0
999,47,1095,541387.56,626544.86,1835.6,97.7,0.5602,41.9431,85.2,1.0
999,48,1095,543945.56,633504.73,1808.0,94.9,0.5535,41.3788,84.6,1.0
999,49,1095,541498.3,629077.29,1757.3,82.7,0.5468,41.5813,86.9,1.0
999,50,1095,547710.6,626554.52,1655.1,86.4,0.5403,40.9269,84.8,1.0
999,51,1095,556873.3,656922.09,1694.5,170.2,0.5338,42.4005,84.7,1.0
999,52,1095,545705.1,643869.66,1779.8,122.4,0.5274,41.7431,84.5,1.0
999,53,1095,548113.94,627173.62,1838.0,188.2,0.521,42.1074,84.7,1.0
999,54,1095,545863.2,628569.68,1820.4,75.9,0.5148,41.4795,86.6,1.0
999,55,1095,565621.4,638884.74,1783.6,92.2,0.5086,42.7314,88.1,1.0
999,56,1095,544632.06,619453.08,1824.6,98.8,0.5025,44.5294,86.1,1.0
999,57,1095,550248.8,638109.45,1746.8,108.6,0.4965,43.0615,86.4,1.0
999,58,1095,568366.9,628700.05,1849.9,164.4,0.4905,42.0181,84.5,1.0
999,59,1095,566403.5,628870.31,1853.9,92.1,0.4846,43.3819,84.4,1.0
999,60,1095,546813.2,634496.01,1760.8,80.0,0.4788,41.2445,83.8,1.0
999,61,1095,582863.56,657732.07,1704.6,160.1,0.4731,42.3612,85.5,1.0
999,62,1095,558025.75,626280.57,1812.0,76.8,0.4674,41.8089,83.4,1.0
999,63,1095,582677.4,631892.3,1774.5,72.1,0.4618,41.2733,80.1,1.0
999,64,1095,559670.44,628610.75,1817.5,87.6,0.4562,40.739,86.5,1.0
999,65,1095,583023.8,654811.67,1704.3,217.2,0.4508,40.1084,82.4,1.0
999,66,1095,575225.8,623626.4,1834.4,182.1,0.4454,42.7916,84.6,1.0
999,67,1095,589057.44,643928.4,1919.1,144.7,0.44,42.4495,85.1,1.0
999,68,1095,586725.0,639340.55,1799.4,102.5,0.4347,40.879,85.4,1.0
999,69,1095,604913.3,660580.74,1603.7,150.2,0.4295,42.0767,86.3,1.0
999,70,1095,594096.75,654623.93,1770.0,165.9,0.4244,41.059,85.5,1.0
999,71,1095,565052.8,630524.99,1867.9,63.9,0.4193,42.0184,87.6,1.0
999,72,1095,573528.75,630906.6,1722.0,75.0,0.4142,41.8684,84.3,1.0
999,73,1095,579747.75,628420.29,1784.0,116.5,0.4093,41.8752,82.6,1.0
999,74,1095,601476.56,641257.77,1719.0,85.6,0.4044,41.3677,82.4,1.0
999,75,1095,593177.56,621861.89,1845.4,124.2,0.3995,41.617,86.7,1.0
999,76,1095,584398.25,640182.04,1699.3,117.3,0.3947,42.425,83.8,1.0
999,77,1095,586868.6,641736.0,1698.8,168.0,0.39,43.0608,85.0,1.0
999,78,1095,572595.3,619501.08,1735.4,182.1,0.3853,41.5527,87.0,1.0
999,79,1095,595758.4,634783.27,1875.4,118.2,0.3807,41.712,84.6,1.0
999,80,1095,588909.06,643489.51,1670.1,136.8,0.3761,42.1166,84.1,1.0
999,81,1095,589691.94,631276.46,1784.7,59.7,0.3716,43.59,86.8,1.0
999,82,1095,611455.6,634202.23,1690.1,113.9,0.3671,43.395,89.2,1.0
999,83,1095,611528.4,624316.83,1735.1,145.9,0.3627,41.2341,87.8,1.0
999,84,1095,605312.4,638925.2,1812.9,119.2,0.3584,42.3695,87.8,1.0
999,85,1095,599616.8,626635.27,1779.0,60.3,0.3541,41.26,85.1,1.0
999,86,1095,606001.4,628831.8,1695.3,146.5,0.3498,43.2675,89.0,1.0
999,87,1095,607389.75,636890.99,1815.9,73.0,0.3456,42.0604,88.3,1.0
999,88,1095,593985.5,640243.32,1755.6,121.3,0.3415,42.415,87.6,1.0
999,89,1095,598168.94,624395.43,1827.4,70.4,0.3374,41.8936,86.0,1.0
999,90,1095,637556.6,658228.72,1772.8,146.8,0.3333,42.8454,87.7,1.0
999,91,1095,609998.56,634716.37,1667.3,105.5,0.3293,44.6114,88.3,1.0
999,92,1095,591106.5,630346.03,1847.1,101.3,0.3254,43.5232,86.6,1.0
999,93,1095,603581.75,626878.36,1785.7,157.4,0.3215,43.336,89.3,1.0
999,94,1095,636424.94,656706.76,1623.0,183.5,0.3176,43.3769,88.0,1.0
999,95,1095,607326.4,635304.55,1778.0,78.7,0.3138,43.7515,85.4,1.0
999,96,1095,620405.06,635055.64,1730.9,86.3,0.31,44.2265,88.5,1.0
999,97,1095,612098.25,622706.58,1833.0,126.7,0.3063,43.7144,87.2,1.0
999,98,1095,621803.25,634180.79,1769.1,64.8,0.3026,43.8586,84.4,1.0
999,99,1095,618094.8,627404.14,1790.6,75.5,0.299,43.7172,88.1,1.0
999,100,1095,601099.56,626164.6,1869.9,98.6,0.2954,43.0836,89.9,1.0
999,101,1095,606091.7,630624.86,1798.6,90.8,0.2919,44.386,88.5,1.0
999,102,1095,603120.1,622527.36,1743.5,125.9,0.2884,43.4339,87.3,1.0
999,103,1095,618936.1,628447.78,1729.5,162.4,0.2849,44.4413,89.3,1.0
999,104,1095,630358.94,630308.43,1778.3,162.7,0.2815,43.9613,85.4,1.0
999,105,1095,608567.94,625165.65,1736.1,54.8,0.2781,43.8383,88.0,1.0
999,106,1095,626584.3,636337.08,1738.7,65.7,0.2748,44.3253,84.8,1.0
999,107,1095,613735.6,637127.62,1871.1,108.3,0.2715,45.3531,89.5,1.0
999,108,1095,633297.56,637292.1,1794.5,60.9,0.2682,44.0615,87.3,1.0
999,109,1095,629372.25,633591.57,1743.7,184.4,0.265,44.1216,91.1,1.0
999,110,1095,645672.8,632567.93,1750.9,87.2,0.2618,44.5352,87.8,1.0
999,111,1095,617948.0,638117.62,1686.8,97.4,0.2587,45.3298,88.2,1.0
999,112,1095,642912.9,634644.32,1782.2,71.1,0.2556,43.3871,88.7,1.0
999,113,1095,622536.2,624818.78,1745.9,87.1,0.2525,43.5835,88.6,1.0
999,114,1095,641528.56,630459.05,1745.4,165.1,0.2495,43.5817,88.9,1.0
999,115,1095,648132.3,635463.54,1730.8,87.8,0.2465,43.6442,88.9,1.0
999,116,1095,617100.6,628698.62,1817.3,59.5,0.2435,46.1064,90.0,1.0
999,117,1095,633734.0,637688.96,1741.1,69.4,0.2406,44.3303,90.9,1.0
999,118,1095,634565.06,629756.84,1799.5,124.8,0.2377,43.1589,88.9,1.0
999,119,1095,665358.9,633055.08,1846.8,184.1,0.2349,43.9681,87.1,1.0
999,120,1095,661493.44,638073.9,1632.5,210.2,0.2321,44.9214,89.4,1.0
999,121,1095,643935.56,652441.56,1743.4,189.8,0.2293,45.2428,92.3,1.0
999,122,1095,629932.44,630482.85,1852.4,70.0,0.2265,45.1851,88.7,1.0
999,123,1095,639293.4,628687.68,1811.0,180.3,0.2238,44.0253,90.0,1.0
999,124,1095,652210.1,630979.36,1626.9,79.2,0.2211,45.6749,91.8,1.0
999,125,1095,680281.4,644202.13,1689.3,109.5,0.2185,44.3691,87.5,1.0
999,126,1095,646614.25,630282.13,1766.1,64.9,0.2158,46.2112,88.9,1.0
999,127,1095,653328.5,636168.41,1732.8,93.3,0.2132,45.3842,91.1,1.0
999,128,1095,656586.5,639206.18,1795.0,76.1,0.2107,45.6184,89.4,1.0
999,129,1095,679534.56,662610.18,1739.5,153.2,0.2082,44.9288,90.4,1.0
999,130,1095,663046.56,635849.05,1712.9,137.6,0.2057,45.3036,89.0,1.0
999,131,1095,645873.06,628968.23,1727.3,84.7,0.2032,46.564,93.2,1.0
999,132,1095,658762.44,630922.79,1754.8,83.8,0.2008,44.3126,93.6,1.0
999,133,1095,673970.75,640835.81,1744.6,92.6,0.1983,45.9535,90.2,1.0
999,134,1095,655970.56,626331.67,1793.6,101.6,0.196,44.5385,93.9,1.0
999,135,1095,655087.75,624354.97,1743.5,175.7,0.1936,44.479,92.8,1.0
999,136,1095,650701.3,630700.74,1802.4,98.5,0.1913,46.3564,92.9,1.0
999,137,1095,666427.7,638231.89,1790.6,76.5,0.189,46.0684,92.9,1.0
999,138,1095,665049.0,633932.02,1731.2,90.4,0.1867,47.2584,93.4,1.0
999,139,1095,682744.94,624840.38,1727.9,147.9,0.1845,45.4129,93.3,1.0
999,140,1095,696234.8,633156.85,1711.7,163.1,0.1823,46.5804,96.7,1.0
999,141,1095,673999.25,636457.22,1747.3,94.2,0.1801,49.0342,94.3,1.0
999,142,1095,669754.56,638150.32,1686.7,142.6,0.1779,47.4003,94.1,1.0
999,143,1095,686450.5,625240.64,1848.2,113.1,0.1758,46.1927,93.7,1.0
999,144,1095,687097.1,629026.79,1692.5,122.2,0.1737,46.1671,93.9,1.0
999,145,1095,702364.75,655044.62,1729.2,144.2,0.1716,47.2307,96.3,1.0
999,146,1095,724961.8,669326.97,1587.2,204.0,0.1695,46.4576,97.6,1.0
999,147,1095,697994.25,638924.66,1668.9,179.6,0.1675,46.4853,93.3,1.0
999,148,1095,682677.8,630187.74,1789.1,113.2,0.1655,46.9957,95.8,1.0
999,149,1095,670297.56,626587.12,1737.4,102.9,0.1635,47.0492,94.8,1.0
999,150,1095,696641.5,621757.07,1784.1,202.7,0.1615,46.5304,95.1,1.0
999,151,1095,685783.25,634466.77,1789.0,93.6,0.1596,50.8966,95.8,1.0
999,152,1095,726549.8,667416.81,1562.0,197.0,0.1577,49.6786,96.4,1.0
999,153,1095,724318.56,652281.76,1700.1,211.7,0.1558,47.6239,96.3,1.0
999,154,1095,730672.6,665696.51,1616.5,192.7,0.1539,47.1615,96.0,1.0
999,155,1095,698648.2,632367.32,1726.8,92.2,0.1521,48.371,93.4,1.0
999,156,1095,713442.9,624975.26,1745.5,183.0,0.1503,51.6646,93.2,1.0
999,157,1095,697726.56,625279.98,1797.1,116.7,0.1485,49.464,94.6,1.0
999,158,1095,698975.94,635818.5,1763.1,57.1,0.1467,48.8057,95.3,1.0
999,159,1095,729108.0,636483.43,1647.9,212.0,0.1449,48.3163,94.9,1.0
999,160,1095,695210.5,626782.04,1711.0,60.7,0.1432,48.4525,94.0,1.0
999,161,1095,710981.6,634743.65,1705.8,115.4,0.1415,51.5163,95.6,1.0
999,162,1095,718931.75,634014.96,1785.7,61.0,0.1398,49.1968,95.6,1.0
999,163,1095,721748.9,635657.26,1759.4,192.0,0.1381,48.1451,96.3,1.0
999,164,1095,732034.2,635594.36,1784.8,223.0,0.1364,48.2847,94.9,1.0
