sku,n_snapshots,categoria,pct_snapshots
BEBIDA ALCOOLICA ICE LEEV MORANGO 275ML,41,AGUARDENTES,80.4
BEBIDA LACTEA NESCAFÉ LATTE 270ML,45,BEBIDA LÁCTEA,88.2
BEBIDA LACTEA UHT YOPRO ENERGY BOOST CAPPUCCINNO 15G,45,SUCO,88.2
BEBIDA LACTEA YOPRO BANANA 250ML,49,SUCO,96.1
BEBIDA LACTEA YOPRO CHOCOLATE 250ML,20,SUCO,39.2
BEBIDA LACTEA YOPRO COCO/ BATATA DOCE 250ML,49,SUCO,96.1
BEBIDA LACTEA YOPRO DOCE DE LEITE HAVANNA ZERO 250ML,47,SUCO,92.2
BEBIDA LACTEA YOPRO MORANGO 15G PROTEINA 250ML,19,SUCO,37.3
BISCOITO BON O BON CHOCOLATE 76G,48,BISCOITO,94.1
BISCOITO BONOBON CHOCO BISCUIT BEIJINHO 76G,50,BISCOITO,98.0
BISCOITO COOKIE NESTLE CLASSIC COOKIE BAUNILHA 60G,33,BISCOITO,64.7
BISCOITO COOKIE NESTLE NESCAU DUO 60G,23,BISCOITO,45.1
BISCOITO COOKIE NESTLE PRESTIGIO 60G,19,BISCOITO,37.3
BISCOITO ITAMARATY WAFFER LOOK CHOCO 55GR,42,BISCOITO,82.4
BISCOITO ITAMARATY WAFFER LOOK MORANG 55GR,49,BISCOITO,96.1
BISCOITO NESTLE CHOCO BISCUIT AO LEITE 78G,40,BISCOITO,78.4
BISCOITO RECHEADO BONO CHOCOLATE 90G,26,BISCOITO,51.0
BISCOITO RECHEADO BONO COCO 90G,49,BISCOITO,96.1
BISCOITO WAFER CHOCOLATE TRIUNFO 105G,43,BISCOITO,84.3
BISCOITO WAFER LIMAO TRIUNFO 105G,45,BISCOITO,88.2
BISCOITO WAFER MORANGO TRIUNFO 105G,45,BISCOITO,88.2
BOMBOM ARCOR BLOCK 38G,48,CHOCOLATE DIVERSOS,94.1
BOMBOM SERENATA DE AMOR 19G,46,CHOCOLATE GAROTO,90.2
BRAHMA LATA 350ML,1,CERVEJA AMBEV,2.0
BRAHMA ZERO ALCOOL LATA 350ML,9,CERVEJA AMBEV,17.6
BUDWEISER LATA 269ML,35,CERVEJA AMBEV,68.6
CABARÉ ICE FRUTAS VERMELHAS 275ML,14,AGUARDENTES,27.5
CABARÉ ICE LIMÃO 275ML,20,AGUARDENTES,39.2
CABO MICRO USB SJX-08-V8 SHINKA,38,ACESSORIOS CELULAR,74.5
CABO TYPE C MAMMOTH,38,ACESSORIOS CELULAR,74.5
CABO TYPE C SJX-08-TPC SHINKA,36,ACESSORIOS CELULAR,70.6
CACHAÇA CABARE ICE 275,34,AGUARDENTES,66.7
"CAFE NESCAFE CAPPUCCINO CLASSIC CANELA 1,3KG",51,CAFÉ,100.0
"CAIXA DE BOMBONS LACTA FAVORITOS 250,6G",37,CHOCOLATE LACTA,72.5
CAIXA DE BOMBONS NESTLE ESPECIALIDADES 251G 15UN,20,CHOCOLATE NESTLE,39.2
CAIXA DE BOMBONS SORTIDOS GAROTO 20% GRATIS 250G,48,CHOCOLATE GAROTO,94.1
CAIXA DE BOMBONS SORTIDOS GAROTO 220G,50,CHOCOLATE GAROTO,98.0
CAMEL DOUBLE MELANCIA,4,JTI,7.8
CAMEL DOUBLE MINT E PURPLE,9,JTI,17.6
CAMEL FILTERS,3,JTI,5.9
CAMEL MENTHOL BOX,42,JTI,82.4
CAMEL PURPLE BEACH BOX,41,JTI,80.4
CAMEL YELLOW TROPICAL,46,JTI,90.2
CAMPARI BITTER 900ML,50,DESTILADOS DIVERSOS,98.0
CARREGADOR INTELIGENTE KA-5003 KAPBOM,42,ACESSORIOS CELULAR,82.4
CARREGADOR VEICULAR USB SHINKA,28,ACESSORIOS CELULAR,54.9
CARVÃO 4KG,2,CARVÃO,3.9
CASSINI POLVILHO 100G,48,BISCOITO,94.1
CASSINI POLVILHO QUEIJO 100G,49,BISCOITO,96.1
CASTANHA DE CAJU TORRADA E SALGADA AMIGOS DO BEM CASTANHA DO BEM PACOTE 30G,49,AMENDOIN/NOZES,96.1
CEBOLITOS 36G,51,SNACK DIVERSOS,100.0
CEBOLITOS 45G,50,SNACK ELMA CHIPS,98.0
CEBOLITOS 91G,50,SNACK ELMA CHIPS,98.0
CERVEJA AMSTEL LAGER 350ML,20,CERVEJA FEMSA,39.2
CERVEJA ANTARCTICA ORIGINAL 269ML,9,CERVEJA ESPECIAIS,17.6
CERVEJA BADEN PEACH SLEEK 350ML,45,CERVEJA ESPECIAIS,88.2
CERVEJA CORONA EXTRA 350ML,33,CERVEJA ESPECIAIS,64.7
CERVEJA DUPLO MALTE BRAHMA 269ML,6,CERVEJA ESPECIAIS,11.8
CERVEJA HEINEKEN SLEEKDES LATA ZERO 350ML,38,CERVEJA ESPECIAIS,74.5
CERVEJA IMPERIO PILSEN HELLES 330ML,44,CERVEJA ESPECIAIS,86.3
CERVEJA IMPERIO PILSEN LATA 269ML,5,CERVEJA ESPECIAIS,9.8
CERVEJA IMPERIO PILSEN LATA 473ML,40,CERVEJA ESPECIAIS,78.4
CERVEJA IMPERIO PURO MALTE ZERO ALCOOL 330ML,45,CERVEJA ESPECIAIS,88.2
CERVEJA PETRA PURO MALTE 269ML,28,CERVEJA ESPECIAIS,54.9
CERVEJA PETRA PURO MALTE 330ML,32,CERVEJA ESPECIAIS,62.7
CERVEJA PRAYA LAGER PURO MALTE 330ML,49,CERVEJA ESPECIAIS,96.1
CERVEJA SKOL LATA 350ML,46,CERVEJA ESPECIAIS,90.2
CERVEJA SKOL LATA ZERO 350ML,51,CERVEJA ESPECIAIS,100.0
CERVEJA SPATEN 269ML,15,CERVEJA ESPECIAIS,29.4
CERVEJA SPATEN PURO MALTE 330ML,33,CERVEJA ESPECIAIS,64.7
