seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,79,1095,663543.44,639429.85,1738.6,119.1,0.2985,223.2285,87.2
42,80,1095,654010.75,630925.35,1861.4,129.4,0.294,222.7136,84.1
42,81,1095,673439.44,646447.78,1735.8,147.7,0.2896,232.4869,92.9
42,82,1095,677217.4,636045.56,1817.7,80.9,0.2852,229.3881,90.3
42,83,1095,674275.8,645348.1,1749.7,119.4,0.281,227.1741,89.5
42,84,1095,670572.1,635908.49,1756.1,140.4,0.2767,227.078,92.9
42,85,1095,719564.0,676050.3,1635.5,224.6,0.2726,224.1203,91.4
42,86,1095,701946.2,664910.83,1677.3,180.8,0.2685,239.6755,90.5
42,87,1095,673818.0,643195.18,1687.1,116.3,0.2645,230.1594,96.9
42,88,1095,673037.4,647352.94,1746.0,103.1,0.2605,230.2933,95.8
42,89,1095,715828.75,668583.05,1694.0,189.0,0.2566,231.3498,94.1
42,90,1095,720841.75,675803.17,1629.2,205.8,0.2528,229.9943,96.7
42,91,1095,709562.06,653810.25,1704.8,205.2,0.249,244.1698,93.3
42,92,1095,687558.9,637899.62,1791.3,83.7,0.2452,231.2226,95.6
42,93,1095,699282.94,631336.04,1741.7,134.3,0.2415,228.2412,94.8
42,94,1095,702117.8,645340.17,1697.6,155.9,0.2379,228.8737,94.5
42,95,1095,708293.8,640839.31,1766.9,97.0,0.2344,228.1026,94.5
42,96,1095,715402.8,642278.32,1759.0,85.9,0.2308,244.225,92.9
42,97,1095,716074.4,635841.57,1741.0,168.0,0.2274,234.4413,92.2
42,98,1095,726552.0,646051.55,1710.4,99.8,0.224,227.8182,90.5
42,99,1095,713872.06,642432.25,1664.4,84.5,0.2206,230.4086,91.1
42,100,1095,764564.2,674721.39,1621.7,212.5,0.2173,229.0202,87.9
42,101,1095,717350.0,641419.23,1675.0,150.7,0.214,245.5339,92.1
42,102,1095,764558.9,669362.67,1610.6,227.1,0.2108,235.6426,90.2
42,103,1095,773964.25,672196.11,1645.9,274.2,0.2077,234.9614,88.5
42,104,1095,728150.4,636949.62,1826.8,193.4,0.2046,232.457,88.9
42,105,1095,720812.4,631705.38,1764.4,184.4,0.2015,230.7622,87.0
42,106,1095,740021.94,641264.08,1754.8,106.4,0.1985,244.9457,88.0
42,107,1095,750492.8,649389.05,1681.1,115.8,0.1955,235.3575,88.8
42,108,1095,740052.4,636086.86,1783.8,226.9,0.1926,233.8725,88.1
42,109,1095,772330.2,668438.16,1733.8,207.0,0.1897,231.3818,89.2
42,110,1095,787424.9,667348.04,1738.7,192.6,0.1868,230.7435,89.6
42,111,1095,747083.5,634144.63,1809.9,115.3,0.184,243.0493,90.5
42,112,1095,764178.4,641145.28,1742.7,98.6,0.1813,232.7171,90.0
42,113,1095,749949.1,640095.13,1829.6,113.5,0.1785,230.0008,88.2
42,114,1095,755211.75,643409.99,1742.9,92.4,0.1759,231.8156,86.6
42,115,1095,752279.2,627411.35,1723.8,128.2,0.1732,231.3034,89.4
42,116,1095,786857.1,677265.59,1657.5,223.2,0.1706,250.9263,89.9
42,117,1095,749393.8,638150.0,1825.0,113.2,0.1681,235.1342,90.8
42,118,1095,772726.8,647244.81,1734.6,168.3,0.1655,233.3486,89.2
42,119,1095,760490.9,635708.45,1723.2,111.9,0.1631,232.9689,89.1
42,120,1095,775253.8,639991.74,1762.8,152.6,0.1606,230.0105,88.2
42,121,1095,767828.4,640917.86,1834.9,123.5,0.1582,244.3234,88.4
42,122,1095,770858.8,643321.82,1753.4,106.5,0.1558,233.9105,88.4
42,123,1095,776291.94,634462.7,1774.3,168.5,0.1535,234.8174,89.1
42,124,1095,783860.2,645582.64,1684.9,105.3,0.1512,235.101,89.6
42,125,1095,795351.4,651285.35,1655.6,181.2,0.1489,234.7114,88.6
42,126,1095,777245.44,645001.41,1764.8,104.7,0.1467,247.5404,90.0
42,127,1095,766839.75,643313.43,1722.1,129.1,0.1445,233.3501,88.6
42,128,1095,786348.4,640621.61,1751.2,245.8,0.1423,232.6875,88.6
42,129,1095,767390.9,636247.66,1855.4,114.6,0.1402,232.4448,87.1
42,130,1095,778571.4,636651.7,1780.6,83.3,0.1381,228.2817,88.1
42,131,1095,800343.06,660647.15,1740.3,191.1,0.136,245.7243,86.9
42,132,1095,810714.2,665721.18,1635.4,287.3,0.134,236.1386,89.6
42,133,1095,784598.75,642919.2,1858.7,108.1,0.132,234.4292,86.8
42,134,1095,796457.44,645416.15,1709.7,170.2,0.13,228.6656,88.1
42,135,1095,793239.94,651966.19,1758.6,202.3,0.128,226.5914,89.3
42,136,1095,798567.5,645320.35,1854.2,214.8,0.1261,237.7018,87.7
