seed,episodio,phase,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
999,0,1,1095,519519.53,639190.41,1709.6,151.5,0.985,151.6645,94.5,0.402
999,1,1,1095,501497.75,623879.13,1836.2,136.3,0.9702,85.2762,90.3,0.424
999,2,1,1095,518566.4,633141.81,1770.3,130.9,0.9557,77.9686,91.5,0.446
999,3,1,1095,511374.75,631886.57,1716.6,60.6,0.9413,73.3893,89.1,0.468
999,4,1,1095,504128.62,623876.86,1782.0,160.0,0.9272,71.15,89.3,0.49
999,5,1,1095,535079.25,648437.89,1720.0,187.5,0.9133,67.5583,86.3,0.511
999,6,1,1095,515235.72,626357.36,1776.2,139.4,0.8996,58.3489,87.8,0.533
999,7,1,1095,553026.0,668145.45,1631.1,204.1,0.8861,50.8926,87.6,0.555
999,8,1,1095,520789.1,633272.85,1828.7,60.2,0.8728,49.0832,84.8,0.577
999,9,1,1095,520945.47,631831.53,1773.2,60.8,0.8597,46.6996,82.4,0.599
999,10,1,1095,516264.1,630126.74,1854.7,93.2,0.8468,43.7831,82.3,0.621
999,11,1,1095,517261.03,632045.49,1792.0,55.2,0.8341,46.5068,82.3,0.643
999,12,1,1095,514983.44,631567.62,1744.8,129.8,0.8216,41.7198,84.2,0.665
999,13,1,1095,518720.4,624727.09,1758.7,97.3,0.8093,39.7144,82.4,0.687
999,14,1,1095,509229.62,617988.09,1749.0,147.1,0.7972,38.4656,84.5,0.709
999,15,1,1095,555820.7,665984.45,1659.0,201.0,0.7852,35.5271,81.9,0.73
999,16,1,1095,536237.94,643708.1,1753.1,181.0,0.7734,37.8984,83.8,0.752
999,17,1,1095,523088.38,634096.05,1768.3,86.8,0.7618,35.8766,85.3,0.774
999,18,1,1095,518371.16,625157.06,1796.1,112.4,0.7504,34.3715,82.8,0.796
999,19,1,1095,522879.38,622960.43,1793.7,153.1,0.7391,32.2984,80.8,0.818
999,20,1,1095,534504.75,636730.21,1880.9,82.0,0.728,30.8539,80.1,0.84
999,21,1,1095,557992.4,665293.78,1715.6,149.1,0.7171,34.6487,87.1,0.862
999,22,1,1095,560270.9,662429.75,1695.2,99.1,0.7064,32.5361,87.6,0.884
999,23,1,1095,530176.3,637756.95,1763.6,67.1,0.6958,30.3578,84.2,0.906
999,24,1,1095,555212.44,654831.27,1655.2,148.7,0.6853,29.651,85.9,0.928
999,25,1,1095,531181.5,629952.81,1799.3,59.6,0.6751,27.8641,85.5,0.949
999,26,1,1095,520221.8,620991.51,1763.0,151.6,0.6649,29.6588,86.2,0.971
999,27,1,1095,537873.94,637859.57,1701.6,74.6,0.655,26.4989,85.2,0.993
999,28,1,1095,535338.7,629432.33,1784.4,79.8,0.6451,26.0663,84.6,1.0
999,29,1,1095,534606.25,630511.72,1772.5,84.8,0.6355,26.2718,86.3,1.0
999,30,1,1095,546713.25,647820.35,1835.9,176.7,0.6259,26.4586,85.5,1.0
999,31,1,1095,533788.56,632452.76,1859.9,83.3,0.6165,27.7411,83.1,1.0
999,32,1,1095,543455.56,638851.98,1715.4,77.7,0.6073,26.244,86.0,1.0
999,33,1,1095,538573.0,637377.15,1756.4,106.9,0.5982,26.474,87.3,1.0
999,34,1,1095,522728.88,619072.84,1732.3,122.2,0.5892,26.1481,86.5,1.0
999,35,1,1095,533986.0,627218.51,1842.6,67.7,0.5804,25.77,87.0,1.0
999,36,1,1095,540884.0,636862.94,1765.9,137.0,0.5717,28.8674,85.8,1.0
999,37,1,1095,535957.1,627934.65,1799.0,55.6,0.5631,26.951,84.7,1.0
999,38,1,1095,572830.06,663843.48,1678.2,172.0,0.5546,28.1127,85.9,1.0
999,39,1,1095,545449.6,632858.85,1732.7,147.3,0.5463,27.6821,80.6,1.0
999,40,1,1095,570699.3,653216.69,1648.2,171.7,0.5381,27.0733,81.5,1.0
999,41,1,1095,536325.0,630251.92,1756.2,57.7,0.5301,30.0031,84.3,1.0
999,42,1,1095,555094.56,647360.54,1799.5,146.7,0.5221,27.8047,86.3,1.0
999,43,1,1095,542474.8,631413.88,1802.0,105.3,0.5143,28.0388,85.8,1.0
999,44,1,1095,534866.3,623112.11,1833.8,130.1,0.5066,28.089,83.7,1.0
