seed,episodio,phase,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
123,59,2,1095,527037.25,624838.53,1796.2,202.0,0.4038,32.2702,82.1,1.0
123,60,2,1095,504731.38,618100.92,1804.2,139.7,0.3977,32.7214,85.7,1.0
123,61,2,1095,538285.3,635071.94,1779.5,71.5,0.3918,33.858,83.0,1.0
123,62,2,1095,525106.4,623642.66,1787.3,67.9,0.3859,34.5604,81.1,1.0
123,63,2,1095,526713.3,624963.7,1798.8,115.8,0.3801,33.1387,83.1,1.0
123,64,2,1095,532477.94,629343.48,1758.1,60.1,0.3744,34.5717,84.8,1.0
123,65,2,1095,519047.38,625382.62,1727.2,139.7,0.3688,34.8153,81.6,1.0
123,66,2,1095,542794.56,637570.17,1808.0,70.7,0.3633,35.5391,85.3,1.0
123,67,2,1095,533414.56,635252.78,1819.5,56.6,0.3578,35.8578,85.4,1.0
123,68,2,1095,549765.8,633113.28,1645.3,78.8,0.3525,35.8429,85.8,1.0
123,69,2,1095,574962.0,669861.19,1663.3,158.1,0.3472,36.3662,82.5,1.0
123,70,2,1095,567500.06,655549.45,1787.3,209.3,0.342,36.7078,84.5,1.0
123,71,2,1095,545707.2,636729.0,1746.1,53.4,0.3368,37.3961,82.6,1.0
123,72,2,1095,527241.1,622094.43,1743.2,97.6,0.3318,37.8114,81.7,1.0
123,73,2,1095,534568.6,625226.41,1735.2,130.3,0.3268,36.968,82.6,1.0
123,74,2,1095,557187.56,653199.79,1662.9,172.2,0.3219,37.3447,77.8,1.0
123,75,2,1095,593212.6,667970.75,1665.0,176.1,0.3171,37.756,74.9,1.0
123,76,2,1095,533711.44,625576.82,1872.1,107.0,0.3123,38.3799,82.3,1.0
123,77,2,1095,535092.5,621957.98,1759.7,112.2,0.3076,38.0687,78.8,1.0
123,78,2,1095,534205.56,617792.45,1746.1,167.4,0.303,38.7996,84.6,1.0
123,79,2,1095,532783.6,625089.27,1790.6,148.7,0.2985,37.8195,81.6,1.0
123,80,2,1095,539723.3,633207.36,1881.7,68.6,0.294,39.5969,78.9,1.0
123,81,2,1095,537435.5,624177.04,1816.3,130.4,0.2896,39.8103,75.2,1.0
123,82,2,1095,592440.3,666418.79,1777.1,204.3,0.2852,39.0142,78.2,1.0
