seed,episodio,phase,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
7777,0,1,1095,501477.2,625523.2,1803.6,99.2,0.985,144.074,93.4,0.402
7777,1,1,1095,530036.2,648969.58,1659.6,188.7,0.9702,82.6867,92.7,0.424
7777,2,1,1095,501484.2,620118.63,1830.2,143.3,0.9557,75.8721,90.5,0.446
7777,3,1,1095,509390.62,629613.61,1845.6,87.6,0.9413,69.7906,87.2,0.468
7777,4,1,1095,519728.53,635487.59,1760.1,125.9,0.9272,68.4485,88.0,0.49
7777,5,1,1095,519415.6,633975.85,1801.7,65.5,0.9133,64.5877,84.7,0.511
7777,6,1,1095,505126.75,621353.49,1791.3,125.9,0.8996,56.7929,86.5,0.533
7777,7,1,1095,509175.9,620810.19,1827.0,143.5,0.8861,51.8511,84.5,0.555
7777,8,1,1095,502614.28,621487.05,1826.5,172.3,0.8728,48.8224,85.3,0.577
7777,9,1,1095,535910.06,650199.53,1715.2,203.6,0.8597,45.7256,85.2,0.599
7777,10,1,1095,506438.1,618755.57,1780.4,142.7,0.8468,43.5111,84.7,0.621
7777,11,1,1095,512680.3,620933.11,1707.1,160.5,0.8341,45.6411,84.5,0.643
7777,12,1,1095,515826.12,626960.54,1808.5,137.3,0.8216,42.5614,83.4,0.665
7777,13,1,1095,522705.38,629283.19,1809.0,75.7,0.8093,40.1689,82.8,0.687
7777,14,1,1095,539961.75,648153.1,1683.3,179.3,0.7972,38.2094,84.0,0.709
7777,15,1,1095,545736.5,653066.57,1721.9,120.2,0.7852,35.3921,83.5,0.73
7777,16,1,1095,516212.28,623117.18,1788.3,120.3,0.7734,38.1398,83.5,0.752
7777,17,1,1095,556247.94,663405.54,1631.0,154.1,0.7618,35.2692,82.7,0.774
7777,18,1,1095,529121.75,629523.61,1789.8,53.8,0.7504,33.1019,82.6,0.796
7777,19,1,1095,522234.28,623234.61,1789.6,144.6,0.7391,30.9382,81.3,0.818
7777,20,1,1095,523013.12,621829.96,1712.9,154.6,0.728,30.304,84.7,0.84
7777,21,1,1095,523609.3,629660.68,1763.1,67.6,0.7171,33.5008,84.7,0.862
7777,22,1,1095,521340.12,623294.2,1846.9,50.8,0.7064,29.5357,81.9,0.884
7777,23,1,1095,530334.6,631660.74,1825.5,61.3,0.6958,29.0616,80.4,0.906
7777,24,1,1095,530829.2,630990.39,1704.3,80.7,0.6853,27.214,82.7,0.928
7777,25,1,1095,527165.2,633128.75,1862.2,83.2,0.6751,25.7518,82.4,0.949
7777,26,1,1095,522151.28,623704.6,1755.1,149.6,0.6649,27.9885,84.1,0.971
7777,27,1,1095,533061.44,631422.6,1696.4,82.4,0.655,25.5303,87.2,0.993
7777,28,1,1095,521856.3,624479.16,1829.7,83.6,0.6451,24.6959,85.2,1.0
7777,29,1,1095,520511.28,618158.23,1769.9,149.7,0.6355,24.0414,82.4,1.0
7777,30,1,1095,532627.06,629718.78,1756.6,103.3,0.6259,23.1831,82.3,1.0
7777,31,1,1095,530486.44,629468.84,1809.7,72.2,0.6165,26.6745,83.0,1.0
7777,32,1,1095,539343.56,630678.14,1704.2,94.2,0.6073,26.0833,83.4,1.0
7777,33,1,1095,541944.56,638939.52,1672.0,56.2,0.5982,25.0825,82.9,1.0
7777,34,1,1095,543161.9,640008.82,1777.4,70.6,0.5892,25.7266,84.7,1.0
7777,35,1,1095,560336.2,649397.91,1596.6,128.3,0.5804,25.1903,82.9,1.0
7777,36,1,1095,537689.8,637189.9,1729.3,136.9,0.5717,27.3312,87.4,1.0
7777,37,1,1095,527929.0,620162.77,1717.1,150.4,0.5631,26.407,85.9,1.0
7777,38,1,1095,527680.56,621325.88,1821.2,121.9,0.5546,27.3073,84.5,1.0
7777,39,1,1095,516220.1,615759.51,1805.4,176.4,0.5463,25.7029,85.3,1.0
7777,40,1,1095,545515.9,639607.13,1789.7,81.9,0.5381,25.523,85.0,1.0
7777,41,1,1095,529575.0,621705.25,1800.7,84.4,0.5301,28.5865,85.0,1.0
7777,42,1,1095,530559.56,620412.81,1797.1,127.2,0.5221,27.5512,82.6,1.0
7777,43,1,1095,537915.6,631591.08,1781.5,75.6,0.5143,28.0702,87.1,1.0
7777,44,1,1095,535449.75,628957.03,1851.0,92.0,0.5066,27.5006,87.5,1.0
7777,45,1,1095,561359.75,656132.49,1797.2,161.9,0.499,27.3251,83.0,1.0
7777,46,1,1095,546260.1,638138.84,1803.7,80.5,0.4915,28.6759,85.3,1.0
7777,47,1,1095,537094.9,623592.34,1782.8,70.5,0.4841,28.2044,82.8,1.0
7777,48,1,1095,538985.6,627914.13,1853.7,67.0,0.4768,27.6664,81.6,1.0
7777,49,1,1095,532420.7,626098.87,1872.6,150.1,0.4697,27.5637,84.0,1.0
7777,50,2,1095,517474.44,627836.04,1745.2,72.5,0.4626,27.7875,84.0,1.0
7777,51,2,1095,508991.0,629733.86,1800.0,91.9,0.4557,30.477,90.5,1.0
7777,52,2,1095,515270.38,626305.35,1754.8,121.6,0.4489,29.0406,80.5,1.0
7777,53,2,1095,519301.8,638061.26,1691.0,156.7,0.4421,29.8455,80.6,1.0
7777,54,2,1095,516781.03,638089.42,1727.6,74.7,0.4355,28.8037,86.6,1.0
7777,55,2,1095,540072.5,653622.34,1685.6,169.2,0.429,30.6241,84.1,1.0
7777,56,2,1095,518705.28,623385.6,1797.5,143.3,0.4225,32.3133,86.7,1.0
7777,57,2,1095,509157.53,628249.89,1800.6,62.5,0.4162,30.5348,82.0,1.0
7777,58,2,1095,525049.44,634358.22,1662.3,220.7,0.41,31.4449,83.0,1.0
7777,59,2,1095,533267.25,643799.99,1712.2,134.9,0.4038,31.4332,82.8,1.0
7777,60,2,1095,528516.25,632189.53,1780.9,75.1,0.3977,32.0026,84.7,1.0
7777,61,2,1095,525398.56,630417.55,1745.1,144.6,0.3918,34.0068,80.1,1.0
7777,62,2,1095,518450.84,630997.91,1780.8,94.7,0.3859,33.3161,82.5,1.0
7777,63,2,1095,509751.47,625880.0,1797.6,155.5,0.3801,34.1331,82.5,1.0
7777,64,2,1095,506995.56,622787.05,1701.5,145.5,0.3744,34.3034,83.0,1.0
