seed,episodio,phase,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
42,0,1,1095,519607.97,636816.22,1796.2,80.3,0.985,156.7153,93.7,0.402
42,1,1,1095,511060.88,633778.95,1777.8,122.8,0.9702,85.4333,92.4,0.424
42,2,1,1095,500352.8,622302.02,1817.4,118.9,0.9557,76.8692,90.5,0.446
42,3,1,1095,518036.2,640210.4,1738.4,135.2,0.9413,72.3833,89.4,0.468
42,4,1,1095,522011.53,639365.73,1705.4,112.6,0.9272,70.4417,87.0,0.49
42,5,1,1095,509347.7,630227.67,1808.7,75.4,0.9133,66.3169,87.3,0.511
42,6,1,1095,522851.9,638907.46,1746.8,75.5,0.8996,57.8994,86.0,0.533
42,7,1,1095,505381.56,623110.43,1765.9,69.2,0.8861,50.4841,85.3,0.555
42,8,1,1095,516007.8,628798.13,1664.1,93.4,0.8728,48.0928,82.4,0.577
42,9,1,1095,509671.12,622201.39,1780.0,86.9,0.8597,46.3555,80.5,0.599
42,10,1,1095,508690.75,622724.29,1813.7,134.5,0.8468,44.1615,82.0,0.621
42,11,1,1095,541760.44,654213.57,1718.9,124.1,0.8341,45.7232,84.5,0.643
42,12,1,1095,520978.16,629754.28,1743.2,83.8,0.8216,42.73,81.7,0.665
42,13,1,1095,530091.8,634292.68,1859.8,66.2,0.8093,39.0761,81.0,0.687
42,14,1,1095,522276.28,630205.27,1723.0,49.6,0.7972,37.8312,82.6,0.709
42,15,1,1095,516031.12,624444.7,1762.6,119.3,0.7852,35.3326,83.0,0.73
42,16,1,1095,526030.94,633655.4,1751.7,72.7,0.7734,40.0641,81.8,0.752
42,17,1,1095,527112.1,631850.27,1748.7,107.3,0.7618,34.7239,82.0,0.774
42,18,1,1095,523824.47,628069.1,1762.8,164.6,0.7504,33.9302,81.9,0.796
42,19,1,1095,535568.0,633057.63,1672.4,79.0,0.7391,31.8019,80.3,0.818
42,20,1,1095,532278.3,638776.5,1717.7,52.9,0.728,31.7966,80.9,0.84
42,21,1,1095,527627.8,633079.24,1813.7,57.9,0.7171,34.7997,83.7,0.862
42,22,1,1095,521056.47,627704.28,1750.6,65.7,0.7064,31.036,86.0,0.884
42,23,1,1095,525907.9,623512.13,1785.8,122.4,0.6958,29.9117,84.6,0.906
42,24,1,1095,519325.38,623142.94,1762.9,172.6,0.6853,28.355,88.5,0.928
42,25,1,1095,561442.8,662801.54,1682.6,231.8,0.6751,26.8489,81.5,0.949
42,26,1,1095,527371.06,631846.17,1811.4,182.5,0.6649,28.9549,86.8,0.971
42,27,1,1095,521803.38,625271.86,1799.1,78.0,0.655,25.7091,84.9,0.993
42,28,1,1095,538175.9,635022.44,1741.4,78.9,0.6451,25.3822,82.7,1.0
42,29,1,1095,526668.9,627705.29,1779.1,136.3,0.6355,25.6051,84.2,1.0
42,30,1,1095,528066.2,626914.0,1801.7,159.5,0.6259,25.0907,81.6,1.0
42,31,1,1095,537706.9,632386.33,1747.0,67.4,0.6165,28.0559,85.3,1.0
42,32,1,1095,531398.2,632896.09,1845.8,95.8,0.6073,25.5052,84.7,1.0
42,33,1,1095,562108.4,662269.27,1725.4,135.6,0.5982,25.8422,86.9,1.0
42,34,1,1095,559331.44,658822.91,1651.3,165.6,0.5892,25.4944,85.2,1.0
42,35,1,1095,540074.0,637733.14,1779.2,66.8,0.5804,26.1277,81.5,1.0
42,36,1,1095,558029.5,652522.12,1652.1,210.8,0.5717,27.3367,86.4,1.0
42,37,1,1095,539327.44,634922.52,1816.0,55.8,0.5631,26.6695,83.0,1.0
42,38,1,1095,534604.0,626892.71,1729.5,105.6,0.5546,27.5218,82.7,1.0
42,39,1,1095,533039.7,622466.63,1808.0,192.2,0.5463,27.6761,83.7,1.0
42,40,1,1095,573424.06,665825.29,1579.7,128.8,0.5381,27.077,81.7,1.0
42,41,1,1095,521052.38,620686.92,1741.7,112.1,0.5301,28.7073,84.7,1.0
42,42,1,1095,576807.4,668718.54,1647.6,153.9,0.5221,27.395,83.7,1.0
42,43,1,1095,538387.1,630290.34,1652.7,68.0,0.5143,27.3323,84.7,1.0
42,44,1,1095,550233.06,647675.64,1781.7,190.6,0.5066,26.8515,85.4,1.0
42,45,1,1095,546893.4,634995.37,1716.2,99.5,0.499,27.3992,85.1,1.0
42,46,1,1095,546138.3,638598.83,1758.6,149.7,0.4915,29.4221,83.7,1.0
42,47,1,1095,545344.9,638523.9,1732.5,74.7,0.4841,29.3231,85.3,1.0
42,48,1,1095,526242.2,622026.46,1821.4,158.4,0.4768,28.5119,87.8,1.0
42,49,1,1095,544278.94,634569.57,1865.5,71.9,0.4697,29.2325,84.3,1.0
42,50,2,1095,511567.75,634683.19,1757.0,128.9,0.4626,27.6955,84.0,1.0
42,51,2,1095,534321.7,656120.44,1759.2,125.3,0.4557,30.3159,84.5,1.0
42,52,2,1095,501837.53,629689.21,1755.3,58.8,0.4489,29.5743,84.7,1.0
42,53,2,1095,514663.9,631312.31,1772.8,75.2,0.4421,30.6371,81.0,1.0
42,54,2,1095,514373.16,628671.34,1757.5,109.8,0.4355,28.9572,84.8,1.0
42,55,2,1095,518751.8,635890.63,1702.7,89.9,0.429,29.8693,78.4,1.0
42,56,2,1095,525142.7,648768.39,1742.5,130.0,0.4225,32.8078,82.8,1.0
42,57,2,1095,506082.4,618165.52,1741.4,142.3,0.4162,31.772,81.5,1.0
42,58,2,1095,516442.47,635839.78,1843.3,67.0,0.41,31.5259,77.3,1.0
42,59,2,1095,523919.12,631428.84,1757.8,104.9,0.4038,31.6109,81.0,1.0
42,60,2,1095,508281.53,627068.53,1869.5,126.2,0.3977,31.9463,81.6,1.0
42,61,2,1095,515547.53,634784.93,1745.5,89.3,0.3918,33.3877,84.8,1.0
42,62,2,1095,510199.3,622783.63,1794.0,118.2,0.3859,33.36,80.0,1.0
42,63,2,1095,519612.38,623239.3,1830.4,73.5,0.3801,34.0734,79.5,1.0
42,64,2,1095,515463.38,622232.39,1839.1,55.3,0.3744,35.1201,82.6,1.0
42,65,2,1095,533728.75,635825.07,1768.0,59.5,0.3688,33.8376,86.3,1.0
42,66,2,1095,528158.75,634550.95,1809.8,80.0,0.3633,35.9077,80.4,1.0
42,67,2,1095,538212.4,632467.89,1840.3,103.8,0.3578,35.5323,78.3,1.0
