seed,episodio,phase,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove,per_beta
2025,0,1,1095,490206.56,620415.85,1762.5,84.2,0.985,154.3624,93.5,0.402
2025,1,1,1095,545150.9,659174.34,1607.5,190.3,0.9702,82.9313,89.5,0.424
2025,2,1,1095,495110.1,619479.09,1824.9,103.8,0.9557,76.5541,91.9,0.446
2025,3,1,1095,539597.75,656596.53,1613.8,163.8,0.9413,71.4785,88.1,0.468
2025,4,1,1095,511061.38,634166.74,1870.5,72.2,0.9272,68.8884,87.6,0.49
2025,5,1,1095,517349.53,629399.11,1721.1,86.5,0.9133,65.6277,86.6,0.511
2025,6,1,1095,520298.88,630317.48,1724.9,79.6,0.8996,57.3864,86.5,0.533
2025,7,1,1095,539308.7,648276.95,1688.7,168.9,0.8861,50.3991,86.2,0.555
2025,8,1,1095,511097.53,628154.46,1723.3,166.1,0.8728,48.6459,85.7,0.577
2025,9,1,1095,514349.38,629023.81,1829.2,76.3,0.8597,45.5819,83.7,0.599
2025,10,1,1095,529810.4,639617.24,1699.6,176.2,0.8468,42.861,83.7,0.621
2025,11,1,1095,522725.97,635293.89,1745.1,122.0,0.8341,46.6283,85.1,0.643
2025,12,1,1095,509601.53,620926.83,1756.0,124.5,0.8216,41.992,82.1,0.665
2025,13,1,1095,524421.75,632910.28,1756.3,97.7,0.8093,39.6951,81.4,0.687
2025,14,1,1095,511379.9,626673.62,1826.4,179.0,0.7972,38.5975,80.0,0.709
2025,15,1,1095,521251.38,631262.95,1760.0,86.4,0.7852,35.5742,83.2,0.73
2025,16,1,1095,521164.62,632701.67,1737.0,57.7,0.7734,39.0094,81.5,0.752
2025,17,1,1095,524276.72,632000.62,1767.5,136.0,0.7618,36.5866,80.3,0.774
2025,18,1,1095,560695.0,663973.08,1706.9,167.4,0.7504,33.5008,80.4,0.796
2025,19,1,1095,548228.2,657538.27,1732.6,162.5,0.7391,33.2305,82.9,0.818
2025,20,1,1095,520918.56,623478.07,1804.6,139.9,0.728,32.0434,81.6,0.84
2025,21,1,1095,527092.1,632050.52,1713.2,65.1,0.7171,34.3989,81.8,0.862
2025,22,1,1095,520964.9,623096.37,1773.7,97.0,0.7064,30.7015,81.7,0.884
