sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct
FANDANGOS QUEIJO 85G,SNACK ELMA CHIPS,11.99,6.96,49,2022-1,2026-12,2026-04-24,5.03,42.0
LAY'S CLASSICA 70G,SNACK ELMA CHIPS,13.99,7.3279,26,2022-1,2026-12,2026-04-03,6.66,47.6
LAY'S SOUR CREAM 70G,SNACK ELMA CHIPS,13.99,4.764,27,2022-1,2026-12,2026-03-20,9.23,66.0
PRINGLES BATATA QUEIJO 109G,SNACK ELMA CHIPS,19.99,11.51,25,2022-1,2026-11,2026-04-28,8.48,42.4
RUFFLES CHURRASCO 32G,SNACK ELMA CHIPS,5.99,2.7432,41,2022-1,2026-12,2026-03-16,3.25,54.3
RUFFLES CHURRASCO 68GR,SNACK ELMA CHIPS,13.99,7.5932,40,2022-1,2026-12,2026-04-09,6.4,45.7
RUFFLES ORIGINAL 68G,SNACK ELMA CHIPS,13.99,7.4062,39,2022-1,2026-12,2026-04-26,6.58,47.0
RUFFLES PIMENTA MEXICANA 30G,SNACK ELMA CHIPS,5.99,3.09,44,2022-1,2025-12,2026-05-04,2.9,48.4
RUFFLES SAL 115G,SNACK ELMA CHIPS,20.99,11.1787,37,2022-1,2026-12,2026-04-19,9.81,46.7
RUFFLES SAL 32G,SNACK ELMA CHIPS,6.99,3.4714,49,2022-1,2026-12,2026-05-10,3.52,50.4
SALGADINHO STIKSY ELMA CHIPS CLASSICO 76G,SNACK ELMA CHIPS,8.99,3.5243,28,2022-1,2024-12,2026-05-09,5.47,60.8
SENSAÇÕES SABOR FRANGO GRELHADO 40G,SNACK ELMA CHIPS,7.99,4.2275,11,2022-1,2026-9,2026-03-13,3.76,47.1
SENSAÇÕES SABOR PEITO DE PERU 40G,SNACK ELMA CHIPS,7.99,4.23,10,2022-2,2026-9,2026-03-10,3.76,47.1
SNACKS NUTELLA B READY 22G,SNACK ELMA CHIPS,6.99,3.8436,5,2023-1,2024-12,2026-05-08,3.15,45.1
PRINGLES BATATA CHURRASCO 109G,SNACK PRINGLES,19.99,11.5829,44,2022-1,2025-12,2026-05-07,8.41,42.1
PRINGLES BATATA CREME E CEBOLA 109G,SNACK PRINGLES,19.99,11.5788,16,2022-1,2023-11,2026-05-10,8.41,42.1
PRINGLES BATATA ORIGINAL 104G,SNACK PRINGLES,19.99,11.5809,16,2022-1,2023-11,2026-05-09,8.41,42.1
PRINGLES BATATA PIZZA CALABRESA 105G,SNACK PRINGLES,19.99,10.905,49,2022-1,2026-12,2025-12-24,9.09,45.5
SALGADINHO PÃO DE ALHO TORCIDA CHURRAS 60G,SNACK TORCIDA,3.99,1.5542,41,2022-1,2026-12,2025-11-20,2.44,61.2
SALGADINHO TORCIDA BACON 60G,SNACK TORCIDA,3.99,1.8009,27,2022-1,2024-12,2026-05-09,2.19,54.9
SALGADINHO TORCIDA CEBOLA 60G,SNACK TORCIDA,3.99,1.8,30,2022-1,2024-12,2026-05-07,2.19,54.9
SALGADINHO TORCIDA CHURRASCO 60G,SNACK TORCIDA,3.99,1.8,37,2022-1,2026-12,2026-03-15,2.19,54.9
SALGADINHO TORCIDA PIMENTA MEXICANA 60G,SNACK TORCIDA,3.99,1.8,31,2022-1,2025-12,2026-05-09,2.19,54.9
TORCIDA CHURRAS VINAGRETE 60G,SNACK TORCIDA,3.99,1.1115,41,2022-1,2026-12,2025-11-15,2.88,72.2
TORCIDA COSTELA C/ LIMAO 60G,SNACK TORCIDA,3.99,1.7608,33,2022-1,2026-12,2026-02-17,2.23,55.9
JUNDIÁ COPAO AÇAI 220GR,SORVETE JUNDIÁ,15.0,8.86,11,2023-4,2026-12,2026-04-09,6.14,40.9
PICOLE DUO MOUSSE DE MARACUJA E LIMAO 60G,SORVETE JUNDIÁ,11.5,2.5374,20,2022-1,2025-11,2026-05-06,8.96,77.9
PICOLE JUNDIA MAX PISTACHE 75G,SORVETE JUNDIÁ,14.5,9.6675,47,2022-1,2026-12,2026-05-04,4.83,33.3
PICOLE SABOR MORANGO COM RECHEIO CHANTILLY SPLIC JUNDIÁ 50G,SORVETE JUNDIÁ,7.5,3.5737,12,2022-2,2023-11,2026-05-06,3.93,52.4
"POTE FUZZY AÇAI COM GUARANA JUNDIA 1,5L",SORVETE JUNDIÁ,41.99,26.57,8,2023-3,2026-12,2026-04-14,15.42,36.7
SORVETE JUNDIA BOMBOM ACAI COM LEITINHO 105G,SORVETE JUNDIÁ,14.0,9.78,48,2022-1,2026-12,2026-04-09,4.22,30.1
SORVETE JUNDIA DADINHO 70G,SORVETE JUNDIÁ,10.5,5.7104,42,2022-1,2026-12,2026-04-25,4.79,45.6
SORVETE JUNDIA DADINHO MINI BOMBOM 105G,SORVETE JUNDIÁ,16.0,8.9625,45,2022-1,2025-12,2026-05-08,7.04,44.0
SORVETE JUNDIA FUZZY ACAI C/ LEITINHO 75G,SORVETE JUNDIÁ,13.5,8.21,47,2022-1,2026-12,2026-04-12,5.29,39.2
SORVETE JUNDIA MAX CHOCO MEIO AMARGO 75G,SORVETE JUNDIÁ,14.5,8.575,32,2022-1,2026-12,2025-09-28,5.93,40.9
SORVETE JUNDIA MAX CLASSICO 75G,SORVETE JUNDIÁ,14.5,8.4238,5,2024-3,2026-7,2026-05-06,6.08,41.9
SORVETE JUNDIA MAX DIVINE UN,SORVETE JUNDIÁ,14.5,8.5737,10,2022-2,2026-11,2026-04-22,5.93,40.9
SORVETE JUNDIA MAX PISTACHE MINI BOMBOM 105G,SORVETE JUNDIÁ,16.75,10.7833,44,2022-1,2025-12,2026-05-07,5.97,35.6
SORVETE JUNDIA SABOR MAX TRUFADINHO 70G,SORVETE JUNDIÁ,14.5,8.4758,23,2022-2,2026-12,2026-01-13,6.02,41.5
SORVETE JUNDIÁ ABACAXI AO VINHO 2LTS,SORVETE JUNDIÁ,41.99,24.0,24,2022-2,2026-11,2026-04-30,17.99,42.8
SORVETE JUNDIÁ ACAI C/GUARANA 60G,SORVETE JUNDIÁ,9.5,4.88,37,2022-1,2026-12,2025-10-25,4.62,48.6
SORVETE JUNDIÁ BOMBOM 2LTS,SORVETE JUNDIÁ,41.99,24.0,17,2023-1,2026-12,2026-04-06,17.99,42.8
SORVETE JUNDIÁ BRIGADEIRO 2LTS,SORVETE JUNDIÁ,41.99,24.0,41,2022-1,2026-12,2026-04-30,17.99,42.8
SORVETE JUNDIÁ CHOCOBAR,SORVETE JUNDIÁ,10.5,5.7034,5,2022-3,2023-10,2026-05-09,4.8,45.7
SORVETE JUNDIÁ CHOCOLATE 2LTS,SORVETE JUNDIÁ,41.99,25.9,48,2022-1,2026-12,2025-09-21,16.09,38.3
SORVETE JUNDIÁ COCO BRANCO 2LTS,SORVETE JUNDIÁ,41.99,26.8,47,2022-1,2026-12,2025-12-26,15.19,36.2
SORVETE JUNDIÁ COOKIE AND CREAM,SORVETE JUNDIÁ,14.5,8.5746,17,2022-1,2026-11,2026-05-07,5.93,40.9
SORVETE JUNDIÁ COPAO RADICAL FLOCOS,SORVETE JUNDIÁ,15.0,7.6883,3,2024-4,2025-12,2026-05-08,7.31,48.7
SORVETE JUNDIÁ COPAO RADICAL NAPOLITANO,SORVETE JUNDIÁ,15.0,7.6898,9,2024-2,2026-12,2026-03-30,7.31,48.7
SORVETE JUNDIÁ CREME 2LTS,SORVETE JUNDIÁ,41.99,24.0,42,2022-1,2026-12,2025-12-31,17.99,42.8
"SORVETE JUNDIÁ FASCINO CHOC C/ AVELA 1,5L",SORVETE JUNDIÁ,43.99,24.54,8,2022-3,2026-11,2026-04-25,19.45,44.2
"SORVETE JUNDIÁ FASCINO COLLECTION TORTA LIMAO 1,5L",SORVETE JUNDIÁ,43.99,23.675,26,2023-1,2026-12,2026-03-08,20.31,46.2
"SORVETE JUNDIÁ FASCINO COLLECTION TRUF. BIANCO 1,5L",SORVETE JUNDIÁ,43.99,24.54,10,2022-2,2026-10,2026-04-11,19.45,44.2
"SORVETE JUNDIÁ FASCINO FRUTAS VERMELHAS 1,5L",SORVETE JUNDIÁ,43.99,24.54,12,2023-2,2026-12,2026-04-07,19.45,44.2
SORVETE JUNDIÁ FASCINO GRANCONE 70G,SORVETE JUNDIÁ,14.75,8.7519,16,2022-1,2026-12,2026-03-31,6.0,40.7
SORVETE JUNDIÁ FASCINO NATA/CHOCOLATE,SORVETE JUNDIÁ,16.0,8.4617,2,2025-7,2025-8,2026-05-10,7.54,47.1
SORVETE JUNDIÁ FASCINO NATA/MORANGO,SORVETE JUNDIÁ,16.0,8.4618,1,2026-5,2026-5,2026-04-25,7.54,47.1
"SORVETE JUNDIÁ FASCINO PIPOCA 1,5L",SORVETE JUNDIÁ,43.99,23.6758,49,2022-1,2026-12,2026-01-15,20.31,46.2
"SORVETE JUNDIÁ FASCINO TRUFADINHO 1,5LT",SORVETE JUNDIÁ,43.99,24.54,4,2023-4,2026-8,2026-03-07,19.45,44.2
"SORVETE JUNDIÁ FASCINO TRUFATINE 1,5L",SORVETE JUNDIÁ,43.99,24.54,19,2022-2,2026-12,2026-02-11,19.45,44.2
SORVETE JUNDIÁ FLOCOS 2LTS,SORVETE JUNDIÁ,41.99,24.0,10,2025-2,2026-12,2026-05-10,17.99,42.8
SORVETE JUNDIÁ FRUTA LIMAO,SORVETE JUNDIÁ,8.5,3.7457,9,2023-3,2026-12,2026-04-17,4.75,55.9
SORVETE JUNDIÁ FRUTA UVA,SORVETE JUNDIÁ,8.5,3.6857,7,2022-1,2026-11,2026-05-09,4.81,56.6
SORVETE JUNDIÁ MAX BROWNIE 75GR,SORVETE JUNDIÁ,14.5,8.575,9,2023-3,2026-9,2026-04-06,5.93,40.9
SORVETE JUNDIÁ MEXX MORANGO C/LEITE COND.110GR,SORVETE JUNDIÁ,15.5,9.82,41,2022-1,2025-12,2026-05-07,5.68,36.6
SORVETE JUNDIÁ MILHO VERDE 2LTS,SORVETE JUNDIÁ,41.99,24.0,42,2022-1,2026-12,2025-12-25,17.99,42.8
SORVETE JUNDIÁ MILK CHOCOLATE 60GR,SORVETE JUNDIÁ,10.0,4.6156,13,2023-2,2026-12,2026-04-29,5.38,53.8
SORVETE JUNDIÁ MILK COCO BRANCO,SORVETE JUNDIÁ,9.0,4.0817,2,2024-6,2024-8,2026-05-06,4.92,54.7
SORVETE JUNDIÁ MILK MILHO VERDE 60GR,SORVETE JUNDIÁ,9.0,4.1117,6,2023-1,2026-11,2026-05-03,4.89,54.3
SORVETE JUNDIÁ NAPOLITANO,SORVETE JUNDIÁ,11.5,4.7875,12,2024-1,2026-10,2026-04-30,6.71,58.3
SORVETE JUNDIÁ NAPOLITANO 2LTS,SORVETE JUNDIÁ,43.99,16.0,11,2023-1,2026-10,2026-04-05,27.99,63.6
SORVETE JUNDIÁ PICOLE AZULOKO,SORVETE JUNDIÁ,5.5,2.3453,26,2022-1,2026-12,2026-04-30,3.15,57.3
SORVETE JUNDIÁ PICOLE BRICOLE,SORVETE JUNDIÁ,10.5,5.7076,1,2022-2,2022-2,2026-05-06,4.79,45.6
SORVETE JUNDIÁ PICOLE JUNDMAX AVELA,SORVETE JUNDIÁ,14.5,8.0944,2,2025-5,2026-7,2026-04-30,6.41,44.2
SORVETE JUNDIÁ PICOLE JUNDMAX CHOCOLATE BRANCO,SORVETE JUNDIÁ,14.5,8.575,8,2023-1,2025-12,2026-05-01,5.93,40.9
SORVETE JUNDIÁ PICOLE TRES CHOCOLATES,SORVETE JUNDIÁ,11.5,4.7875,19,2023-2,2026-12,2026-04-30,6.71,58.3
SORVETE JUNDIÁ SKIMO MINI 150G,SORVETE JUNDIÁ,16.0,9.2717,18,2022-1,2026-11,2026-04-26,6.73,42.1
SORVETE JUNDIÁ TRES CHOCOLATES 2LT,SORVETE JUNDIÁ,41.99,24.0,14,2023-2,2026-11,2026-01-25,17.99,42.8
SORVETE MY LITTLE PONY BAUNILHA MORANGO E UVA 50G,SORVETE JUNDIÁ,8.75,4.4738,32,2022-1,2026-12,2026-05-06,4.28,48.9
KIBON BRIGADEIRO,SORVETE KIBON,13.9,7.3832,1,2025-8,2025-8,2026-05-06,6.52,46.9
KIBON CHICABON PALITO,SORVETE KIBON,12.9,6.9595,2,2025-2,2025-5,2026-05-09,5.94,46.0
KIBON CORNETTO BRIGADEIRO 65G,SORVETE KIBON,16.9,10.6911,32,2022-1,2026-12,2025-10-17,6.21,36.7
KIBON CORNETTO CHOCOMIX 65G,SORVETE KIBON,9.99,7.8893,46,2022-1,2025-12,2026-05-09,2.1,21.0
KIBON CORNETTO CROCANTE 90ML,SORVETE KIBON,16.9,7.8717,1,2025-8,2025-8,2026-05-09,9.03,53.4
KIBON CORNETTO MMS,SORVETE KIBON,16.9,10.8842,1,2024-6,2024-6,2026-05-09,6.02,35.6
KIBON CR/CHOCO/FLOCOS 2LT,SORVETE KIBON,49.99,28.965,21,2022-2,2026-11,2026-04-05,21.02,42.0
"KIBON CREMOSISSIMO CHOCOLATE 1,5L",SORVETE KIBON,39.99,21.8975,49,2022-1,2026-12,2026-01-11,18.09,45.2
KIBON CREMOSISSIMO CHOCOLEITE 4 EM 1 2LTS,SORVETE KIBON,49.99,28.965,25,2022-1,2026-12,2026-04-13,21.02,42.0
"KIBON CREMOSISSIMO FLOCOS 1,5L",SORVETE KIBON,39.99,21.8953,17,2023-1,2026-12,2026-03-14,18.09,45.2
KIBON CREMOSISSIMO NAPOLITANO,SORVETE KIBON,39.99,21.8975,23,2022-1,2026-12,2026-03-15,18.09,45.2
KIBON CREMOSISSIMO NAPOLITANO ESPEC 2LTS,SORVETE KIBON,49.99,28.965,17,2022-1,2026-11,2026-04-26,21.02,42.0
KIBON ESKIBON,SORVETE KIBON,12.9,5.6922,22,2022-1,2026-11,2026-04-22,7.21,55.9
KIBON FRUTAS TROPICAIS 2L,SORVETE KIBON,49.99,28.965,36,2022-1,2026-12,2026-05-10,21.02,42.0
KIBON FRUTILLY CHICLETE PINTA LINGUA 40G,SORVETE KIBON,7.9,1.1646,46,2022-1,2025-12,2026-05-04,6.74,85.3
KIBON FRUTILLY MORANGO NAPOLITANO,SORVETE KIBON,8.9,4.1808,2,2023-1,2024-2,2026-05-08,4.72,53.0
KIBON FRUTTARE ABACAXI,SORVETE KIBON,10.9,0.0,45,2022-1,2025-12,2026-05-06,10.9,100.0
KIBON FRUTTARE COCO,SORVETE KIBON,10.9,5.7404,7,2022-4,2026-11,2026-04-09,5.16,47.3
KIBON FRUTTARE LIMAO 58ML,SORVETE KIBON,10.9,5.5665,5,2023-4,2025-9,2026-05-06,5.33,48.9
KIBON FRUTTARE TANGERINA 59G,SORVETE KIBON,10.9,6.2164,47,2022-1,2026-12,2026-03-24,4.68,42.9
KIBON FRUTTARE UVA,SORVETE KIBON,10.9,6.0197,3,2025-4,2026-7,2026-03-28,4.88,44.8
KIBON MAGNUM AMENDOAS 72G,SORVETE KIBON,19.9,13.7225,22,2022-1,2026-11,2026-04-06,6.18,31.1
KIBON MAGNUM BOMBOM COOKIES E CREAM 85G,SORVETE KIBON,22.9,15.4817,46,2022-1,2025-12,2026-05-10,7.42,32.4
KIBON MAGNUM CHOCOLATE BRANCO,SORVETE KIBON,19.9,13.1917,1,2025-8,2025-8,2026-05-07,6.71,33.7
KIBON MAGNUM CLASSICO,SORVETE KIBON,19.9,13.4394,12,2022-1,2025-11,2026-05-05,6.46,32.5
KIBON MAGNUM COOKIES CREAM,SORVETE KIBON,19.9,13.9956,7,2022-1,2023-11,2026-05-09,5.9,29.6
KIBON MAGNUM MINI BITES CLASS 92G,SORVETE KIBON,22.9,15.5607,14,2022-1,2026-11,2025-12-24,7.34,32.1
KIBON MAGNUM PISTACHE 64G,SORVETE KIBON,21.9,14.7812,41,2022-1,2026-12,2026-04-30,7.12,32.5
KIBON MAGNUM PRALINE 69G,SORVETE KIBON,19.9,13.9871,3,2023-3,2025-9,2026-05-08,5.91,29.7
KIBON MAGNUM ZERO CHOCOLATE 90ML,SORVETE KIBON,19.9,13.6052,17,2022-1,2026-12,2026-05-07,6.29,31.6
KIBON MESCLADIN COCO E CHOCOLATE 63G,SORVETE KIBON,9.9,2.2022,22,2022-1,2026-12,2025-04-13,7.7,77.8
KIBON NUTABLITO MAX AVELA 64G,SORVETE KIBON,12.9,7.7572,6,2022-2,2022-7,2026-05-09,5.14,39.8
KIBON OS FAVORITOS MINI MORANGO 92G,SORVETE KIBON,17.9,11.6692,35,2022-1,2026-12,2026-05-08,6.23,34.8
KIBON SNICKERS 800ML,SORVETE KIBON,42.99,28.1775,31,2022-1,2026-12,2026-04-18,14.81,34.4
KIBON SORVETE MINI CHICABOM 92G,SORVETE KIBON,17.9,11.6692,41,2022-1,2026-12,2026-05-10,6.23,34.8
"KIBON SUNDAE CHOCOLATE 1,4L",SORVETE KIBON,49.99,31.9975,36,2022-1,2026-12,2026-03-08,17.99,36.0
"KIBON SUNDAE LEITE NINHO TRUFADO 1,4L",SORVETE KIBON,49.99,31.9975,31,2022-1,2026-12,2026-03-29,17.99,36.0
KIBON TABLITO 800ML,SORVETE KIBON,42.99,28.1775,16,2023-1,2026-11,2026-05-01,14.81,34.4
KIBON UNICORNETTO 59G,SORVETE KIBON,16.9,10.8729,13,2022-2,2026-8,2026-04-26,6.03,35.7
SORVETE KIBON FRUTTARE MORANGO 55G,SORVETE KIBON,10.9,5.9257,22,2022-1,2025-12,2026-05-04,4.97,45.6
SORVETE KIBON MINI DOCE DE LEITE 92G,SORVETE KIBON,17.9,11.6685,30,2022-1,2026-12,2026-04-14,6.23,34.8
SORVETE KIBON TABLITO 3 CHOCOLATES 72G,SORVETE KIBON,12.9,7.8316,33,2022-1,2025-12,2026-05-06,5.07,39.3
PERFETTO PATRULHA CANINA 50G,SORVETE PERFETTO,8.75,4.4738,25,2022-1,2025-11,2026-05-08,4.28,48.9
SORVETE COOL KISS CHOCOLATE BELGA 500ML,SORVETE PERFETTO,43.99,29.5383,47,2022-1,2026-12,2026-02-11,14.45,32.8
SORVETE COOL KISS PISTACHIO 500ML,SORVETE PERFETTO,43.99,28.9833,42,2022-1,2026-12,2026-03-01,15.01,34.1
CIGARRO LUCKY STRIKE AN AMERICAN ORIGINAL,SOUZA CRUZ,12.0,10.83,43,2022-1,2026-12,2025-05-20,1.17,9.7
CIGARRO LUCKY STRIKE ORIGINAL MACO,SOUZA CRUZ,12.5,11.1179,33,2022-1,2025-12,2026-05-09,1.38,11.0
CIGARRO ROTHMANS OF LONDON,SOUZA CRUZ,9.0,5.5403,6,2022-2,2026-11,2026-04-27,3.46,38.4
DUNHILL BLUE BLEND BOX,SOUZA CRUZ,15.0,13.6451,40,2022-1,2026-12,2025-11-10,1.35,9.0
DUNHILL BLUE ON BOX,SOUZA CRUZ,12.5,11.3171,12,2022-1,2026-12,2025-10-19,1.18,9.4
DUNHILL CARLTON RED BLEND BOX,SOUZA CRUZ,15.0,13.6198,7,2025-1,2026-12,2025-10-12,1.38,9.2
DUNHILL IN BLUE BOX POS,SOUZA CRUZ,12.75,11.7552,43,2022-1,2025-12,2026-05-10,0.99,7.8
DUNHILL INSIGNIA FULL RED BOX,SOUZA CRUZ,12.75,11.1068,46,2022-1,2026-12,2026-05-03,1.64,12.9
DUNHILL INSIGNIA RED BOX,SOUZA CRUZ,12.75,11.76,43,2022-1,2025-12,2026-05-10,0.99,7.8
DUNHILL OF LONDON BLUE BLEND BOX,SOUZA CRUZ,15.0,13.8509,44,2022-1,2025-12,2026-05-10,1.15,7.7
DUNHILL OF LONDON CARLTON BLEND BOX,SOUZA CRUZ,15.0,13.8506,43,2022-1,2025-12,2026-05-10,1.15,7.7
DUNHILL RED ON BOX,SOUZA CRUZ,12.5,11.3116,12,2022-1,2026-12,2025-10-09,1.19,9.5
KENT RED SERIES BRA WILLIS,SOUZA CRUZ,12.75,11.776,49,2022-1,2026-12,2025-10-24,0.97,7.6
LUCK BLUE,SOUZA CRUZ,7.75,7.1561,27,2022-1,2024-12,2026-05-09,0.59,7.6
LUCK RED,SOUZA CRUZ,7.75,7.1561,19,2022-1,2023-11,2026-05-10,0.59,7.6
LUCKY STRIKE BIG CHILL,SOUZA CRUZ,12.75,11.7729,16,2022-1,2023-11,2026-05-10,0.98,7.7
LUCKY STRIKE BLUE AMERICAN ORIGINAL BOX,SOUZA CRUZ,12.5,11.542,47,2022-1,2026-12,2025-03-18,0.96,7.7
LUCKY STRIKE BLUE AMERICAN ORIGINAL MACO,SOUZA CRUZ,12.5,11.5239,28,2022-1,2024-12,2026-05-08,0.98,7.8
LUCKY STRIKE BLUE MAÇO,SOUZA CRUZ,12.5,10.9683,21,2024-1,2026-12,2024-11-02,1.53,12.2
LUCKY STRIKE DOUBLE FRESH,SOUZA CRUZ,12.75,11.773,51,2022-1,2026-12,2021-07-31,0.98,7.7
LUCKY STRIKE DOUBLE FROST,SOUZA CRUZ,12.75,11.773,38,2022-1,2025-12,2026-05-10,0.98,7.7
LUCKY STRIKE FRESH DOUBLE ICE 20UN,SOUZA CRUZ,13.25,12.4655,26,2022-1,2026-12,2025-07-21,0.78,5.9
LUCKY STRIKE FRESH DOUBLE ICE X,SOUZA CRUZ,12.75,11.5422,35,2022-1,2026-12,2025-10-26,1.21,9.5
LUCKY STRIKE ORIGINAL BLEND,SOUZA CRUZ,12.5,10.9562,21,2024-1,2026-12,2024-10-25,1.54,12.3
LUCKY STRIKE ORIGINAL BLEND MAÇO,SOUZA CRUZ,12.5,11.311,21,2022-1,2026-12,2024-11-28,1.19,9.5
LUCKY STRIKE RA PATTERSON BLUE,SOUZA CRUZ,7.75,6.775,46,2022-1,2026-12,2026-01-15,0.97,12.5
LUCKY STRIKE RED AMERICAN ORIGINAL,SOUZA CRUZ,12.5,11.542,28,2022-1,2024-12,2026-05-07,0.96,7.7
ROTHMANS BLUE BOX OF LONDON,SOUZA CRUZ,9.0,5.9301,45,2022-1,2026-12,2026-05-10,3.07,34.1
ROTHMANS BLUE BOX OF LONDON GLOBAL,SOUZA CRUZ,7.75,6.6175,60,2022-1,2026-12,2026-05-10,1.13,14.6
ROTHMANS BOX OF LONDON RED GLOBAL,SOUZA CRUZ,7.75,7.1561,32,2022-1,2024-12,2026-05-08,0.59,7.6
ROTHMANS INTERNACIONAL BLUE,SOUZA CRUZ,10.75,9.9263,4,2022-2,2022-5,2026-05-10,0.82,7.6
ROTHMANS OF LONDON BLUE BOX,SOUZA CRUZ,8.0,7.387,2,2022-1,2024-2,2026-05-09,0.61,7.6
ROTHMANS OF LONDON CLASSIC RED,SOUZA CRUZ,8.0,7.387,2,2022-2,2022-4,2026-05-10,0.61,7.6
ROTHMANS RED BOX OF LONDON GLOBAL,SOUZA CRUZ,7.75,6.4637,37,2022-1,2026-12,2025-02-11,1.29,16.6
ROTHMANS RED OF LONDON,SOUZA CRUZ,9.0,8.3105,28,2022-1,2024-12,2026-05-10,0.69,7.7
ROTHMANS RED SERIES BOX,SOUZA CRUZ,9.0,6.4637,25,2022-1,2026-12,2024-11-20,2.54,28.2
ROTHMANS SILVER MACO,SOUZA CRUZ,9.0,8.1304,49,2022-1,2026-12,2026-04-05,0.87,9.7
ROTHMANS SILVER OF LONDON,SOUZA CRUZ,9.0,8.3104,28,2022-1,2024-12,2026-05-10,0.69,7.7
ADES LARANJA TP 200ML,SUCO,4.99,2.3517,28,2022-1,2025-11,2026-05-06,2.64,52.9
ADES SOJA SUCO DE UVA 200 ML,SUCO,4.99,2.3517,30,2022-1,2026-12,2026-05-08,2.64,52.9
BEBIDA LACTEA UHT YOPRO ENERGY BOOST CAPPUCCINNO 15G,SUCO,14.99,7.49,45,2022-1,2026-12,2026-04-16,7.5,50.0
BEBIDA LACTEA YOPRO BANANA 250ML,SUCO,14.99,7.49,49,2022-1,2026-12,2026-04-27,7.5,50.0
BEBIDA LACTEA YOPRO CHOCOLATE 250ML,SUCO,14.99,7.49,20,2022-1,2024-12,2026-05-09,7.5,50.0
BEBIDA LACTEA YOPRO COCO/ BATATA DOCE 250ML,SUCO,14.99,7.49,49,2022-1,2026-12,2026-01-02,7.5,50.0
BEBIDA LACTEA YOPRO DOCE DE LEITE HAVANNA ZERO 250ML,SUCO,14.99,7.49,47,2022-1,2026-12,2026-05-06,7.5,50.0
BEBIDA LACTEA YOPRO MORANGO 15G PROTEINA 250ML,SUCO,14.99,7.49,19,2022-1,2025-11,2026-05-10,7.5,50.0
DEL VALLE FRUT LARANJA 1LT,SUCO,7.99,4.1673,37,2022-1,2025-12,2026-05-09,3.82,47.8
DEL VALLE FRUT LARANJA 250ML,SUCO,2.99,1.2617,45,2022-1,2026-12,2024-09-05,1.73,57.9
DEL VALLE FRUT LARANJA 450ML,SUCO,5.99,1.9094,1,2026-5,2026-5,2026-04-27,4.08,68.1
DEL VALLE FRUT UVA 1LT,SUCO,7.99,4.1555,36,2022-1,2025-12,2026-05-09,3.83,47.9
DEL VALLE FRUT UVA 450ML,SUCO,5.99,2.4216,1,2026-4,2026-4,2026-05-05,3.57,59.6
DEL VALLE GOIABA SEM ADIÇÃO DE AÇUCAR 290ML,SUCO,7.99,3.4221,4,2022-1,2026-8,2026-05-03,4.57,57.2
DEL VALLE LARANJA 1LT,SUCO,15.99,7.6483,40,2022-1,2026-12,2026-04-18,8.34,52.2
DEL VALLE UVA 1LT,SUCO,15.99,7.6483,47,2022-1,2026-12,2026-04-04,8.34,52.2
DEL VALLE UVA LIGHT 1LT,SUCO,15.99,7.6483,47,2022-1,2026-12,2026-02-21,8.34,52.2
FRAPPUCCINO STARBUCKS CLASSICO 280ML,SUCO,17.99,8.7783,33,2022-1,2026-12,2026-04-25,9.21,51.2
GUARAVITON AÇAI 500ML,SUCO,5.99,1.9151,4,2022-8,2023-10,2026-05-06,4.07,67.9
GUARAVITON GINSENG 500ML,SUCO,5.99,2.0305,3,2022-2,2023-10,2026-05-06,3.96,66.1
KAPO LARANJA 200ML,SUCO,4.99,0.0,47,2022-1,2026-12,2025-11-29,4.99,100.0
SUCO 100 SUCO DE LARANJA E MORANGO 200ML,SUCO,8.99,4.08,46,2022-1,2026-12,2026-03-05,4.91,54.6
SUCO DEL VALLE MANGA 290ML,SUCO,7.99,3.5383,6,2022-2,2022-7,2026-05-08,4.45,55.7
SUCO DEL VALLE SABOR LARANJA 200ML,SUCO,4.99,2.1339,36,2022-1,2025-12,2026-05-10,2.86,57.3
SUCO DEL VALLE UVA 200ML,SUCO,4.99,2.1531,36,2022-1,2025-12,2026-05-10,2.84,56.9
SUCO NATURAL ONE LARANJA 300ML,SUCO,12.99,4.89,43,2022-1,2026-12,2026-05-09,8.1,62.4
SUCO NATURAL ONE UVA E MAÇA 300ML,SUCO,5.99,4.89,36,2022-1,2025-12,2026-05-09,1.1,18.4
BARALHO COPAG 139,UTILIDADES DOMESTICAS,28.99,15.3163,33,2022-1,2025-12,2026-05-09,13.67,47.2
BARALHO COPAG DUNGA,UTILIDADES DOMESTICAS,19.99,9.82,51,2022-1,2026-12,,10.17,50.9
"LOCTITE SUPER BONDER ORIGINAL 3,6G",UTILIDADES DOMESTICAS,8.99,4.4215,39,2022-1,2026-12,2026-03-29,4.57,50.8
PARANA FOSFORO ECOLOGICO SEM ENXOFRE 200UN,UTILIDADES DOMESTICAS,2.99,2.3,39,2022-1,2026-12,2026-04-03,0.69,23.1
SACOLA KRAFT TAMANHO M COM CARINHO P/VC UN,UTILIDADES DOMESTICAS,4.5,1.44,39,2022-1,2026-12,2026-01-13,3.06,68.0
VINHO TINTO SUAVE PERGOLA 1LT,VINHO,39.99,13.25,48,2022-1,2026-12,2026-05-09,26.74,66.9
ABSOLUT VODKA SPRITE 269ML,VODKA,15.99,6.8517,46,2022-1,2026-12,2026-05-09,9.14,57.2
