sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct
LM FIRST CUT BLUE,PHILIP MORRIS,7.75,7.156,1,2022-2,2022-2,2026-05-10,0.59,7.6
LM FIRST CUT RED,PHILIP MORRIS,7.75,7.156,19,2022-1,2023-11,2026-05-10,0.59,7.6
MARLBORO BLOSSOM FUSION BOX,PHILIP MORRIS,13.75,12.4536,41,2022-1,2026-12,2025-07-25,1.3,9.5
MARLBORO BLUE SELECTION BOX,PHILIP MORRIS,11.25,5.7569,46,2022-1,2025-12,2026-05-10,5.49,48.8
MARLBORO GOLD SELECTION MACO,PHILIP MORRIS,9.25,8.5408,47,2022-1,2026-12,2026-05-10,0.71,7.7
MARLBORO RED SELECTION MACO,PHILIP MORRIS,9.25,8.541,48,2022-1,2026-12,2026-05-10,0.71,7.7
PILHA RAYOVAC AA PALITO AMARELA C/4,PILHAS,7.99,2.84,16,2022-1,2025-12,2026-05-09,5.15,64.5
PILHA RAYOVAC AA PEQUENA TUBO UN,PILHAS,7.99,3.696,47,2022-1,2026-12,2025-11-01,4.29,53.7
PILHA RAYOVAC TUBO AAA PALITO 40UN,PILHAS,7.99,3.934,45,2022-1,2026-12,2026-05-09,4.06,50.8
PIPOCA DOCE CARAMELIZADA CLAC 50G,PIPOCA,5.99,2.2,47,2022-1,2026-12,2026-05-06,3.79,63.3
PIPOCA FORMIGAO 120G,PIPOCA,5.99,2.8936,35,2022-1,2026-12,2026-04-09,3.1,51.8
PIPOCA FORMIGAO 40G,PIPOCA,2.99,1.2167,41,2022-1,2025-12,2026-05-06,1.77,59.2
ANTARCTICA GUARANA 200ML,REFRIGERANTE,3.99,1.5342,22,2022-1,2023-12,2026-05-10,2.46,61.7
ANTARCTICA GUARANA 600ML,REFRIGERANTE,8.99,4.09,11,2023-1,2024-10,2026-05-10,4.9,54.5
ANTARCTICA GUARANA LATA 350ML,REFRIGERANTE,5.99,1.4929,21,2022-1,2024-12,2026-05-10,4.5,75.1
ANTARCTICA GUARANA ZERO 2LTS,REFRIGERANTE,16.99,8.241,45,2022-1,2025-12,2026-05-10,8.75,51.5
ANTARCTICA SODA 2LTS,REFRIGERANTE,16.99,7.5778,2,2024-8,2025-10,2026-05-10,9.41,55.4
