sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct,tipo
AMENDOIM PARI S/ PELE 120G,AMENDOIN/NOZES,7.99,3.99,49,2022-1,2026-12,2026-05-06,4.0,50.1,conveniencia
CASTANHA DE CAJU TORRADA E SALGADA AMIGOS DO BEM CASTANHA DO BEM PACOTE 30G,AMENDOIN/NOZES,6.99,3.645,49,2022-1,2026-12,2026-04-25,3.35,47.9,conveniencia
BALA DE GOMA GOMUTCHO 31G,BALA,1.99,0.5029,19,2022-1,2026-11,2026-01-29,1.49,74.9,conveniencia
BALA FRUITTELLA CARAMELO 41G,BALA,4.99,2.1127,35,2022-1,2025-12,2026-05-09,2.88,57.7,conveniencia
BALA FRUITTELLA MORANGO 40GR,BALA,4.99,2.0189,12,2022-1,2023-11,2026-05-09,2.97,59.5,conveniencia
BALA SKITLES ORIGINAL 38G,BALA,5.99,2.6771,29,2022-1,2024-11,2026-05-08,3.31,55.3,conveniencia
GOMETS FRUTAS 32GR,BALA,1.99,0.6255,43,2022-1,2026-12,2026-05-08,1.36,68.3,conveniencia
BALA FINI GELATINA BEIJOS MORANGO 15GR,BALA FINI,1.99,0.9325,18,2022-1,2025-11,2026-05-07,1.06,53.3,conveniencia
BALA FINI GELATINA DENTADURA 15G,BALA FINI,1.99,0.9169,17,2022-1,2023-11,2026-05-08,1.07,53.8,conveniencia
BALA FINI REGALIZ TUBES ACIDO MORANGO 80G,BALA FINI,10.99,4.7717,30,2022-1,2026-12,2026-01-04,6.22,56.6,conveniencia
BALA FINI REGALIZ TUBES ACIDO SORTIDO CEREJA ABACAXI MAÇA VERDE 17G,BALA FINI,1.99,0.926,20,2022-1,2025-11,2026-05-08,1.06,53.3,conveniencia
BALA FINI REGALIZ TUBES MORANGO 80G,BALA FINI,10.99,4.8933,24,2022-1,2026-12,2026-05-10,6.1,55.5,conveniencia
BALA FINI TUBES MONO TWISTER 17G,BALA FINI,1.99,0.8675,19,2022-1,2026-11,2026-03-13,1.12,56.3,conveniencia
BALA FINI TUBES MORANGO 17G,BALA FINI,1.99,0.8518,42,2022-1,2026-12,2026-01-26,1.14,57.3,conveniencia
BALA FINI TUBES TUTTI-FRUTTI 15G,BALA FINI,1.99,0.8675,17,2022-1,2026-11,2026-02-26,1.12,56.3,conveniencia
FINI TUBES TWISTER CITRUS 15G,BALA FINI,1.99,0.9031,49,2022-1,2026-12,2026-04-14,1.09,54.8,conveniencia
BATERIA STARLUX ENERGY LITHIUM CR2032 230MAH 3V,BATERIA,3.99,1.6578,40,2022-1,2026-12,2026-05-02,2.33,58.4,revisar
BEBIDA LACTEA NESCAFÉ LATTE 270ML,BEBIDA LÁCTEA,13.99,6.405,45,2022-1,2026-12,2026-03-28,7.58,54.2,conveniencia
DANETE ACHOCOLATADO 200ML,BEBIDA LÁCTEA,4.99,2.2,25,2022-1,2026-12,2026-04-27,2.79,55.9,conveniencia
NESCAFE CAPPUCINO CLASSICO 270 ML,BEBIDA LÁCTEA,12.99,6.4067,44,2022-1,2026-12,2026-05-09,6.58,50.7,conveniencia
NESTLE NESTON FAST VITAMINA 280ML,BEBIDA LÁCTEA,12.99,6.3325,3,2025-1,2026-12,2026-05-10,6.66,51.3,conveniencia
ADRIA BISCOITO MOUSSE CHOCOLATE MEIO AMARGO 130G,BISCOITO,4.99,2.7,27,2022-1,2026-12,2026-05-01,2.29,45.9,conveniencia
ADRIA BISCOITO MOUSSE DE CHOCOLATE 130G,BISCOITO,4.99,2.81,42,2022-1,2026-12,2026-05-08,2.18,43.7,conveniencia
ADRIA BISCOITO RECHEAD TORTINHA DUE 140G,BISCOITO,5.99,3.09,50,2022-1,2026-12,2026-04-30,2.9,48.4,conveniencia
ADRIA MOUSSE MORANGO COM CHOCOLATE 130G,BISCOITO,4.99,2.8,27,2022-1,2026-12,2026-05-01,2.19,43.9,conveniencia
ADRIA TORTINHA DUE CHOCOLATE BRANCO E GELEIA DE FRUTAS VERMELHAS 140G,BISCOITO,5.99,2.95,50,2022-1,2026-12,2026-04-22,3.04,50.8,conveniencia
ARCOR PASSION CHOCOLATE 80G,BISCOITO,5.99,3.004,49,2022-1,2026-12,2026-05-07,2.99,49.9,conveniencia
ARCOR PASSION LIMÃO 80G,BISCOITO,5.99,3.004,46,2022-1,2026-12,2026-03-30,2.99,49.9,conveniencia
BAUDUCCO COOKIE ORIGINAL 60GR,BISCOITO,5.99,2.6,45,2022-1,2025-12,2026-05-06,3.39,56.6,conveniencia
BISCOITO BON O BON CHOCOLATE 76G,BISCOITO,7.99,3.995,48,2022-1,2026-12,2026-05-10,3.99,49.9,conveniencia
BISCOITO BONOBON CHOCO BISCUIT BEIJINHO 76G,BISCOITO,7.99,3.995,50,2022-1,2026-12,2026-04-22,4.0,50.1,conveniencia
BISCOITO COOKIE NESTLE CLASSIC COOKIE BAUNILHA 60G,BISCOITO,5.99,2.6406,33,2022-1,2026-12,2026-05-09,3.35,55.9,conveniencia
BISCOITO COOKIE NESTLE NESCAU DUO 60G,BISCOITO,5.99,2.62,23,2022-1,2026-11,2026-03-08,3.37,56.3,conveniencia
BISCOITO COOKIE NESTLE PRESTIGIO 60G,BISCOITO,5.99,2.6892,19,2022-1,2026-11,2026-05-03,3.3,55.1,conveniencia
BISCOITO ITAMARATY WAFFER LOOK CHOCO 55GR,BISCOITO,4.99,2.8579,42,2022-1,2026-12,2025-12-21,2.13,42.7,conveniencia
BISCOITO ITAMARATY WAFFER LOOK MORANG 55GR,BISCOITO,4.99,2.7033,49,2022-1,2026-12,2025-12-07,2.29,45.9,conveniencia
BISCOITO NESTLE CHOCO BISCUIT AO LEITE 78G,BISCOITO,9.99,5.312,40,2022-1,2025-12,2026-05-10,4.68,46.8,conveniencia
BISCOITO RECHEADO BONO CHOCOLATE 90G,BISCOITO,4.99,2.4858,26,2022-1,2026-12,2026-03-20,2.5,50.1,conveniencia
BISCOITO RECHEADO BONO COCO 90G,BISCOITO,5.89,2.8,49,2022-1,2026-12,2026-02-10,3.09,52.5,conveniencia
BISCOITO WAFER CHOCOLATE TRIUNFO 105G,BISCOITO,6.99,3.0872,43,2022-1,2026-12,2026-04-21,3.9,55.8,conveniencia
BISCOITO WAFER LIMAO TRIUNFO 105G,BISCOITO,6.99,3.06,45,2022-1,2026-12,2026-04-17,3.93,56.2,conveniencia
BISCOITO WAFER MORANGO TRIUNFO 105G,BISCOITO,6.99,3.09,45,2022-1,2026-12,2026-04-12,3.9,55.8,conveniencia
CASSINI POLVILHO 100G,BISCOITO,7.99,3.99,48,2022-1,2026-12,2026-05-08,4.0,50.1,conveniencia
CASSINI POLVILHO QUEIJO 100G,BISCOITO,7.99,3.99,49,2022-1,2026-12,2026-05-06,4.0,50.1,conveniencia
CLUB SOCIAL BACON E PROVOLONE 141G,BISCOITO,2.99,0.7637,10,2022-2,2026-10,2026-04-16,2.23,74.6,conveniencia
CLUB SOCIAL CEBOLA COM SOUR CREAM 141G,BISCOITO,2.99,0.7317,34,2022-1,2026-12,2026-05-03,2.26,75.6,conveniencia
CLUB SOCIAL ORIGINAL 24GR,BISCOITO,2.99,0.7206,3,2022-5,2022-7,2026-05-07,2.27,75.9,conveniencia
CLUB SOCIAL PIZZA MARGUERITA 68G,BISCOITO,8.99,4.61,40,2022-1,2026-12,2026-05-04,4.38,48.7,conveniencia
"CLUB SOCIAL PRESUNTO 23,5GR",BISCOITO,2.99,0.7256,8,2022-3,2022-10,2026-05-10,2.26,75.6,conveniencia
"CLUB SOCIAL RECH. QUEIJO, TOMATE E MANJERICAO 26,5GR",BISCOITO,2.99,1.0715,8,2022-3,2022-10,2026-05-03,1.92,64.2,conveniencia
CLUB SOCIAL RECH. REQUEIJAO 106G,BISCOITO,2.99,1.0625,8,2022-3,2022-10,2026-05-03,1.93,64.5,conveniencia
CLUB SOCIAL SNACK ASSADO CHURRASCO 68G,BISCOITO,8.99,4.61,40,2022-1,2026-12,2026-05-06,4.38,48.7,conveniencia
CLUB SOCIAL SNACK BARBECUE 68G,BISCOITO,8.99,4.99,36,2022-1,2026-12,2026-05-05,4.0,44.5,conveniencia
CLUB SOCIAL SNACK CEBOLA E SALSA 68G,BISCOITO,8.99,4.61,38,2022-1,2026-12,2026-04-03,4.38,48.7,conveniencia
CLUB SOCIAL SNACK QUEIJO 68G,BISCOITO,8.99,4.6625,42,2022-1,2026-12,2026-05-09,4.33,48.2,conveniencia
COOKIES GALAK 60G,BISCOITO,5.99,2.6075,31,2022-1,2026-12,2026-04-29,3.38,56.4,conveniencia
