sku,categoria,preco_venda_medio,custo_medio,n_snapshots,primeiro_visto,ultimo_visto,ultima_venda_max,margem_R$,margem_pct,tipo
CERVEJA AMSTEL LAGER 350ML,CERVEJA FEMSA,7.99,3.2622,20,2022-1,2023-11,2026-05-01,4.73,59.2,conveniencia
"HEINEKEN 0,0% 268ML",CERVEJA FEMSA,7.99,3.7562,34,2022-1,2025-12,2026-05-03,4.23,52.9,conveniencia
HEINEKEN LATA 269ML,CERVEJA FEMSA,7.99,3.7354,13,2022-1,2023-11,2026-05-10,4.25,53.2,conveniencia
HEINEKEN LATA LAGER 350ML,CERVEJA FEMSA,11.99,4.7167,19,2022-1,2023-11,2026-05-10,7.27,60.6,conveniencia
HEINEKEN LONG NECK SEM ALCOOL 330ML,CERVEJA FEMSA,12.99,12.0442,2,2022-1,2023-11,2026-05-09,0.95,7.3,conveniencia
ITAIPAVA GO DRAFT LONG 330ML,CERVEJA ITAIPAVA,9.99,4.6475,49,2022-1,2026-12,2023-11-04,5.34,53.5,conveniencia
CHICLE ARCOR HUEVITOS TORTUGUITA 300G,CHICLETE,3.99,1.4058,14,2022-1,2025-11,2026-05-08,2.58,64.7,conveniencia
CHICLE FINI MONO CLASSICOS 14G,CHICLETE,2.49,1.0043,14,2022-1,2023-11,2026-05-10,1.49,59.8,conveniencia
CHICLE FINI SALADA DE FRUTA 14G,CHICLETE,2.49,1.0778,14,2022-1,2024-12,2026-05-02,1.41,56.6,conveniencia
GOMA DE MASCAR SPEARMINT TRIDENT X SENSES POTE 54G 28 UNIDADES,CHICLETE,22.99,7.8167,34,2022-1,2026-12,2026-04-19,15.17,66.0,conveniencia
"TRIDENT BLUEBERRY 25,2GR",CHICLETE,13.99,4.9517,15,2022-1,2026-11,2026-04-24,9.04,64.6,conveniencia
"TRIDENT GAMERS ACID BERRY 48,3G",CHICLETE,22.99,9.15,48,2022-1,2026-12,2026-03-14,13.84,60.2,conveniencia
"TRIDENT GAMERS CITRUS MAX SEM ACUCAR 48,3G",CHICLETE,22.99,8.6583,46,2022-1,2026-12,2026-04-10,14.33,62.3,conveniencia
"TRIDENT MELANCIA 14UN 25,2GR",CHICLETE,13.99,4.9958,29,2022-1,2026-12,2025-12-01,8.99,64.3,conveniencia
"TRIDENT MENTA 14UN 25,2GR",CHICLETE,13.99,4.9958,3,2024-6,2024-8,2026-05-08,8.99,64.3,conveniencia
TRIDENT X SENSES MELANCIA MINT 28UN,CHICLETE,22.99,8.6583,35,2022-1,2026-12,2025-12-06,14.33,62.3,conveniencia
"TRIDENT XFRESH INTENSE 26,6GR",CHICLETE,13.99,4.9958,1,2023-7,2023-7,2026-05-10,8.99,64.3,conveniencia
TRIDENT XSENSES MORANGO LIME 54G,CHICLETE,22.99,9.15,40,2022-1,2026-12,2025-12-17,13.84,60.2,conveniencia
TRIDENT XSENSES PEPPERMINT ZERO POTE 54G,CHICLETE,22.99,8.869,40,2022-1,2026-12,2026-03-26,14.12,61.4,conveniencia
"CHOCOLATE ARCOR TORTUGUITA 11,5G",CHOCOLATE ARCOR,2.99,1.2634,36,2022-1,2026-12,2026-04-26,1.73,57.9,conveniencia
SNICKERS BRANCO 42G,CHOCOLATE ARCOR,7.99,3.2091,38,2022-1,2026-12,2026-03-24,4.78,59.8,conveniencia
"TORTUGUITA BAUNILHA 15,5GR ARCOR",CHOCOLATE ARCOR,2.99,1.2104,7,2022-2,2022-8,2026-05-05,1.78,59.5,conveniencia
"TORTUGUITA BRANCA RECHEIO CHOCOLATE 15,5G",CHOCOLATE ARCOR,2.99,1.2621,8,2022-2,2026-8,2026-04-29,1.73,57.9,conveniencia
BOMBOM ARCOR BLOCK 38G,CHOCOLATE DIVERSOS,6.99,3.0255,48,2022-1,2026-12,2026-05-10,3.96,56.7,conveniencia
CHOCOLATE BIS LACTA,CHOCOLATE DIVERSOS,14.99,5.9916,29,2022-1,2026-12,2026-05-09,9.0,60.0,conveniencia
CHOCOLATE CARIBE CANDYBAR 28G,CHOCOLATE DIVERSOS,5.99,2.4116,18,2022-1,2026-11,2026-03-10,3.58,59.8,conveniencia
CHOCOLATE TORTUGUITA BRIGADEIRO 15.5G,CHOCOLATE DIVERSOS,2.99,1.2257,7,2022-2,2022-8,2026-05-08,1.76,58.9,conveniencia
LACTA BIS LIMAO 100G,CHOCOLATE DIVERSOS,14.99,5.65,40,2022-1,2026-12,2026-04-13,9.34,62.3,conveniencia
PECCIN TRENTO BITES PTORTA DE LIMAO 40G,CHOCOLATE DIVERSOS,9.99,4.2683,33,2022-1,2026-12,2026-05-09,5.72,57.3,conveniencia
PECCIN TRENTO CHOCOLATE 29G,CHOCOLATE DIVERSOS,5.99,1.3317,42,2022-1,2025-12,2026-05-09,4.66,77.8,conveniencia
PECCIN TRENTO MINI 40G,CHOCOLATE DIVERSOS,9.99,4.2767,28,2022-1,2025-12,2026-05-06,5.71,57.2,conveniencia
PECCIN TRENTO MOUSSE DE MARACUJA 29G,CHOCOLATE DIVERSOS,5.99,2.395,39,2022-1,2025-12,2026-05-07,3.6,60.1,conveniencia
PECCIN TRENTO TORTA DE LIMAO 29G,CHOCOLATE DIVERSOS,5.99,2.3969,44,2022-1,2025-12,2026-05-08,3.59,59.9,conveniencia
TRENTO PISTACHE 29G,CHOCOLATE DIVERSOS,5.99,2.3975,47,2022-1,2026-12,2026-05-08,3.59,59.9,conveniencia
FERRERO ROCHER 3UN,CHOCOLATE FERRERO,14.99,8.4269,9,2022-2,2026-9,2026-04-28,6.56,43.8,conveniencia
FERRERO ROCHER RAFFAELLO 3UN,CHOCOLATE FERRERO,13.99,7.9987,10,2022-2,2025-12,2026-05-09,5.99,42.8,conveniencia
FERRERO ROCHER T8 100G,CHOCOLATE FERRERO,35.99,21.0654,25,2022-1,2026-11,2026-01-24,14.92,41.5,conveniencia
KINDER OVO MENINA,CHOCOLATE FERRERO,18.99,8.1215,3,2025-5,2026-12,2026-04-12,10.87,57.2,conveniencia
KINDER OVO MENINO,CHOCOLATE FERRERO,18.99,8.128,6,2024-2,2024-8,2026-05-10,10.86,57.2,conveniencia
KINDER TRONKY T1X10X4 18G,CHOCOLATE FERRERO,8.99,3.7822,28,2022-1,2026-12,2026-04-24,5.21,58.0,conveniencia
BATON AO LEITE BRANCO 16G,CHOCOLATE GAROTO,3.99,1.3919,1,2022-2,2022-2,2026-05-10,2.6,65.2,conveniencia
BOMBOM SERENATA DE AMOR 19G,CHOCOLATE GAROTO,2.99,0.956,46,2022-1,2025-12,2026-05-04,2.03,67.9,conveniencia
CAIXA DE BOMBONS SORTIDOS GAROTO 20% GRATIS 250G,CHOCOLATE GAROTO,24.99,14.2886,48,2022-1,2026-12,2026-02-28,10.7,42.8,conveniencia
CAIXA DE BOMBONS SORTIDOS GAROTO 220G,CHOCOLATE GAROTO,26.99,15.905,50,2022-1,2026-12,2026-03-26,11.08,41.1,conveniencia
CHOCOLATE GAROTO AMENDOIM CROCANTE 25G 2UN,CHOCOLATE GAROTO,5.99,2.4378,34,2022-1,2025-12,2026-05-08,3.55,59.3,conveniencia
GAROTO TALENTO AMEND/UVA PASSA 25G,CHOCOLATE GAROTO,6.99,2.85,41,2022-1,2025-12,2026-05-03,4.14,59.2,conveniencia
GAROTO TALENTO AVELAS 25GR,CHOCOLATE GAROTO,6.99,2.3748,42,2022-1,2025-12,2026-05-10,4.62,66.1,conveniencia
"CAIXA DE BOMBONS LACTA FAVORITOS 250,6G",CHOCOLATE LACTA,22.99,16.99,37,2022-1,2026-12,2026-04-26,6.0,26.1,conveniencia
CHOCOLATE DIAMANTE NEGRO 80G,CHOCOLATE LACTA,16.99,7.4361,14,2022-1,2026-11,2026-04-29,9.55,56.2,conveniencia
CHOCOLATE LACTA LAKA 80G,CHOCOLATE LACTA,16.99,7.5615,10,2022-2,2023-11,2026-05-02,9.43,55.5,conveniencia
CHOCOLATE LACTA SHOT 80G,CHOCOLATE LACTA,16.99,7.4499,14,2022-1,2025-11,2026-05-08,9.54,56.2,conveniencia
LACTA 5 STAR 40GR,CHOCOLATE LACTA,7.99,3.1191,13,2022-1,2026-11,2026-04-27,4.87,61.0,conveniencia
LACTA AO LEITE 20GR,CHOCOLATE LACTA,4.99,2.1879,25,2023-1,2025-12,2026-05-09,2.8,56.1,conveniencia
LACTA AO LEITE 80G,CHOCOLATE LACTA,16.99,7.35,10,2022-2,2026-10,2026-04-20,9.64,56.7,conveniencia
"LACTA BIS LAKA FLOWPACK 100,8G",CHOCOLATE LACTA,14.99,5.7652,25,2022-1,2026-11,2026-03-09,9.22,61.5,conveniencia
LACTA BIS XTRA BRANCO 45G,CHOCOLATE LACTA,8.99,3.7695,40,2022-1,2026-12,2026-04-21,5.22,58.1,conveniencia
LACTA BIS XTRA LAKA 45GR AZUL,CHOCOLATE LACTA,8.99,3.5812,1,2025-1,2025-1,2026-05-02,5.41,60.2,conveniencia
LACTA DIAMANTE NEGRO 20GR,CHOCOLATE LACTA,4.99,2.1524,34,2023-1,2025-12,2026-05-05,2.84,56.9,conveniencia
LACTA LAKA 20GR,CHOCOLATE LACTA,4.99,2.195,35,2023-1,2025-12,2026-05-10,2.8,56.1,conveniencia
"LACTA OREO 20,1G",CHOCOLATE LACTA,2.99,1.1862,34,2022-1,2024-12,2026-05-10,1.8,60.2,conveniencia
MMS CHOCOLATE AO LEITE MINIS TUBO 30G,CHOCOLATE M&M (MARS),8.99,3.6584,16,2022-1,2023-11,2026-05-06,5.33,59.3,conveniencia
SNICKERS MARACUJA 42G,CHOCOLATE M&M (MARS),7.99,3.2599,28,2022-1,2024-12,2026-04-24,4.73,59.2,conveniencia
SNICKERS MORANGO 42G,CHOCOLATE M&M (MARS),7.99,3.2245,30,2022-1,2026-12,2026-05-08,4.77,59.7,conveniencia
SNICKERS PÉ DE MOLEQUE 42G,CHOCOLATE M&M (MARS),7.99,3.3948,24,2022-1,2026-12,2026-03-24,4.6,57.6,conveniencia
TWIX 15GR,CHOCOLATE M&M (MARS),2.99,1.0703,18,2022-1,2026-11,2026-04-24,1.92,64.2,conveniencia
TWIX 40G,CHOCOLATE M&M (MARS),7.99,3.3661,16,2022-1,2026-12,2026-05-09,4.62,57.8,conveniencia
CAIXA DE BOMBONS NESTLE ESPECIALIDADES 251G 15UN,CHOCOLATE NESTLE,23.99,14.0125,20,2022-1,2026-11,2026-04-23,9.98,41.6,conveniencia
NESTLE ALPINO COOKIE GOTAS CHOC 60G,CHOCOLATE NESTLE,5.99,2.595,15,2022-1,2026-12,2026-03-20,3.4,56.8,conveniencia
NESTLE CHARGE 40GR,CHOCOLATE NESTLE,5.99,2.213,35,2022-1,2025-12,2026-05-06,3.78,63.1,conveniencia
NESTLE CHOCOLATE CRUNCH 80G,CHOCOLATE NESTLE,17.99,6.6694,44,2022-1,2026-12,2026-01-14,11.32,62.9,conveniencia
"NESTLE KIT KAT BRANCO 41,5GR",CHOCOLATE NESTLE,7.99,3.4304,30,2022-1,2026-12,2026-05-08,4.56,57.1,conveniencia
"NESTLE KIT KAT CHURROS 41,5G",CHOCOLATE NESTLE,7.99,3.4217,45,2022-1,2026-12,2026-04-13,4.57,57.2,conveniencia
"NESTLE KIT KAT MINI MOMENTS CARAMEL 34,6G",CHOCOLATE NESTLE,8.99,3.955,21,2022-1,2026-11,2026-05-02,5.04,56.1,conveniencia
"NESTLE KIT KAT PAPAI EM PÓ 1,3KG",CHOCOLATE NESTLE,8.5,0.2096,51,2022-1,2026-12,,8.29,97.5,conveniencia
NESTLE LOLLO 28GR,CHOCOLATE NESTLE,5.99,2.3136,16,2022-1,2025-11,2026-05-10,3.68,61.4,conveniencia
NESTLE PRESTIGIO BANANA 33G,CHOCOLATE NESTLE,7.99,3.5867,48,2022-1,2026-12,2026-05-09,4.4,55.1,conveniencia
NESTLE PRESTIGIO DARK 33GR,CHOCOLATE NESTLE,5.99,2.4453,41,2022-1,2025-12,2026-05-06,3.54,59.1,conveniencia
CHA LEAO ICE TEA FUZE PESSEGO 450ML,CHÁ,6.99,3.2383,1,2025-7,2025-7,2026-05-09,3.75,53.6,conveniencia
CHA LEAO ICE TEA LIMAO 450ML,CHÁ,6.99,3.1731,3,2025-5,2025-8,2026-05-09,3.82,54.6,conveniencia
CHÁ VERDE LIMÃO LEÃO GARRAFA 450ML,CHÁ,6.99,3.0167,46,2022-1,2026-12,2025-09-25,3.97,56.8,conveniencia
LEAO GUARANA AÇAI 450ML,CHÁ,5.99,2.5933,1,2026-5,2026-5,2026-04-29,3.4,56.8,conveniencia
CIGARRO CAMEL RED DUNE,CIGARRILHAS,15.0,13.815,47,2022-1,2026-12,2026-05-09,1.19,7.9,conveniencia
FUZZY AÇAI COM LEITINHO 1.5 L,CONGELADOS,43.99,26.57,14,2023-1,2026-12,2026-04-30,17.42,39.6,conveniencia
BEBIDA ALCOOLICA CHILLI BEANS COSMOPOLITAN 310ML,DESTILADOS DIVERSOS,15.99,6.43,51,2022-1,2026-12,,9.56,59.8,conveniencia
BEBIDA ALCOOLICA CHILLI BEANS MOJITO 310ML,DESTILADOS DIVERSOS,15.99,6.43,50,2022-1,2026-12,2026-04-12,9.56,59.8,conveniencia
CAMPARI BITTER 900ML,DESTILADOS DIVERSOS,98.99,54.9,50,2022-1,2026-12,2025-10-04,44.09,44.5,conveniencia
GIN ETERNITY MAÇA VERDE 900ML,DESTILADOS DIVERSOS,35.99,19.99,50,2022-1,2026-12,2024-04-14,16.0,44.5,conveniencia
GIN ETERNITY WATERMELON 900ML,DESTILADOS DIVERSOS,35.99,19.99,50,2022-1,2026-12,2024-05-01,16.0,44.5,conveniencia
GIN ROCK´S SICILIAN LEMON 1L,DESTILADOS DIVERSOS,44.99,26.47,50,2022-1,2026-12,2024-02-17,18.52,41.2,conveniencia
READYGIN MORANGO 275ML,DESTILADOS DIVERSOS,13.99,5.59,49,2022-1,2026-12,2025-07-29,8.4,60.0,conveniencia
SCHWEPPES MIXED GIN TONICA 269ML,DESTILADOS DIVERSOS,9.99,4.54,51,2022-1,2026-12,,5.45,54.6,conveniencia
AMANDITA 200GR,DOCES DIVERSOS,22.99,16.26,27,2022-1,2026-12,2026-01-27,6.73,29.3,conveniencia
AVARE PINGO DE LEITE 10G,DOCES DIVERSOS,2.99,0.9668,28,2022-1,2024-12,2026-05-09,2.02,67.6,conveniencia
BALA FINI GELATINA BANANAS 100GR,DOCES DIVERSOS,10.99,4.8528,1,2025-7,2025-7,2026-05-10,6.14,55.9,conveniencia
BALA FINI GELATINA DENTADURA 100GR,DOCES DIVERSOS,10.99,4.8933,1,2024-3,2024-3,2026-05-04,6.1,55.5,conveniencia
BALA FINI GELATINA MINHOCA BRILHO 90GR,DOCES DIVERSOS,10.99,4.8933,4,2022-1,2026-5,2026-04-22,6.1,55.5,conveniencia
COCADA BRANCA CABANA BRASIL SEM ACUCAR 40G,DOCES DIVERSOS,4.99,2.066,50,2022-1,2026-12,2026-05-04,2.92,58.5,conveniencia
COCADA BRANCA DE MINAS ZERO 40G,DOCES DIVERSOS,4.99,2.066,46,2022-1,2026-12,2026-05-06,2.92,58.5,conveniencia
COCADA MORENA ZERO ACUCAR 40G,DOCES DIVERSOS,4.99,2.066,51,2022-1,2026-12,,2.92,58.5,conveniencia
DOCE DE LEITE VIEIRA BEIJO DE LEITE 23G,DOCES DIVERSOS,3.99,1.0363,35,2022-1,2026-12,2026-01-18,2.95,73.9,conveniencia
"DOCE PE DE MOCA MOCOFORTE 50,5G",DOCES DIVERSOS,4.99,1.945,49,2022-1,2026-12,2026-05-06,3.04,60.9,conveniencia
DOCES VIEIRA CHOCO BEIJO 23G,DOCES DIVERSOS,3.99,1.6238,42,2022-1,2026-12,2026-04-26,2.37,59.4,conveniencia
DOCES VIEIRA CHURRITOS 23G,DOCES DIVERSOS,2.99,1.3659,44,2022-1,2026-12,2026-04-27,1.62,54.2,conveniencia
MARSHMALLOW DOCILE TWIST AZUL E BRANCO 250G,DOCES DIVERSOS,16.99,7.4,49,2022-1,2026-12,2026-03-20,9.59,56.4,conveniencia
MARSHMALLOW DOCILE TWIST COLOR 250G,DOCES DIVERSOS,16.99,7.4,39,2022-1,2026-12,2026-03-12,9.59,56.4,conveniencia
PACOCA ARTESANALSP PREMIUM 60G,DOCES DIVERSOS,4.99,1.7703,28,2022-1,2024-12,2026-05-09,3.22,64.5,conveniencia
PAÇOCA AMOR ARCOR 18G,DOCES DIVERSOS,1.99,0.6458,47,2022-1,2026-12,2025-12-17,1.34,67.3,conveniencia
PAÇOCA PREMIUM ARTESANAL 60G,DOCES DIVERSOS,4.99,1.9495,39,2022-1,2025-12,2026-05-08,3.04,60.9,conveniencia
PAÇOCA S.H PAÇOQUITA 18G,DOCES DIVERSOS,1.99,0.1521,17,2022-1,2026-11,2026-03-28,1.84,92.5,conveniencia
PAÇOCA S.H PAÇOQUITA 20G,DOCES DIVERSOS,1.99,0.5798,18,2022-1,2026-12,2026-03-29,1.41,70.9,conveniencia
PAÇOCA S.H PAÇOQUITA ORIGINAL 20G,DOCES DIVERSOS,1.99,0.5828,49,2022-1,2026-12,2026-04-13,1.41,70.9,conveniencia
PICOLE PIRACANJUBA PRO FORCE COCO C/CHOCOLATE BRANCO 75G,DOCES DIVERSOS,16.75,10.778,50,2022-1,2026-12,2026-04-04,5.97,35.6,conveniencia
PINGO BEL DOCE COM LEITE 50G,DOCES DIVERSOS,4.99,2.1429,48,2022-1,2026-12,2026-05-08,2.85,57.1,conveniencia
PINGO DE OURO ELMA CHIPS BACON 76G,DOCES DIVERSOS,9.99,4.6875,49,2022-1,2026-12,2026-05-07,5.3,53.1,conveniencia
RAPADURINHA DE MINAS 25G,DOCES DIVERSOS,2.99,0.9164,47,2022-1,2026-12,2026-05-08,2.07,69.2,conveniencia
ROCKS OVOMALTINE 40G,DOCES DIVERSOS,8.99,3.75,38,2022-1,2026-12,2025-12-26,5.24,58.3,conveniencia
SABORES DO COCO COCADA BRANCA 40G,DOCES DIVERSOS,4.99,2.063,29,2022-1,2026-12,2026-04-20,2.93,58.7,conveniencia
SABORES DO COCO COCADA MORENA 40G,DOCES DIVERSOS,4.99,2.0532,31,2022-1,2026-12,2026-04-23,2.94,58.9,conveniencia
SUSPIRO CASEIRO KE DELICIA 50G,DOCES DIVERSOS,6.99,2.598,48,2022-1,2026-12,2026-04-11,4.39,62.8,conveniencia
TORRONE AMENDOIM AMOR 25G,DOCES DIVERSOS,1.99,0.935,34,2022-1,2026-12,2026-05-08,1.06,53.3,conveniencia
ENERGETICO FUSION 1LT,ENERGÉTICO,17.99,6.2167,15,2022-1,2026-12,2025-04-26,11.77,65.4,conveniencia
ENERGETICO MONSTER ULTRA 473ML,ENERGÉTICO,17.99,7.4524,24,2022-1,2024-12,2026-05-10,10.54,58.6,conveniencia
ENERGETICO MONSTER ULTRA FIESTA MANGO 473ML,ENERGÉTICO,17.99,7.3713,37,2022-1,2025-12,2026-05-10,10.62,59.0,conveniencia
ENERGETICO MONSTER ULTRA PEACHY KEEN ZERO 473ML,ENERGÉTICO,17.99,7.3987,36,2022-1,2025-12,2026-05-09,10.59,58.9,conveniencia
ENERGETICO MONSTER ZERO SUGAR 473ML,ENERGÉTICO,17.99,7.4567,33,2022-1,2025-12,2026-05-10,10.53,58.5,conveniencia
ENERGETICO RED BULL POMELO SUGARFREE 250ML,ENERGÉTICO,17.99,7.4238,39,2022-1,2025-12,2026-05-10,10.57,58.8,conveniencia
ENERGETICO RED BULL SUGGAR FREE 250ML,ENERGÉTICO,17.99,7.5082,30,2022-1,2024-12,2026-05-07,10.48,58.3,conveniencia
ENERGETICO RED BULL THE TROPICAL EDITION 250ML,ENERGÉTICO,17.99,7.49,1,2025-4,2025-4,2026-05-08,10.5,58.4,conveniencia
ENERGETICO TNT AÇAI C/ GUARANA 473ML,ENERGÉTICO,17.99,7.2095,31,2022-1,2026-12,2026-04-30,10.78,59.9,conveniencia
ENERGETICO TNT ENERGY DRINK ZERO 269ML,ENERGÉTICO,13.99,5.915,35,2022-1,2026-12,2026-04-03,8.07,57.7,conveniencia
ENERGETICO TNT JUICE MANGO SUMMER 269ML,ENERGÉTICO,13.99,5.8553,26,2022-1,2025-12,2026-05-02,8.13,58.1,conveniencia
ENERGETICO TNT MACA VERDE ZERO 269ML,ENERGÉTICO,13.99,5.7781,33,2022-1,2026-12,2026-04-18,8.21,58.7,conveniencia
ENERGÉTICO TNT JUICE MANGO 473ML,ENERGÉTICO,16.99,7.215,18,2022-1,2026-11,2026-05-02,9.77,57.5,conveniencia
MONSTER ENERGY ULTRA VIOLET 473ML,ENERGÉTICO,17.99,7.4567,16,2022-1,2023-11,2026-05-03,10.53,58.5,conveniencia
MONSTER ULTRA WATERMELON 473 ML,ENERGÉTICO,17.99,7.452,46,2022-1,2025-12,2026-05-09,10.54,58.6,conveniencia
TNT MAÇA VERDE ZERO AÇUCAR 473 ML,ENERGÉTICO,16.99,7.215,23,2022-1,2026-12,2026-05-04,9.77,57.5,conveniencia
ALCOOL EM GEL PARA MAOS GIOVANNA BABY 500ML,HIGIENE PESSOAL,5.99,1.89,51,2022-1,2026-12,,4.1,68.4,conveniencia
APARELHO DE BARBEAR BOZZANO CONFORT UN,HIGIENE PESSOAL,5.99,3.8046,44,2022-1,2026-12,2026-03-05,2.19,36.6,conveniencia
CURATIVO ISABABY TRADICIONAL,HIGIENE PESSOAL,5.99,2.57,39,2022-1,2026-12,2025-12-28,3.42,57.1,conveniencia
HIDRATANTE LABIAL CARMED FINI BEIJOS GLITTER 10G,HIGIENE PESSOAL,29.99,15.54,51,2022-1,2026-12,,14.45,48.2,conveniencia
KIT VIAGEM AZUL DENTIL150GR,HIGIENE PESSOAL,25.99,12.85,51,2022-1,2026-12,,13.14,50.6,conveniencia
PRESERVATIVO OLLA 3UN,HIGIENE PESSOAL,9.99,6.7775,44,2022-1,2026-12,2022-11-14,3.21,32.1,conveniencia
PRESERVATIVO SUPRA CLASSICO 3UN,HIGIENE PESSOAL,5.99,2.3814,17,2022-1,2026-11,2026-04-19,3.61,60.3,conveniencia
PRESERVATIVO SUPRA SENSITIVE 3UN,HIGIENE PESSOAL,9.99,2.4924,26,2022-1,2026-12,2026-04-19,7.5,75.1,conveniencia
IOGURTE DANONE MORANGO 170GR,IOGURTE,6.99,3.14,38,2022-1,2026-12,2026-03-05,3.85,55.1,conveniencia
GATORADE BERRY BLUE 500ML,ISOTÔNICO,11.99,4.5315,27,2022-1,2024-12,2026-05-06,7.46,62.2,conveniencia
GATORADE FRUTAS CITRICAS 500ML,ISOTÔNICO,11.99,4.5864,14,2022-3,2026-12,2026-04-26,7.4,61.7,conveniencia
GATORADE LARANJA 500ML,ISOTÔNICO,11.99,4.6922,1,2024-6,2024-6,2026-05-09,7.3,60.9,conveniencia
GATORADE LIMAO 500ML,ISOTÔNICO,11.99,4.6929,6,2024-5,2024-10,2026-05-10,7.3,60.9,conveniencia
GATORADE MARACUJÁ 500ML,ISOTÔNICO,11.99,4.6933,14,2024-1,2026-10,2025-12-01,7.3,60.9,conveniencia
GATORADE MORANGO MARACUJA 500ML,ISOTÔNICO,11.99,4.6933,8,2024-1,2026-12,2026-04-29,7.3,60.9,conveniencia
GATORADE TANGERINA 500ML,ISOTÔNICO,11.99,4.6933,9,2024-2,2026-11,2026-01-16,7.3,60.9,conveniencia
GATORADE UVA 500ML,ISOTÔNICO,11.99,4.2534,9,2024-2,2026-11,2026-04-29,7.74,64.6,conveniencia
POWERADE FRUTAS TROPICAIS SQUEEZE 500ML,ISOTÔNICO,8.99,3.7256,9,2022-2,2026-8,2026-04-25,5.26,58.5,conveniencia
POWERADE LARANJA SQUEEZE 500ML,ISOTÔNICO,8.99,3.7084,7,2022-2,2022-8,2026-05-06,5.28,58.7,conveniencia
POWERADE LIMAO SQUEEZE 500ML,ISOTÔNICO,8.99,3.6586,9,2022-2,2025-10,2026-05-02,5.33,59.3,conveniencia
POWERADE MOUNTAIN BLAST 500ML,ISOTÔNICO,8.99,3.7642,16,2022-1,2026-11,2026-04-27,5.23,58.2,conveniencia
POWERADE SOUR MACA VERDE 500ML,ISOTÔNICO,8.99,3.5517,48,2022-1,2026-12,2025-12-02,5.44,60.5,conveniencia
POWERADE TANGERINA 500ML,ISOTÔNICO,8.99,3.5517,47,2022-1,2026-12,2026-03-20,5.44,60.5,conveniencia
POWERADE UVA 500ML,ISOTÔNICO,8.99,3.7022,17,2022-1,2023-11,2026-05-04,5.29,58.8,conveniencia
ISQUEIRO BIC,ISQUEIROS,6.99,4.7518,18,2022-1,2023-11,2026-05-06,2.24,32.0,conveniencia
ISQUEIRO BIC GRANDE,ISQUEIROS,7.99,5.49,21,2022-1,2024-12,2026-05-10,2.5,31.3,conveniencia
ISQUEIRO BIC MAXI BERCO BLISTER UN,ISQUEIROS,7.99,4.84,51,2022-1,2026-12,,3.15,39.4,conveniencia
ISQUEIRO CLIPPER MAXI GRAFITE,ISQUEIROS,7.99,2.2224,42,2022-1,2025-12,2026-05-09,5.77,72.2,conveniencia
ISQUEIRO CLIPPER MINI LISO UN,ISQUEIROS,3.99,1.9241,45,2022-1,2026-12,2026-02-22,2.07,51.9,conveniencia
CAMEL DOUBLE MELANCIA,JTI,15.0,13.815,4,2025-3,2026-12,2026-02-12,1.19,7.9,conveniencia
CAMEL DOUBLE MINT E PURPLE,JTI,15.0,13.5769,9,2025-1,2026-12,2025-08-06,1.42,9.5,conveniencia
CAMEL FILTERS,JTI,11.25,5.0426,3,2022-3,2022-5,2026-05-08,6.21,55.2,conveniencia
CAMEL MENTHOL BOX,JTI,16.0,14.6408,42,2022-1,2025-12,2026-05-10,1.36,8.5,conveniencia
CAMEL PURPLE BEACH BOX,JTI,15.0,13.8139,41,2022-1,2025-12,2026-05-09,1.19,7.9,conveniencia
CAMEL YELLOW TROPICAL,JTI,15.0,13.815,46,2022-1,2025-12,2026-05-09,1.18,7.9,conveniencia
CIGARRO CAMEL KRETEK BERRY,JTI,16.0,14.6299,37,2022-1,2025-12,2026-05-10,1.37,8.6,conveniencia
CIGARRO INDONESIA KRETEK CAMEL OPTION,JTI,16.0,13.905,32,2022-1,2026-12,2025-07-27,2.1,13.1,conveniencia
CIGARRO LM FIRST CUT GREY BOX,JTI,7.75,7.156,38,2022-1,2025-12,2026-05-09,0.59,7.6,conveniencia
DJARUM BLACK ICE BOX,JTI,20.5,18.9185,45,2022-1,2026-12,2026-05-06,1.58,7.7,conveniencia
DJARUM BLACK KRETEK MENTOL,JTI,20.5,18.5331,1,2025-8,2025-8,2026-05-07,1.97,9.6,conveniencia
WINSTON BLUE BOX HAND SELECTED,JTI,8.0,5.4417,5,2022-2,2022-6,2026-05-10,2.56,32.0,conveniencia
WINSTON CLASSIC HAND SELECTED,JTI,8.0,7.368,4,2022-2,2022-5,2026-05-10,0.63,7.9,conveniencia
WINSTON DOUBLE MINT BOX,JTI,12.25,11.1858,15,2023-1,2024-12,2026-04-30,1.06,8.7,conveniencia
WINSTON RED 8 BOX,JTI,9.25,8.5192,3,2025-3,2025-5,2026-05-09,0.73,7.9,conveniencia
WINSTON SILVER,JTI,9.25,8.5193,28,2022-1,2025-12,2026-05-03,0.73,7.9,conveniencia
WINSTON X STYLE BLUE,JTI,9.0,8.4781,37,2022-1,2026-12,2026-05-04,0.52,5.8,conveniencia
WINSTON X STYLE RED,JTI,9.0,8.506,37,2022-1,2025-12,2026-05-03,0.49,5.4,conveniencia
"BALA MENTOS FRUIT 37,5G",MENTOS,4.99,1.7743,44,2022-1,2026-12,2026-05-10,3.22,64.5,conveniencia
"BALA MENTOS FRUTAS VERMELHAS 37,5G",MENTOS,4.99,1.8955,22,2022-1,2023-12,2026-05-09,3.09,61.9,conveniencia
