seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,79,1095,616507.4,628315.92,1812.3,77.2,0.2985,226.6272,82.1
42,80,1095,624362.3,628455.63,1844.4,121.9,0.294,226.3439,82.8
42,81,1095,644060.3,636430.79,1824.7,108.8,0.2896,235.0603,86.7
42,82,1095,623092.3,626350.86,1911.2,90.9,0.2852,231.8754,84.9
42,83,1095,632539.5,636624.25,1767.3,74.9,0.281,230.2035,84.6
42,84,1095,643402.8,633187.56,1769.0,82.6,0.2767,230.2528,84.6
42,85,1095,671426.8,667588.78,1656.8,168.0,0.2726,226.0175,86.1
42,86,1095,655426.56,657508.69,1690.5,207.0,0.2685,239.078,81.0
42,87,1095,642975.56,632290.43,1762.1,81.1,0.2645,232.8424,87.8
42,88,1095,633736.75,639335.51,1746.9,72.7,0.2605,231.9244,86.5
42,89,1095,665536.25,659050.24,1711.6,158.4,0.2566,231.6792,84.9
42,90,1095,672590.75,666303.46,1654.8,154.6,0.2528,231.34,88.8
42,91,1095,651072.7,646519.47,1679.2,192.2,0.249,245.663,90.2
42,92,1095,626665.94,630512.82,1856.8,64.6,0.2452,233.4256,86.8
42,93,1095,652456.25,623272.28,1769.7,122.3,0.2415,231.966,88.9
42,94,1095,660761.1,638342.03,1687.8,89.7,0.2379,232.5607,88.3
42,95,1095,644084.06,632223.07,1824.4,110.1,0.2344,233.2393,87.8
42,96,1095,663135.7,631284.06,1787.9,74.2,0.2308,246.5524,88.9
42,97,1095,653890.56,628877.13,1718.6,181.9,0.2274,238.816,90.3
42,98,1095,652431.75,637843.09,1782.1,82.1,0.224,235.6548,91.4
42,99,1095,655462.75,633157.1,1753.7,81.5,0.2206,236.6302,89.1
42,100,1095,689528.4,664271.92,1638.1,189.9,0.2173,235.8645,85.2
42,101,1095,662097.8,635307.32,1752.9,142.0,0.214,247.7179,91.4
42,102,1095,682528.0,655761.0,1803.3,197.1,0.2108,240.9552,87.9
42,103,1095,683483.7,661320.43,1703.3,171.4,0.2077,243.0008,88.2
42,104,1095,651703.8,630392.1,1807.0,127.4,0.2046,240.7213,89.9
42,105,1095,668308.8,621514.43,1801.1,154.1,0.2015,239.6841,89.9
42,106,1095,672004.6,634057.97,1757.8,91.9,0.1985,248.6303,89.1
42,107,1095,674558.75,640587.79,1796.5,84.2,0.1955,246.8553,93.2
42,108,1095,670079.9,624835.11,1795.7,124.4,0.1926,246.2317,91.0
42,109,1095,702918.2,662112.55,1708.9,169.7,0.1897,244.4237,88.6
42,110,1095,709175.75,658739.43,1805.7,269.3,0.1868,244.981,89.5
42,111,1095,675567.06,623470.64,1696.8,69.8,0.184,258.501,88.9
42,112,1095,684259.8,630515.37,1838.6,63.6,0.1813,247.9664,87.6
42,113,1095,685701.6,632232.76,1903.5,81.2,0.1785,244.8917,86.8
42,114,1095,681182.9,633161.18,1849.0,66.9,0.1759,246.4016,88.9
42,115,1095,676854.3,620030.59,1833.5,114.5,0.1732,246.9438,88.9
42,116,1095,729455.8,662373.8,1697.4,206.2,0.1706,263.3903,88.4
42,117,1095,686548.9,630381.09,1687.0,81.9,0.1681,251.0264,90.5
42,118,1095,725312.56,639384.18,1681.6,201.2,0.1655,250.0809,89.1
42,119,1095,703600.4,623841.34,1827.2,93.7,0.1631,250.0169,91.0
42,120,1095,712063.6,625202.53,1847.5,108.5,0.1606,248.1179,90.8
42,121,1095,694393.2,632981.25,1782.0,117.0,0.1582,262.964,88.2
42,122,1095,707643.1,633201.69,1814.0,83.0,0.1558,254.4508,88.1
42,123,1095,710040.4,623929.28,1801.8,162.2,0.1535,256.2525,92.2
42,124,1095,716834.3,635279.06,1825.9,82.5,0.1512,255.2176,89.8
42,125,1095,745521.25,641623.94,1720.0,161.3,0.1489,254.1743,89.8
42,126,1095,715651.8,636420.69,1858.7,75.8,0.1467,267.8087,91.8
42,127,1095,731340.2,634792.73,1722.0,71.9,0.1445,255.6508,90.5
42,128,1095,728189.6,630292.86,1713.6,179.1,0.1423,254.1778,90.6
42,129,1095,739721.1,629422.53,1722.6,87.7,0.1402,254.3816,91.2
42,130,1095,732105.25,631046.89,1713.5,115.2,0.1381,250.1316,89.9
42,131,1095,763728.94,653226.54,1695.0,214.6,0.136,263.3244,88.6
42,132,1095,771194.9,658160.09,1596.7,160.5,0.134,256.8518,91.4
42,133,1095,743444.94,634253.26,1727.3,111.1,0.132,255.9434,90.5
42,134,1095,766703.8,636442.01,1658.1,205.8,0.13,252.3102,90.3
42,135,1095,745484.9,642159.44,1758.5,157.1,0.128,249.4745,93.5
42,136,1095,754843.06,637454.92,1715.8,122.4,0.1261,263.346,92.6
42,137,1095,734345.06,623322.82,1699.3,125.4,0.1242,260.3897,92.0
42,138,1095,754137.5,627132.76,1719.8,65.1,0.1224,251.6758,89.1
42,139,1095,775652.2,639837.3,1669.6,102.2,0.1205,249.2007,91.2
42,140,1095,753854.06,622090.1,1828.5,161.9,0.1187,255.869,90.4
42,141,1095,748152.3,624196.19,1811.4,165.5,0.1169,270.3013,94.5
42,142,1095,786569.7,662809.8,1658.7,171.2,0.1152,257.2952,93.8
42,143,1095,744041.8,630547.94,1769.3,95.5,0.1135,259.0494,94.2
42,144,1095,742496.94,633963.88,1740.4,107.5,0.1118,256.6533,93.7
42,145,1095,757887.06,637532.69,1771.3,73.5,0.1101,254.1813,93.2
42,146,1095,749419.75,635134.22,1638.9,74.2,0.1084,264.5231,90.3
42,147,1095,733468.06,621699.71,1800.4,129.8,0.1068,262.5568,92.7
42,148,1095,758729.94,633123.06,1740.5,152.5,0.1052,258.9669,91.1
42,149,1095,791929.1,656411.33,1663.8,205.1,0.1036,254.726,91.8
