modelo,reward,reward_std,lucro,d_lucro_pct,perdas,d_perdas_pct
V13.v3,788941.69,7985.01,648613.3,0.098,1723.8,-2.173
V12.1,875755.38,6690.84,649348.34,0.212,1746.7,-0.87
Sem promo,563781.54,6119.17,647977.09,0.0,1762.1,0.0
