produto,dia,turno,mes,fator_combinado,is_fraco,action,promove
energetico,4,0,6,0.85,False,0,False
energetico,4,1,6,0.9,False,0,False
energetico,4,2,6,0.962,False,3,True
energetico,5,0,6,1.012,False,0,False
energetico,5,1,6,1.071,False,0,False
energetico,5,2,6,1.146,False,0,False
energetico,6,0,6,0.8,True,0,False
energetico,6,1,6,0.847,False,0,False
energetico,6,2,6,0.906,False,0,False
energetico,0,0,7,0.607,True,3,True
energetico,0,1,7,0.642,True,3,True
energetico,0,2,7,0.687,True,3,True
energetico,1,0,7,0.641,True,0,False
energetico,1,1,7,0.679,True,0,False
energetico,1,2,7,0.726,True,3,True
energetico,2,0,7,0.675,True,0,False
energetico,2,1,7,0.715,True,0,False
energetico,2,2,7,0.764,True,3,True
energetico,3,0,7,0.749,True,0,False
energetico,3,1,7,0.793,True,0,False
energetico,3,2,7,0.848,False,3,True
energetico,4,0,7,0.928,False,0,False
energetico,4,1,7,0.983,False,0,False
energetico,4,2,7,1.051,False,3,True
energetico,5,0,7,1.106,False,0,False
energetico,5,1,7,1.17,False,0,False
energetico,5,2,7,1.251,False,0,False
energetico,6,0,7,0.874,False,0,False
energetico,6,1,7,0.925,False,0,False
energetico,6,2,7,0.989,False,0,False
energetico,0,0,8,0.639,True,3,True
energetico,0,1,8,0.676,True,3,True
energetico,0,2,8,0.723,True,3,True
energetico,1,0,8,0.675,True,0,False
energetico,1,1,8,0.715,True,0,False
energetico,1,2,8,0.764,True,3,True
energetico,2,0,8,0.711,True,0,False
energetico,2,1,8,0.753,True,0,False
energetico,2,2,8,0.805,True,3,True
energetico,3,0,8,0.789,True,3,True
energetico,3,1,8,0.835,False,3,True
energetico,3,2,8,0.893,False,3,True
energetico,4,0,8,0.978,False,0,False
energetico,4,1,8,1.035,False,0,False
energetico,4,2,8,1.107,False,3,True
energetico,5,0,8,1.164,False,0,False
energetico,5,1,8,1.232,False,0,False
energetico,5,2,8,1.318,False,0,False
energetico,6,0,8,0.921,False,0,False
energetico,6,1,8,0.974,False,0,False
energetico,6,2,8,1.042,False,0,False
energetico,0,0,9,0.692,True,3,True
energetico,0,1,9,0.732,True,3,True
energetico,0,2,9,0.783,True,3,True
energetico,1,0,9,0.731,True,0,False
energetico,1,1,9,0.774,True,0,False
energetico,1,2,9,0.828,True,3,True
energetico,2,0,9,0.77,True,0,False
energetico,2,1,9,0.815,True,0,False
energetico,2,2,9,0.872,False,3,True
energetico,3,0,9,0.854,False,3,True
energetico,3,1,9,0.904,False,0,False
energetico,3,2,9,0.967,False,3,True
energetico,4,0,9,1.059,False,0,False
energetico,4,1,9,1.12,False,0,False
energetico,4,2,9,1.198,False,3,True
energetico,5,0,9,1.261,False,0,False
energetico,5,1,9,1.334,False,0,False
energetico,5,2,9,1.427,False,0,False
energetico,6,0,9,0.997,False,0,False
energetico,6,1,9,1.055,False,0,False
energetico,6,2,9,1.128,False,0,False
energetico,0,0,10,0.756,True,3,True
energetico,0,1,10,0.801,True,3,True
energetico,0,2,10,0.856,False,3,True
energetico,1,0,10,0.799,True,0,False
energetico,1,1,10,0.846,False,0,False
energetico,1,2,10,0.905,False,3,True
energetico,2,0,10,0.842,False,0,False
energetico,2,1,10,0.891,False,0,False
energetico,2,2,10,0.953,False,0,False
energetico,3,0,10,0.934,False,0,False
energetico,3,1,10,0.988,False,0,False
energetico,3,2,10,1.057,False,3,True
energetico,4,0,10,1.157,False,0,False
energetico,4,1,10,1.225,False,0,False
energetico,4,2,10,1.31,False,0,False
energetico,5,0,10,1.378,False,0,False
energetico,5,1,10,1.459,False,0,False
energetico,5,2,10,1.56,False,0,False
energetico,6,0,10,1.09,False,0,False
energetico,6,1,10,1.153,False,0,False
energetico,6,2,10,1.233,False,0,False
energetico,0,0,11,0.97,False,3,True
energetico,0,1,11,1.027,False,3,True
energetico,0,2,11,1.098,False,0,False
energetico,1,0,11,1.025,False,0,False
energetico,1,1,11,1.085,False,0,False
energetico,1,2,11,1.16,False,0,False
energetico,2,0,11,1.08,False,0,False
energetico,2,1,11,1.143,False,0,False
energetico,2,2,11,1.222,False,0,False
energetico,3,0,11,1.198,False,0,False
energetico,3,1,11,1.268,False,0,False
energetico,3,2,11,1.356,False,0,False
energetico,4,0,11,1.484,False,0,False
energetico,4,1,11,1.571,False,0,False
energetico,4,2,11,1.68,False,0,False
energetico,5,0,11,1.768,False,0,False
energetico,5,1,11,1.871,False,0,False
energetico,5,2,11,2.001,False,0,False
energetico,6,0,11,1.397,False,0,False
energetico,6,1,11,1.479,False,0,False
energetico,6,2,11,1.581,False,0,False
gelo,0,0,0,0.423,True,3,True
gelo,0,1,0,0.437,True,3,True
gelo,0,2,0,0.291,True,3,True
gelo,1,0,0,0.677,False,0,False
gelo,1,1,0,0.698,False,0,False
gelo,1,2,0,0.465,True,3,True
gelo,2,0,0,0.735,False,0,False
gelo,2,1,0,0.758,False,0,False
gelo,2,2,0,0.505,True,3,True
gelo,3,0,0,0.57,False,0,False
gelo,3,1,0,0.588,False,0,False
gelo,3,2,0,0.392,True,3,True
gelo,4,0,0,0.776,False,0,False
gelo,4,1,0,0.801,False,0,False
gelo,4,2,0,0.533,False,0,False
gelo,5,0,0,2.336,False,0,False
gelo,5,1,0,2.41,False,0,False
gelo,5,2,0,1.605,False,0,False
gelo,6,0,0,1.784,False,0,False
gelo,6,1,0,1.84,False,0,False
gelo,6,2,0,1.226,False,0,False
gelo,0,0,1,0.462,True,3,True
gelo,0,1,1,0.477,True,3,True
gelo,0,2,1,0.318,True,3,True
gelo,1,0,1,0.739,False,0,False
gelo,1,1,1,0.762,False,0,False
gelo,1,2,1,0.508,True,3,True
gelo,2,0,1,0.802,False,0,False
gelo,2,1,1,0.828,False,0,False
gelo,2,2,1,0.551,False,0,False
gelo,3,0,1,0.623,False,0,False
gelo,3,1,1,0.642,False,0,False
gelo,3,2,1,0.428,True,3,True
gelo,4,0,1,0.848,False,0,False
gelo,4,1,1,0.874,False,0,False
gelo,4,2,1,0.583,False,0,False
gelo,5,0,1,2.551,False,0,False
gelo,5,1,1,2.632,False,0,False
gelo,5,2,1,1.753,False,0,False
gelo,6,0,1,1.948,False,0,False
gelo,6,1,1,2.009,False,0,False
gelo,6,2,1,1.339,False,0,False
gelo,0,0,2,0.452,True,3,True
gelo,0,1,2,0.466,True,3,True
gelo,0,2,2,0.31,True,3,True
gelo,1,0,2,0.722,False,0,False
gelo,1,1,2,0.745,False,0,False
gelo,1,2,2,0.496,True,3,True
gelo,2,0,2,0.784,False,0,False
gelo,2,1,2,0.809,False,0,False
gelo,2,2,2,0.539,False,0,False
gelo,3,0,2,0.608,False,0,False
gelo,3,1,2,0.628,False,0,False
gelo,3,2,2,0.418,True,3,True
gelo,4,0,2,0.828,False,0,False
gelo,4,1,2,0.854,False,0,False
gelo,4,2,2,0.569,False,0,False
gelo,5,0,2,2.493,False,0,False
gelo,5,1,2,2.572,False,0,False
gelo,5,2,2,1.713,False,0,False
gelo,6,0,2,1.903,False,0,False
gelo,6,1,2,1.963,False,0,False
gelo,6,2,2,1.308,False,0,False
gelo,0,0,3,0.425,True,3,True
gelo,0,1,3,0.439,True,3,True
gelo,0,2,3,0.292,True,3,True
gelo,1,0,3,0.68,False,0,False
gelo,1,1,3,0.702,False,0,False
gelo,1,2,3,0.467,True,3,True
gelo,2,0,3,0.738,False,0,False
gelo,2,1,3,0.762,False,0,False
gelo,2,2,3,0.507,True,3,True
gelo,3,0,3,0.573,False,0,False
gelo,3,1,3,0.591,False,0,False
gelo,3,2,3,0.394,True,3,True
gelo,4,0,3,0.78,False,0,False
gelo,4,1,3,0.805,False,0,False
gelo,4,2,3,0.536,False,0,False
gelo,5,0,3,2.348,False,0,False
gelo,5,1,3,2.422,False,0,False
gelo,5,2,3,1.613,False,0,False
gelo,6,0,3,1.792,False,0,False
gelo,6,1,3,1.849,False,0,False
gelo,6,2,3,1.232,False,0,False
gelo,0,0,4,0.351,True,3,True
gelo,0,1,4,0.362,True,3,True
gelo,0,2,4,0.241,True,3,True
gelo,1,0,4,0.561,False,0,False
gelo,1,1,4,0.578,False,0,False
gelo,1,2,4,0.385,True,3,True
gelo,2,0,4,0.609,False,0,False
gelo,2,1,4,0.628,False,0,False
gelo,2,2,4,0.418,True,3,True
gelo,3,0,4,0.472,True,3,True
gelo,3,1,4,0.487,True,3,True
gelo,3,2,4,0.325,True,3,True
gelo,4,0,4,0.643,False,0,False
gelo,4,1,4,0.663,False,0,False
gelo,4,2,4,0.442,True,3,True
gelo,5,0,4,1.935,False,0,False
gelo,5,1,4,1.997,False,0,False
gelo,5,2,4,1.33,False,0,False
gelo,6,0,4,1.478,False,0,False
gelo,6,1,4,1.524,False,0,False
gelo,6,2,4,1.016,False,0,False
gelo,0,0,5,0.401,True,3,True
gelo,0,1,5,0.414,True,3,True
gelo,0,2,5,0.276,True,3,True
gelo,1,0,5,0.641,False,0,False
gelo,1,1,5,0.661,False,0,False
gelo,1,2,5,0.441,True,3,True
gelo,2,0,5,0.696,False,0,False
gelo,2,1,5,0.718,False,0,False
gelo,2,2,5,0.478,True,3,True
gelo,3,0,5,0.54,False,0,False
gelo,3,1,5,0.557,False,0,False
gelo,3,2,5,0.371,True,3,True
gelo,4,0,5,0.735,False,0,False
gelo,4,1,5,0.758,False,0,False
