episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,0,-4022.2400000000002,0.0,0.997,-4022.2400000000002,0.7333333333333333,0.3,1,8,5,1,3,4,9
1,0,-1743.4899999999996,0.0,0.994009,-2882.865,0.8666666666666667,0.2,0,4,5,6,5,4,6
2,0,-650.31,620.2148708767361,0.991026973,-2138.68,0.8,0.2,0,6,3,6,6,3,6
3,0,-598.1400000000004,648.8569966634115,0.988053892081,-1753.5449999999998,0.9,0.26666666666666666,1,3,3,6,4,6,8
4,0,-1395.5000000000005,671.4129903157552,0.985089730404757,-1681.9360000000001,0.8333333333333334,0.2,0,5,6,10,1,2,6
5,0,-1738.25,597.6084299723308,0.9821344612135428,-1691.3216666666667,0.7333333333333333,0.2,0,8,4,3,6,3,6
6,0,-391.40000000000015,545.741640218099,0.9791880578299021,-1505.6185714285714,0.8666666666666667,0.26666666666666666,0,4,8,3,5,2,8
7,0,-2787.33,548.1842712402344,0.9762504936564125,-1665.8325,0.8,0.1,0,6,1,6,6,8,3
8,0,2219.94,538.814628092448,0.9733217421754432,-1234.08,0.8333333333333334,0.3333333333333333,0,5,4,5,3,3,10
9,0,3819.3700000000003,542.2492645263671,0.9704017769489168,-728.7349999999999,0.8666666666666667,0.16666666666666666,0,4,5,8,5,3,5
10,0,1269.66,585.2376047770182,0.9674905716180701,-547.0627272727271,0.8,0.1,0,6,6,5,4,6,3
11,0,-1050.3300000000002,600.1230153401692,0.9645880999032158,-589.0016666666666,0.7666666666666667,0.13333333333333333,0,7,4,4,6,5,4
12,0,2224.1099999999997,544.863471476237,0.9616943356035061,-372.6084615384615,0.8,0.2,0,6,4,3,6,5,6
13,0,4236.81,600.9166870117188,0.9588092525966956,-43.36428571428561,0.8333333333333334,0.3333333333333333,0,5,6,4,0,5,10
14,0,1674.79,606.2352549235026,0.9559328248389055,71.17933333333343,0.9333333333333333,0.16666666666666666,0,2,6,7,5,5,5
15,0,-4894.399999999999,568.9574666341146,0.9530650263643888,-239.1693749999999,0.9333333333333333,0.16666666666666666,0,2,5,9,5,4,5
16,0,2039.1199999999997,588.9094207763671,0.9502058312852957,-105.15235294117639,0.8333333333333334,0.3,0,5,6,3,3,4,9
17,0,847.81,614.4944712320963,0.9473552137914398,-52.20999999999992,0.8333333333333334,0.16666666666666666,0,5,3,8,6,3,5
18,0,3311.38,600.5009511311849,0.9445131481500655,124.82105263157901,0.8666666666666667,0.13333333333333333,0,4,3,3,7,9,4
19,0,-3075.9500000000007,634.400298055013,0.9416796087056153,-35.21749999999997,0.9333333333333333,0.1,0,2,9,7,7,2,3
20,0,-3598.33,598.0832295735677,0.9388545698794984,-204.88952380952378,0.8333333333333334,0.16666666666666666,0,5,6,10,2,2,5
21,0,2325.2999999999997,570.5803670247395,0.93603800616986,-89.88090909090907,0.8666666666666667,0.26666666666666666,0,4,3,3,5,7,8
22,0,924.9900000000002,600.1463317871094,0.9332298921513504,-45.75608695652171,0.9,0.2,0,3,4,8,7,2,6
23,0,-424.68000000000006,575.1412933349609,0.9304302024748964,-61.54458333333334,0.7666666666666667,0.23333333333333334,0,7,4,5,6,1,7
24,0,1107.7299999999998,580.6760864257812,0.9276389118674717,-14.773600000000014,0.7333333333333333,0.16666666666666666,0,8,5,3,3,6,5
25,0,2166.5199999999995,563.7111063639323,0.9248559951318693,69.12230769230766,0.7333333333333333,0.3,0,8,4,2,3,4,9
26,0,-751.4700000000003,565.1862508138021,0.9220814271464737,38.72999999999996,0.7666666666666667,0.2,0,7,6,3,2,6,6
27,0,-403.4400000000001,543.1875823974609,0.9193151828650342,22.938214285714245,0.8666666666666667,0.16666666666666666,0,4,7,5,5,4,5
28,0,2597.1,546.9609853108724,0.9165572373164391,111.70241379310342,0.9,0.16666666666666666,0,3,5,6,5,6,5
29,0,440.47999999999956,511.04778340657555,0.9138075656044898,122.66166666666662,0.7333333333333333,0.2,0,8,3,4,4,5,6
30,0,837.5900000000001,524.2213317871094,0.9110661429076764,284.65599999999995,0.7,0.23333333333333334,0,9,6,3,2,3,7
31,0,4035.7799999999993,502.0401926676432,0.9083329444789534,477.2983333333332,0.8333333333333334,0.16666666666666666,0,5,6,3,6,5,5
32,0,-1252.4199999999998,557.0394032796224,0.9056079456455165,457.2279999999999,0.8666666666666667,0.23333333333333334,0,4,5,5,8,1,7
33,0,-1778.5300000000002,545.9382985432943,0.90289112180858,417.8816666666665,0.9,0.26666666666666666,0,3,5,7,1,6,8
34,0,-2159.09,527.6142618815104,0.9001824484431542,392.4286666666666,0.7,0.13333333333333333,0,9,4,4,2,7,4
35,0,-1192.68,679.9481699625651,0.8974819010978248,410.61433333333326,0.7666666666666667,0.23333333333333334,0,7,3,4,7,2,7
36,0,-2037.5599999999995,730.1429219563802,0.8947894553945313,355.74233333333336,0.8333333333333334,0.16666666666666666,0,5,4,4,7,5,5
