episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,0,-12952.649999999998,0.0,0.997,-12952.649999999998,0.8,0.1,0,6,5,5,5,6,3
1,0,-14929.740000000002,0.0,0.994009,-13941.195,0.8666666666666667,0.06666666666666667,0,4,9,5,3,7,2
2,0,-12839.880000000003,1788.0262903284145,0.991026973,-13574.090000000002,0.9,0.16666666666666666,0,3,6,6,7,3,5
3,0,2530.9699999999993,1878.2859497070312,0.988053892081,-9547.825,0.7333333333333333,0.3,0,8,1,2,5,5,9
4,0,-6579.760000000001,1838.1309733072917,0.985089730404757,-8954.212000000001,0.8333333333333334,0.2,0,5,2,5,6,6,6
5,0,-16742.89,1796.072880045573,0.9821344612135428,-10252.325,0.9,0.3,0,3,4,4,4,6,9
6,0,-9851.77,1667.1211100260416,0.9791880578299021,-10195.102857142858,0.9666666666666667,0.23333333333333334,0,1,7,4,6,5,7
7,0,-11256.81,1599.2798380533854,0.9762504936564125,-10327.81625,0.8,0.23333333333333334,0,6,3,5,6,3,7
8,0,-15528.789999999999,1442.554844156901,0.9733217421754432,-10905.702222222222,0.8333333333333334,0.13333333333333333,1,5,6,5,7,3,4
9,0,-2337.5499999999997,1448.303155517578,0.9704017769489168,-10048.886999999999,0.8666666666666667,0.26666666666666666,0,4,6,4,3,5,8
10,0,-16225.26,1400.8017049153646,0.9674905716180701,-10610.375454545454,0.7666666666666667,0.1,0,7,4,7,4,5,3
11,0,-12664.61,1357.0310811360678,0.9645880999032158,-10781.561666666666,0.8333333333333334,0.1,0,5,7,2,6,7,3
12,0,-4380.460000000004,1253.638340250651,0.9616943356035061,-10289.16923076923,0.8,0.16666666666666666,0,6,6,3,6,4,5
13,0,-10962.05,1311.7272298177083,0.9588092525966956,-10337.232142857141,0.7333333333333333,0.1,0,8,5,5,4,5,3
14,0,-15216.32,1278.7553548177084,0.9559328248389055,-10662.504666666666,0.8666666666666667,0.06666666666666667,1,4,4,6,4,10,2
15,0,-10496.82,1327.9620483398437,0.9530650263643888,-10652.149375,0.7,0.23333333333333334,0,9,2,2,7,3,7
16,0,-11223.480000000001,1186.036728922526,0.9502058312852957,-10685.75705882353,0.7666666666666667,0.16666666666666666,0,7,5,3,3,7,5
17,0,-6781.490000000002,1247.5175252278646,0.9473552137914398,-10468.853333333334,0.7333333333333333,0.16666666666666666,0,8,6,4,5,2,5
18,0,-10086.870000000003,1349.4155598958334,0.9445131481500655,-10448.748947368422,0.7,0.1,0,9,5,5,0,8,3
19,0,-12436.84,1301.9714986165366,0.9416796087056153,-10548.1535,0.8333333333333334,0.23333333333333334,0,5,3,5,4,6,7
20,0,-9908.58,1301.3348307291667,0.9388545698794984,-10517.697619047618,0.8333333333333334,0.1,0,5,5,8,3,6,3
21,0,-9394.389999999998,1300.0486857096355,0.93603800616986,-10466.638181818182,0.8333333333333334,0.16666666666666666,0,5,7,6,5,2,5
22,0,-10524.099999999997,1146.8194132486979,0.9332298921513504,-10469.13652173913,0.7666666666666667,0.1,0,7,2,3,10,5,3
23,0,-9660.139999999996,1174.3804565429687,0.9304302024748964,-10435.428333333333,0.7666666666666667,0.16666666666666666,0,7,6,3,4,5,5
24,0,-12472.249999999998,1239.5159016927084,0.9276389118674717,-10516.901199999998,0.7666666666666667,0.16666666666666666,0,7,3,4,5,6,5
25,0,-12530.330000000004,1169.0111348470052,0.9248559951318693,-10594.340769230768,0.8,0.13333333333333333,0,6,7,7,3,3,4
26,0,-14831.630000000003,1189.4985677083334,0.9220814271464737,-10751.277407407408,0.9333333333333333,0.13333333333333333,0,2,5,5,11,3,4
27,0,544.2999999999992,1164.997052001953,0.9193151828650342,-10347.863928571429,0.8,0.13333333333333333,0,6,5,3,6,6,4
28,0,-14051.999999999996,1182.327726236979,0.9165572373164391,-10475.592758620689,0.7666666666666667,0.16666666666666666,0,7,1,4,4,9,5
29,0,-2187.17,1154.991611735026,0.9138075656044898,-10199.312,0.7333333333333333,0.13333333333333333,0,8,2,9,2,5,4
30,0,-11134.100000000002,1180.6567687988281,0.9110661429076764,-10138.693666666666,0.6333333333333333,0.1,0,11,7,7,1,1,3
31,0,-3737.8899999999994,1172.2620340983074,0.9083329444789534,-9765.632,0.7333333333333333,0.23333333333333334,0,8,5,2,4,4,7
32,0,-10477.809999999998,1295.548321533203,0.9056079456455165,-9686.896333333332,0.6666666666666666,0.13333333333333333,0,10,5,5,4,2,4
33,0,-9865.68,1260.912703450521,0.90289112180858,-10100.117999999999,0.8333333333333334,0.16666666666666666,0,5,6,5,3,6,5
34,0,-14067.169999999996,1292.163877360026,0.9001824484431542,-10349.698333333334,0.7333333333333333,0.2,0,8,4,6,2,4,6
35,0,1203.3099999999995,1299.8395955403646,0.8974819010978248,-9751.491666666665,0.8,0.16666666666666666,0,6,5,7,4,3,5
36,0,4138.340000000002,1344.5723754882813,0.8947894553945313,-9285.154666666665,0.6,0.2,0,12,2,2,4,4,6
37,0,-12588.739999999998,1369.2078002929688,0.8921050870283477,-9329.552333333331,0.7,0.13333333333333333,0,9,3,6,4,4,4
38,0,-9799.769999999999,1378.632548014323,0.8894287717672626,-9138.585,0.6666666666666666,0.1,0,10,6,6,2,3,3
39,0,-7547.539999999998,1373.703019205729,0.8867604854519608,-9312.251333333332,0.5666666666666667,0.2,0,13,2,2,4,3,6
40,0,849.1299999999995,1330.4613688151042,0.884100203995605,-8743.105,0.8,0.16666666666666666,0,6,5,3,7,4,5
41,0,-266.9300000000002,1322.0475972493489,0.8814479033836181,-8329.848999999998,0.6666666666666666,0.2,0,10,2,4,5,3,6
42,0,-15143.800000000001,1279.1417032877605,0.8788035596734672,-8688.626999999999,0.7666666666666667,0.06666666666666667,0,7,5,4,5,7,2
43,0,-14694.839999999998,1330.2787719726562,0.8761671489944468,-8813.053333333333,0.7333333333333333,0.13333333333333333,0,8,2,8,4,4,4
44,0,-7106.990000000001,1407.0842569986978,0.8735386475474635,-8542.742333333332,0.8,0.16666666666666666,0,6,6,4,4,5,5
45,0,-4699.41,1431.3340454101562,0.8709180316048211,-8349.49533333333,0.6,0.16666666666666666,0,12,1,3,3,6,5
46,0,8244.759999999998,1284.0045572916667,0.8683052775100066,-7700.553999999998,0.6666666666666666,0.2,0,10,3,1,5,5,6
47,0,-9704.919999999998,1386.348807779948,0.8657003616774767,-7798.001666666664,0.8333333333333334,0.2,0,5,6,4,5,4,6
48,0,-7153.6900000000005,1353.6506612141927,0.8631032605924442,-7700.2289999999975,0.7333333333333333,0.2,0,8,3,5,7,1,6
49,0,-11534.73,1430.7821858723958,0.860513950810667,-7670.158666666666,0.7666666666666667,0.13333333333333333,0,7,4,3,4,8,4
50,0,-12794.56,1345.9082173665365,0.857932408958235,-7766.357999999998,0.6,0.06666666666666667,0,12,4,4,1,7,2
51,0,-2670.330000000001,1303.4641072591146,0.8553586117313603,-7542.222666666665,0.6,0.16666666666666666,1,12,2,3,6,2,5
52,0,2860.099999999999,1369.7065083821615,0.8527925358961662,-7096.082666666665,0.7,0.23333333333333334,0,9,5,4,3,2,7
53,0,-2959.57,1479.7468282063803,0.8502341582884777,-6872.730333333334,0.7333333333333333,0.16666666666666666,0,8,4,2,6,5,5
54,0,11952.539999999999,1426.1169067382812,0.8476834558136123,-6058.5706666666665,0.7,0.2,0,9,5,4,3,3,6
55,0,-6040.039999999999,1431.0395060221354,0.8451404054461714,-5842.227666666665,0.8,0.13333333333333333,0,6,1,7,8,4,4
56,0,-10346.680000000002,1403.2876586914062,0.8426049842298329,-5692.729333333333,0.6333333333333333,0.16666666666666666,0,11,4,1,4,5,5
57,0,-10010.890000000001,1451.55068359375,0.8400771692771434,-6044.569,0.6666666666666666,0.16666666666666666,0,10,6,3,3,3,5
58,0,-8215.46,1473.6032165527345,0.837556937769312,-5850.017666666667,0.6666666666666666,0.06666666666666667,0,10,5,5,5,3,2
59,0,-1318.740000000001,1482.4228637695312,0.835044266956004,-5821.070000000001,0.6333333333333333,0.1,0,11,4,6,2,4,3
60,0,-16160.499999999996,1417.7777547200521,0.8325391341551359,-5988.616666666667,0.7333333333333333,0.13333333333333333,0,8,7,4,1,6,4
61,0,-4406.949999999999,1508.3032674153646,0.8300415167526705,-6010.9186666666665,0.7,0.26666666666666666,0,9,4,3,3,3,8
62,0,6465.25,1431.2045267740884,0.8275513922024125,-5446.15,0.7666666666666667,0.3,0,7,2,4,4,4,9
63,0,-4235.910000000001,1444.0881998697917,0.8250687380258053,-5258.491,0.6666666666666666,0.16666666666666666,0,10,3,1,6,5,5
64,0,-13202.82,1441.3487528483072,0.8225935318117279,-5229.6793333333335,0.7,0.2,0,9,5,4,3,3,6
65,0,-3271.2899999999986,1453.1572163899739,0.8201257512162927,-5378.832666666667,0.6666666666666666,0.13333333333333333,0,10,3,2,6,5,4
66,0,-10877.710000000001,1424.4353271484374,0.8176653739626438,-5879.367666666668,0.6333333333333333,0.1,0,11,1,4,5,6,3
67,0,-10061.700000000003,1497.865254720052,0.8152123778407558,-5795.133000000001,0.7333333333333333,0.3,0,8,6,3,3,1,9
68,0,-11279.0,1352.527978515625,0.8127667407072335,-5844.440666666667,0.7,0.03333333333333333,0,9,3,7,6,4,1
69,0,-939.9200000000001,1443.045027669271,0.8103284404851119,-5624.186666666667,0.7666666666666667,0.16666666666666666,0,7,4,5,6,3,5
70,0,-4944.889999999999,1492.9282185872396,0.8078974551636565,-5817.320666666668,0.5,0.0,0,15,2,2,5,6,0
71,0,-4204.829999999999,1417.2871866861979,0.8054737627981655,-5948.584,0.7666666666666667,0.16666666666666666,0,7,6,5,4,3,5
72,0,-11617.829999999998,1438.1768513997397,0.803057341509771,-5831.051666666666,0.7,0.3,0,9,3,3,3,3,9
73,0,-7607.1100000000015,1386.1864217122395,0.8006481694852418,-5594.793999999999,0.5333333333333333,0.1,0,14,5,2,3,3,3
74,0,-775.6000000000024,1524.452587890625,0.798246224976786,-5383.747666666666,0.8666666666666667,0.26666666666666666,0,4,4,6,5,3,8
75,0,-458.7300000000015,1488.7030497233072,0.7958514863018556,-5242.391666666667,0.6666666666666666,0.13333333333333333,0,10,7,2,4,3,4
76,0,-6818.5599999999995,1464.5198323567708,0.79346393184295,-5744.502333333333,0.6333333333333333,0.13333333333333333,0,11,3,3,5,4,4
77,0,-6249.849999999999,1523.3218119303385,0.7910835400474212,-5629.333333333334,0.5333333333333333,0.06666666666666667,0,14,1,5,7,1,2
