episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,0,-6008.839999999999,0.0,0.997,-6008.839999999999,0.8333333333333334,0.2,0,5,3,8,6,2,6
1,0,-8508.04,0.0,0.994009,-7258.4400000000005,0.8333333333333334,0.1,0,5,6,2,6,8,3
2,0,-8021.970000000002,1485.7146086516204,0.991026973,-7512.950000000001,0.7666666666666667,0.13333333333333333,0,7,5,3,6,5,4
3,0,2479.9899999999993,1571.0022135416666,0.988053892081,-5014.715000000001,0.9333333333333333,0.2,0,2,7,4,5,6,6
4,0,-1052.0500000000004,1633.7406697591146,0.985089730404757,-4222.182000000001,0.9,0.13333333333333333,0,3,8,7,6,2,4
5,0,-6857.450000000002,1502.6556030273437,0.9821344612135428,-4661.393333333334,0.8,0.26666666666666666,0,6,4,4,6,2,8
6,0,-6591.339999999998,1456.372578938802,0.9791880578299021,-4937.1,0.9,0.26666666666666666,0,3,4,2,5,8,8
7,0,-10157.15,1351.0419189453125,0.9762504936564125,-5589.606250000001,0.8333333333333334,0.13333333333333333,0,5,5,8,1,7,4
8,0,-12817.759999999997,1192.4968587239584,0.9733217421754432,-6392.734444444444,0.9,0.16666666666666666,0,3,6,7,4,5,5
9,0,1908.0500000000002,1221.4288940429688,0.9704017769489168,-5562.656,0.8666666666666667,0.2,0,4,1,8,3,8,6
10,0,-6304.750000000001,1195.7712727864584,0.9674905716180701,-5630.119090909091,0.8333333333333334,0.2,0,5,6,3,3,7,6
11,0,1104.6899999999985,1197.3322672526042,0.9645880999032158,-5068.885,0.8666666666666667,0.26666666666666666,0,4,6,2,5,5,8
12,0,-105.90999999999997,1239.5844970703124,0.9616943356035061,-4687.117692307693,0.8,0.26666666666666666,0,6,5,4,4,3,8
13,0,-5943.76,1151.418251546224,0.9588092525966956,-4776.8778571428575,0.8,0.06666666666666667,0,6,11,6,2,3,2
14,0,-9719.260000000002,1198.513028971354,0.9559328248389055,-5106.370000000001,0.8333333333333334,0.3,1,5,2,4,5,5,9
15,0,-4965.4900000000025,1223.2074483235676,0.9530650263643888,-5097.5650000000005,0.8666666666666667,0.3333333333333333,0,4,7,3,3,3,10
16,0,-1171.58,1298.9066975911458,0.9502058312852957,-4866.624705882354,0.8666666666666667,0.3,0,4,4,9,2,2,9
17,0,-7084.97,1227.0491027832031,0.9473552137914398,-4989.866111111111,0.9333333333333333,0.26666666666666666,0,2,3,6,5,6,8
18,0,-5834.759999999999,1202.6399291992188,0.9445131481500655,-5034.334210526316,0.8,0.13333333333333333,0,6,7,1,6,6,4
19,0,-10171.34,1272.578232828776,0.9416796087056153,-5291.1845,0.7,0.26666666666666666,0,9,1,3,5,4,8
20,0,-4912.73,1199.5155721028646,0.9388545698794984,-5273.162857142857,0.8666666666666667,0.2,0,4,8,3,6,3,6
21,0,-8200.51,1182.3042541503905,0.93603800616986,-5406.224090909091,0.8333333333333334,0.06666666666666667,0,5,6,2,11,4,2
22,0,-675.4800000000004,1139.775272623698,0.9332298921513504,-5200.539565217391,0.8666666666666667,0.13333333333333333,0,4,5,3,2,12,4
23,0,-6121.169999999999,1247.6078816731772,0.9304302024748964,-5238.899166666667,0.8666666666666667,0.2,0,4,5,7,3,5,6
24,0,1468.8799999999992,1174.9861409505208,0.9276389118674717,-4970.588,0.7333333333333333,0.16666666666666666,0,8,3,3,6,5,5
25,0,-7867.199999999998,1198.1695556640625,0.9248559951318693,-5081.996153846154,0.7,0.03333333333333333,0,9,6,3,6,5,1
26,0,-8165.540000000001,1180.3677083333334,0.9220814271464737,-5196.201481481482,0.8,0.16666666666666666,0,6,6,5,3,5,5
27,0,-5505.6500000000015,1141.4423319498699,0.9193151828650342,-5207.253214285714,0.8333333333333334,0.26666666666666666,0,5,6,2,5,4,8
28,0,-2473.5500000000006,1143.4037556966146,0.9165572373164391,-5112.987586206896,0.8,0.3,0,6,5,3,3,4,9
29,0,-2708.13,1100.3654418945312,0.9138075656044898,-5032.825666666667,0.8,0.26666666666666666,0,6,2,1,8,5,8
30,0,-7465.5999999999985,1088.7092529296874,0.9110661429076764,-5081.384333333333,0.8,0.2,0,6,2,7,3,6,6
31,0,-8635.13,1164.9896158854167,0.9083329444789534,-5085.620666666667,0.8333333333333334,0.06666666666666667,0,5,5,8,5,5,2
32,0,-5495.4800000000005,1180.6837768554688,0.9056079456455165,-5001.404333333335,0.6333333333333333,0.0,0,11,5,6,3,5,0
33,0,-1850.5699999999988,1066.4716878255208,0.90289112180858,-5145.756333333335,0.8666666666666667,0.16666666666666666,0,4,7,6,3,5,5
34,0,-5953.78,1140.4230651855469,0.9001824484431542,-5309.147333333335,0.7666666666666667,0.23333333333333334,0,7,6,2,4,4,7
35,0,1550.5499999999995,1170.6423197428385,0.8974819010978248,-5028.880666666668,0.7,0.1,0,9,6,2,4,6,3
36,0,-6377.37,1135.6579040527345,0.8947894553945313,-5021.748333333335,0.6,0.03333333333333333,0,12,3,3,5,6,1
37,0,3387.7700000000004,1101.4247802734376,0.8921050870283477,-4570.251000000001,0.7333333333333333,0.16666666666666666,0,8,2,4,4,7,5
38,0,-10532.430000000002,1220.563338216146,0.8894287717672626,-4494.073333333333,0.9,0.03333333333333333,0,3,4,5,12,5,1
39,0,-5259.209999999999,1129.084855143229,0.8867604854519608,-4732.982,0.8,0.13333333333333333,0,6,6,6,6,2,4
40,0,1394.5300000000013,1150.0225402832032,0.884100203995605,-4476.339333333333,0.8,0.13333333333333333,0,6,5,4,6,5,4
41,0,-5034.649999999999,1198.4190938313802,0.8814479033836181,-4680.9839999999995,0.5666666666666667,0.1,0,13,1,5,5,3,3
42,0,-7375.389999999999,1114.547538248698,0.8788035596734672,-4923.3,0.7,0.16666666666666666,0,9,2,5,3,6,5
