episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,0,-12830.06,0.0,0.997,-12830.06,0.9,0.16666666666666666,0,3,2,4,8,8,5
1,0,-7401.28,0.0,0.994009,-10115.67,0.8333333333333334,0.2,0,5,3,5,5,6,6
2,0,-9047.11,1225.496871383102,0.991026973,-9759.483333333334,0.8333333333333334,0.16666666666666666,0,5,6,4,7,3,5
3,0,-372.20999999999975,1147.6687093098958,0.988053892081,-7412.665,0.7666666666666667,0.26666666666666666,0,7,2,6,3,4,8
4,0,-9631.669999999998,1113.4796813964845,0.985089730404757,-7856.466,0.8,0.2,0,6,4,5,3,6,6
5,0,-9214.55,1001.508447265625,0.9821344612135428,-8082.813333333334,0.8333333333333334,0.2,0,5,2,5,7,5,6
6,0,-5083.189999999998,902.1075948079427,0.9791880578299021,-7654.295714285714,0.7666666666666667,0.16666666666666666,0,7,5,2,2,9,5
7,0,-8420.689999999997,801.9626688639323,0.9762504936564125,-7750.094999999999,0.7,0.16666666666666666,0,9,3,5,3,5,5
8,0,-7735.509999999999,777.0090698242187,0.9733217421754432,-7748.474444444443,0.8333333333333334,0.16666666666666666,0,5,7,8,2,3,5
9,0,346.07999999999953,732.2596537272135,0.9704017769489168,-6939.018999999998,0.6333333333333333,0.1,0,11,1,6,5,4,3
10,0,-5777.749999999999,741.1980122884114,0.9674905716180701,-6833.44909090909,0.8666666666666667,0.23333333333333334,0,4,5,7,2,5,7
11,0,-5143.850000000001,734.8900858561198,0.9645880999032158,-6692.649166666666,0.8,0.2,0,6,4,4,3,7,6
12,0,-6599.89,761.0302815755208,0.9616943356035061,-6685.513846153845,0.9,0.06666666666666667,0,3,7,7,8,3,2
13,0,-5893.07,723.3433349609375,0.9588092525966956,-6628.910714285715,0.8333333333333334,0.1,0,5,6,3,6,7,3
14,0,-2987.7500000000014,696.2986592610677,0.9559328248389055,-6386.166666666667,0.8,0.16666666666666666,0,6,4,7,3,5,5
15,0,-12779.920000000002,717.6367360432943,0.9530650263643888,-6785.77625,0.8333333333333334,0.06666666666666667,0,5,4,4,7,8,2
16,0,-9366.160000000002,684.7573994954427,0.9502058312852957,-6937.563529411765,0.8666666666666667,0.13333333333333333,0,4,4,9,6,3,4
17,0,-4255.060000000002,667.5278737386068,0.9473552137914398,-6788.535555555555,0.6333333333333333,0.03333333333333333,0,11,4,2,3,9,1
18,0,-6827.689999999999,680.6307779947916,0.9445131481500655,-6790.596315789474,0.8,0.1,0,6,2,5,10,4,3
19,0,-5559.82,712.4223978678385,0.9416796087056153,-6729.0575,0.8,0.2,0,6,5,4,2,7,6
20,0,-13994.82,659.8890157063802,0.9388545698794984,-7075.0461904761905,0.8333333333333334,0.2,0,5,7,4,3,5,6
21,0,-5607.369999999999,647.9147318522135,0.93603800616986,-7008.333636363636,0.7666666666666667,0.13333333333333333,0,7,4,7,4,4,4
22,0,-3733.1600000000008,683.2592122395833,0.9332298921513504,-6865.934782608696,0.7666666666666667,0.16666666666666666,0,7,4,7,2,5,5
23,0,-7983.91,687.4059224446614,0.9304302024748964,-6912.517083333333,0.7333333333333333,0.26666666666666666,1,8,3,5,4,2,8
24,0,-9893.109999999997,695.6779744466146,0.9276389118674717,-7031.7408,0.9,0.1,0,3,4,5,9,6,3
25,0,-7404.599999999999,684.9799540201823,0.9248559951318693,-7046.081538461538,0.8333333333333334,0.13333333333333333,0,5,6,4,6,5,4
26,0,-7511.63,667.2634887695312,0.9220814271464737,-7063.324074074074,0.8666666666666667,0.13333333333333333,0,4,5,6,7,4,4
27,0,-2495.880000000001,655.8550425211589,0.9193151828650342,-6900.201071428572,0.8333333333333334,0.23333333333333334,0,5,5,5,3,5,7
28,0,-2830.1200000000003,696.63203125,0.9165572373164391,-6759.853448275862,0.8,0.1,0,6,4,4,8,5,3
29,0,-2840.6499999999996,697.1896413167318,0.9138075656044898,-6629.213333333333,0.8,0.16666666666666666,0,6,8,1,2,8,5
30,0,-6905.0199999999995,693.5037150065104,0.9110661429076764,-6431.7119999999995,0.7,0.13333333333333333,0,9,5,2,6,4,4
31,0,-4949.840000000001,721.0819193522135,0.9083329444789534,-6349.997333333332,0.7666666666666667,0.13333333333333333,0,7,6,6,5,2,4
32,0,-8622.08,693.8299499511719,0.9056079456455165,-6335.829666666666,0.8333333333333334,0.13333333333333333,0,5,5,3,6,7,4
33,0,-10205.109999999997,707.7009012858073,0.90289112180858,-6663.592999999998,0.8333333333333334,0.3,0,5,3,7,1,5,9
34,0,-9883.26,655.006581624349,0.9001824484431542,-6671.979333333332,0.7666666666666667,0.13333333333333333,0,7,5,5,6,3,4
35,0,-7825.82,764.5448120117187,0.8974819010978248,-6625.6883333333335,0.9,0.1,0,3,3,7,7,7,3
36,0,-4229.570000000001,778.2645345052083,0.8947894553945313,-6597.234333333333,0.8666666666666667,0.2,0,4,2,7,4,7,6
37,0,-3824.670000000001,739.6874013264974,0.8921050870283477,-6444.033666666667,0.6333333333333333,0.13333333333333333,0,11,6,3,3,3,4
38,0,-9567.830000000002,764.3622416178385,0.8894287717672626,-6505.111000000001,0.6333333333333333,0.03333333333333333,0,11,7,3,3,5,1
39,0,-9434.88,750.2744791666667,0.8867604854519608,-6831.143000000001,0.8666666666666667,0.16666666666666666,0,4,8,4,5,4,5
40,0,4248.970000000001,713.6863830566406,0.884100203995605,-6496.919000000001,0.6666666666666666,0.23333333333333334,0,10,1,7,2,3,7
41,0,-6988.7300000000005,728.4811543782552,0.8814479033836181,-6558.415,0.6666666666666666,0.13333333333333333,0,10,4,6,4,2,4
42,0,-6234.96,728.4470072428386,0.8788035596734672,-6546.250666666669,0.6666666666666666,0.06666666666666667,0,10,2,5,6,5,2
43,0,-310.3,757.8877339680989,0.8761671489944468,-6360.158333333335,0.6666666666666666,0.26666666666666666,0,10,2,2,2,6,8
44,0,-5475.46,775.5598551432291,0.8735386475474635,-6443.0819999999985,0.8333333333333334,0.1,0,5,6,3,6,7,3
45,0,-5466.429999999999,743.4649841308594,0.8709180316048211,-6199.298999999999,0.6666666666666666,0.06666666666666667,0,10,2,6,7,3,2
46,0,-5010.600000000001,740.9539225260417,0.8683052775100066,-6054.113666666666,0.8666666666666667,0.1,0,4,6,5,7,5,3
47,0,-5849.180000000001,734.7543314615885,0.8657003616774767,-6107.250999999998,0.6666666666666666,0.1,0,10,5,1,6,5,3
48,0,-5115.500000000001,752.3554158528646,0.8631032605924442,-6050.177999999999,0.7333333333333333,0.16666666666666666,0,8,1,6,3,7,5
49,0,-7843.239999999999,740.8176025390625,0.860513950810667,-6126.291999999999,0.7,0.06666666666666667,0,9,8,5,3,3,2
50,0,-764.9700000000005,769.6055603027344,0.857932408958235,-5685.297,0.7666666666666667,0.3333333333333333,0,7,3,6,2,2,10
51,0,-3851.3600000000006,783.8370971679688,0.8553586117313603,-5626.763333333332,0.7333333333333333,0.13333333333333333,0,8,5,3,5,5,4
52,0,-4934.320000000001,784.3385091145833,0.8527925358961662,-5666.802,0.7,0.1,0,9,8,5,2,3,3
53,0,-9609.119999999999,786.145186360677,0.8502341582884777,-5720.975666666665,0.8,0.13333333333333333,0,6,5,4,6,5,4
54,0,-1559.4400000000003,736.0173767089843,0.8476834558136123,-5443.186666666667,0.6333333333333333,0.13333333333333333,0,11,1,4,6,4,4
55,0,-4003.869999999999,740.7969665527344,0.8451404054461714,-5329.829,0.8,0.3,0,6,3,6,4,2,9
56,0,-5147.329999999999,786.4118937174479,0.8426049842298329,-5251.018999999999,0.7333333333333333,0.26666666666666666,0,8,4,4,3,3,8
57,0,-6776.439999999999,720.7333679199219,0.8400771692771434,-5393.704333333332,0.8,0.26666666666666666,0,6,7,3,3,3,8
58,0,-1519.1999999999998,742.3937703450521,0.837556937769312,-5350.007,0.7666666666666667,0.3,0,7,1,5,2,6,9
59,0,-4629.41,773.4066304524739,0.835044266956004,-5409.632333333334,0.8333333333333334,0.36666666666666664,0,5,4,4,4,2,11
60,0,-5249.169999999998,774.6714233398437,0.8325391341551359,-5354.437333333333,0.7,0.2,0,9,3,3,2,7,6
61,0,-9346.409999999998,770.6818461100261,0.8300415167526705,-5500.989666666667,0.8,0.16666666666666666,0,6,5,3,5,6,5
62,0,-1811.6000000000004,763.0608764648438,0.8275513922024125,-5273.973666666668,0.9,0.5333333333333333,0,3,3,2,2,4,16
63,0,-5921.959999999999,743.6337097167968,0.8250687380258053,-5131.201999999999,0.8333333333333334,0.26666666666666666,0,5,3,4,3,7,8
64,0,-2308.1700000000005,772.145692952474,0.8225935318117279,-4878.699,0.9333333333333333,0.3333333333333333,0,2,3,5,6,4,10
65,0,-7084.570000000001,764.2931986490886,0.8201257512162927,-4853.9906666666675,0.8333333333333334,0.3,0,5,2,5,3,6,9
66,0,-2167.5400000000004,749.9565653483073,0.8176653739626438,-4785.256333333335,0.8333333333333334,0.2,0,5,8,3,5,3,6
67,0,-7692.589999999998,754.3009073893229,0.8152123778407558,-4914.187,0.7666666666666667,0.16666666666666666,0,7,2,6,8,2,5
68,0,-5622.0,801.9878377278645,0.8127667407072335,-4782.659333333333,0.8,0.36666666666666664,0,6,1,4,3,5,11
69,0,-6652.45,922.8722147623698,0.8103284404851119,-4689.911666666667,0.8666666666666667,0.2,0,4,9,3,4,4,6
70,0,-3537.6999999999994,891.6699666341145,0.8078974551636565,-4949.467333333334,0.8,0.23333333333333334,0,6,3,4,5,5,7
71,0,-7056.880000000002,877.3410237630209,0.8054737627981655,-4951.739000000001,0.7333333333333333,0.26666666666666666,0,8,4,4,3,3,8
72,0,-1155.6499999999999,868.9962198893229,0.803057341509771,-4782.428666666668,0.7666666666666667,0.2,0,7,4,5,5,3,6
73,0,-2937.0599999999995,881.2692077636718,0.8006481694852418,-4869.987333333334,0.7333333333333333,0.23333333333333334,0,8,1,3,4,7,7
74,0,-127.48000000000064,898.2013000488281,0.798246224976786,-4691.721333333333,0.8,0.4,0,6,5,1,5,1,12
75,0,-5640.559999999999,872.426210530599,0.7958514863018556,-4697.525666666667,0.7333333333333333,0.23333333333333334,0,8,4,3,3,5,7
76,0,-6766.129999999999,853.1488403320312,0.79346393184295,-4756.043333333334,0.7666666666666667,0.16666666666666666,0,7,6,2,5,5,5
77,0,-1176.6699999999996,902.8444539388021,0.7910835400474212,-4600.293,0.8,0.3,0,6,3,6,2,4,9
78,0,-4723.549999999999,865.9813639322916,0.7887102894272789,-4587.228,0.7333333333333333,0.26666666666666666,0,8,5,4,3,2,8
79,0,-2124.9999999999995,858.3391540527343,0.7863441585589971,-4396.619999999999,0.8,0.3,0,6,3,5,4,3,9
80,0,-4197.999999999999,823.7427876790365,0.78398512608332,-4511.0543333333335,0.7333333333333333,0.23333333333333334,0,8,6,5,1,3,7
81,0,-525.2900000000004,854.7086039225261,0.7816331707050701,-4400.185333333333,0.8,0.3333333333333333,0,6,2,4,6,2,10
82,0,-9655.51,834.5870666503906,0.7792882711929549,-4557.558333333333,0.7333333333333333,0.1,0,8,7,5,3,4,3
83,0,-6345.28,845.76494140625,0.776950406379376,-4448.763666666666,0.7666666666666667,0.2,0,7,5,1,4,7,6
84,0,-2198.2099999999996,851.3453531901042,0.7746195551602378,-4470.055999999999,0.7,0.26666666666666666,0,9,1,3,2,7,8
85,0,-7838.399999999999,952.9244466145833,0.7722956964947572,-4597.873666666666,0.8333333333333334,0.26666666666666666,0,5,6,5,3,3,8
86,0,-5531.299999999999,983.508603922526,0.7699788094052729,-4610.6726666666655,0.8333333333333334,0.36666666666666664,0,5,2,8,3,1,11
87,0,-4613.17,984.6685526529948,0.767668872977057,-4538.563666666666,0.7,0.2,0,9,6,2,5,2,6
88,0,-5585.46,965.445253499349,0.7653658663581259,-4674.105666666666,0.9666666666666667,0.3333333333333333,0,1,5,5,4,5,10
89,0,-3715.9300000000003,944.9291605631511,0.7630697687590515,-4643.656333333332,0.8,0.2,0,6,7,4,4,3,6
90,0,-2641.1999999999985,959.3134033203125,0.7607805594527743,-4556.724,0.7666666666666667,0.26666666666666666,0,7,5,2,5,3,8
91,0,-1549.8700000000003,960.5595153808594,0.7584982177744161,-4296.839333333333,0.6666666666666666,0.16666666666666666,0,10,2,1,7,5,5
92,0,-2884.5300000000007,948.4425801595052,0.7562227231210928,-4332.603666666666,0.8666666666666667,0.3,0,4,1,5,4,7,9
93,0,-5652.679999999999,954.9521240234375,0.7539540549517295,-4323.627666666665,0.9,0.26666666666666666,0,3,8,1,5,5,8
94,0,-3699.5699999999997,941.6255554199219,0.7516921927868743,-4370.007666666666,0.8,0.3,0,6,2,8,2,3,9
95,0,-4412.030000000001,944.2161051432291,0.7494371162085136,-4280.922999999999,0.8333333333333334,0.3333333333333333,0,5,6,4,4,1,10
96,0,-1217.8999999999996,967.4842997233073,0.747188804859888,-4249.2683333333325,0.8333333333333334,0.3,0,5,3,7,3,3,9
97,0,-4125.609999999999,959.3181294759114,0.7449472384453084,-4130.369,0.7,0.3333333333333333,0,9,5,1,2,3,10
98,0,5052.27,971.3649983723958,0.7427123967299725,-3774.5599999999995,0.8333333333333334,0.4,0,5,4,4,4,1,12
99,0,-4197.37,969.1023498535156,0.7404842595397826,-3692.7239999999993,0.6333333333333333,0.26666666666666666,0,11,2,5,2,2,8
100,0,-4342.63,937.3172281901042,0.7382628067611632,-3719.555,0.8,0.3333333333333333,0,6,1,5,4,4,10
101,0,3605.5600000000004,1014.5526265462239,0.7360480183408797,-3364.1403333333333,0.8333333333333334,0.5333333333333333,0,5,3,5,1,0,16
102,0,-6124.589999999998,1116.501747639974,0.7338398742858571,-3529.7716666666665,0.9333333333333333,0.36666666666666664,0,2,4,2,5,6,11
103,0,-5124.829999999999,1074.7926717122396,0.7316383546629995,-3602.6973333333326,0.7333333333333333,0.3,0,8,2,1,6,4,9
104,0,-2400.0300000000007,1081.6843404134115,0.7294434395990105,-3678.4489999999996,0.8,0.3,0,6,3,1,5,6,9
105,0,-1237.599999999998,1066.247987874349,0.7272551092802134,-3531.683666666666,0.8,0.4,0,6,3,1,4,4,12
106,0,-2132.63,1059.7536214192708,0.7250733439523728,-3377.233666666666,0.8,0.43333333333333335,0,6,4,1,5,1,13
107,0,-6141.600000000001,1058.952266438802,0.7228981239205157,-3542.7313333333327,0.7,0.16666666666666666,0,9,3,4,6,3,5
108,0,3714.5299999999997,1073.8599466959636,0.7207294295487541,-3261.4619999999995,0.8666666666666667,0.3,0,4,6,3,3,5,9
109,0,-3370.37,1032.8723795572917,0.7185672412601078,-3302.9743333333327,0.9,0.36666666666666664,0,3,3,3,6,4,11
110,0,-4320.049999999998,1063.9895812988282,0.7164115395363275,-3307.0426666666667,0.7666666666666667,0.3,0,7,4,4,2,4,9
111,0,-1084.1599999999994,1061.7104838053385,0.7142623049177186,-3325.671666666667,0.8333333333333334,0.4666666666666667,0,5,2,3,2,4,14
112,0,34.95000000000144,1082.3823710123697,0.7121195180029655,-3002.6563333333334,0.9,0.3333333333333333,0,3,5,4,2,6,10
113,0,-6891.409999999999,1041.9336364746093,0.7099831594489566,-3020.8606666666665,0.7333333333333333,0.2,0,8,7,2,2,5,6
114,0,481.9800000000007,1050.9545491536458,0.7078532099706097,-2931.521,0.8333333333333334,0.3,0,5,5,0,2,9,9
115,0,-2997.4100000000008,1046.147969563802,0.7057296503406979,-2770.1546666666673,0.9,0.36666666666666664,0,3,4,2,6,4,11
116,0,-1704.4099999999994,1072.445420328776,0.7036124613896758,-2642.591666666667,0.8333333333333334,0.26666666666666666,0,5,0,6,8,3,8
117,0,410.5899999999995,1048.3306233723958,0.7015016240055068,-2475.133,0.8666666666666667,0.4666666666666667,0,4,1,5,4,2,14
118,0,8868.209999999997,1091.2443033854167,0.6993971191334902,-1993.344,0.8333333333333334,0.6,0,5,2,2,2,1,18
119,0,-4496.65,1179.976405843099,0.6972989277760897,-2019.3679999999995,0.9,0.3333333333333333,0,3,3,2,4,8,10
120,0,-1417.8100000000004,1202.7641296386719,0.6952070309927615,-1978.5883333333331,0.9,0.3333333333333333,0,3,5,3,5,4,10
121,0,-4717.249999999999,1132.7511250813802,0.6931214098997832,-2084.1676666666663,0.8666666666666667,0.26666666666666666,0,4,5,5,6,2,8
122,0,-3138.8400000000006,1172.502840169271,0.6910420456700839,-2092.6446666666666,0.7666666666666667,0.36666666666666664,0,7,3,5,3,1,11
123,0,-6229.889999999999,1140.4316752115885,0.6889689195330736,-2111.8849999999998,0.8666666666666667,0.23333333333333334,0,4,2,6,7,4,7
124,0,-9344.92,1147.1273111979167,0.6869020127744744,-2300.063333333333,0.8333333333333334,0.3,0,5,5,6,1,4,9
125,0,5456.990000000001,1177.8598897298177,0.684841306736151,-1971.0959999999998,0.7,0.5,1,9,0,2,1,3,15
126,0,11.400000000000205,1110.7794901529949,0.6827867828159425,-1930.119333333333,0.8333333333333334,0.3333333333333333,0,5,5,0,4,6,10
127,0,-4915.31,1179.5254313151042,0.6807384224674947,-1956.4426666666664,0.7,0.16666666666666666,0,9,4,7,2,3,5
128,0,-2402.58,1163.7294006347656,0.6786962072000923,-2204.9376666666662,0.6666666666666666,0.23333333333333334,0,10,4,1,5,3,7
129,0,-1482.579999999999,1140.551531982422,0.676660118578492,-2114.4446666666663,0.7666666666666667,0.3,0,7,2,1,6,5,9
130,0,-6858.729999999998,1129.1741068522135,0.6746301382227565,-2198.314666666666,0.7333333333333333,0.23333333333333334,0,8,7,0,4,4,7
131,0,-3778.349999999999,1116.5385803222657,0.6726062478080883,-2444.4449999999997,0.7666666666666667,0.3,0,7,1,7,3,3,9
132,0,-2063.5899999999992,1159.6095886230469,0.6705884290646641,-2309.078333333333,0.8666666666666667,0.4,0,4,2,2,8,2,12
133,0,-4645.16,1085.576922607422,0.66857666377747,-2293.0893333333324,0.8333333333333334,0.36666666666666664,0,5,3,3,4,4,11
134,0,1575.5000000000007,1127.7355550130208,0.6665709337861376,-2160.571666666666,0.9,0.4666666666666667,0,3,2,3,3,5,14
135,0,-6530.779999999999,1192.0827697753907,0.6645712209847792,-2337.0109999999995,0.6,0.23333333333333334,0,12,2,6,2,1,7
136,0,967.5099999999998,1210.6583048502605,0.6625775073218249,-2233.673,0.9333333333333333,0.5,0,2,3,5,2,3,15
