periodo,ano,mes,indice
202306,2023,6,101.94058
202307,2023,7,102.03666
202308,2023,8,105.54949
202309,2023,9,101.98353
202310,2023,10,103.02185
202311,2023,11,109.18627
202312,2023,12,116.67529
202401,2024,1,100.05373
202402,2024,2,96.06163
202403,2024,3,105.04352
202404,2024,4,101.19917
202405,2024,5,106.34796
202406,2024,6,103.69183
202407,2024,7,109.0942
202408,2024,8,108.46853
202409,2024,9,103.84272
202410,2024,10,110.65093
202411,2024,11,111.37217
202412,2024,12,117.64696
202501,2025,1,102.31193
202502,2025,2,98.41073
202503,2025,3,103.86536
202504,2025,4,102.36047
202505,2025,5,107.42523
202506,2025,6,99.55606
202507,2025,7,106.52872
202508,2025,8,106.21584
202509,2025,9,104.9841
202510,2025,10,110.34956
202511,2025,11,111.17498
202512,2025,12,120.85009
202601,2026,1,103.42199
202602,2026,2,96.27946
