seed,episodio,steps,reward_total,lucro_total,perdas_total,rupturas_total,epsilon,loss_media,pct_promove
42,79,1095,678195.94,638592.5,1849.7,120.8,0.2985,232.3576,90.4
42,80,1095,691468.4,634214.73,1781.0,192.4,0.294,231.3301,88.5
42,81,1095,697148.06,646976.6,1740.9,222.3,0.2896,242.0121,92.1
42,82,1095,684536.5,634837.58,1804.0,125.5,0.2852,238.049,88.4
42,83,1095,693984.75,648532.28,1729.2,92.3,0.281,234.9091,89.5
42,84,1095,695909.06,637408.47,1701.4,91.6,0.2767,232.4867,89.1
42,85,1095,740134.5,679245.48,1645.0,237.6,0.2726,229.3562,88.9
42,86,1095,725752.6,664723.0,1729.0,209.4,0.2685,244.3651,85.2
42,87,1095,692108.3,640185.04,1750.8,109.2,0.2645,234.2461,88.1
42,88,1095,691213.8,646798.45,1732.1,123.2,0.2605,233.2075,87.7
42,89,1095,733530.9,672225.31,1699.4,222.2,0.2566,234.0312,87.4
42,90,1095,729577.44,668398.17,1680.6,244.1,0.2528,232.2055,88.8
42,91,1095,717277.6,657202.49,1715.1,177.8,0.249,245.5085,86.9
42,92,1095,695550.5,641949.63,1767.1,94.4,0.2452,233.0015,88.8
42,93,1095,699130.2,631410.2,1835.9,147.3,0.2415,230.3259,90.0
42,94,1095,708055.1,647809.74,1703.8,90.9,0.2379,230.6107,88.8
42,95,1095,710956.6,640974.79,1797.5,99.8,0.2344,230.9752,87.2
42,96,1095,725107.4,643141.22,1832.5,121.1,0.2308,244.8017,85.3
42,97,1095,719208.94,638150.32,1779.3,187.9,0.2274,235.9245,86.1
42,98,1095,717371.94,644129.55,1733.3,104.1,0.224,229.4385,86.7
42,99,1095,714821.25,639556.25,1794.1,107.6,0.2206,232.1259,86.9
42,100,1095,767800.8,675077.53,1618.7,339.4,0.2173,230.5664,86.0
42,101,1095,729673.5,640161.41,1709.3,156.2,0.214,245.3666,91.1
42,102,1095,761824.8,667316.36,1618.3,267.8,0.2108,236.3702,90.8
42,103,1095,762473.2,668603.53,1741.8,240.9,0.2077,237.1211,88.8
42,104,1095,734910.8,638304.61,1736.9,124.3,0.2046,234.2769,92.1
42,105,1095,725353.6,630940.42,1828.9,209.5,0.2015,232.4007,87.9
42,106,1095,740838.75,641736.35,1805.7,142.6,0.1985,243.9196,87.5
42,107,1095,742044.0,646488.57,1697.3,93.7,0.1955,238.5372,85.9
42,108,1095,729056.2,632038.61,1812.1,236.3,0.1926,236.6627,90.9
42,109,1095,770702.4,672336.48,1651.9,287.9,0.1897,234.2172,89.3
42,110,1095,782630.0,666258.12,1719.7,185.7,0.1868,234.8226,87.3
42,111,1095,742056.4,628813.45,1782.9,103.7,0.184,245.6785,88.1
42,112,1095,754110.25,638121.57,1787.8,108.1,0.1813,235.9396,87.6
42,113,1095,744847.25,638258.45,1828.2,84.3,0.1785,234.5041,87.6
42,114,1095,742559.25,641991.95,1803.4,108.4,0.1759,237.0222,86.7
42,115,1095,744659.44,627084.44,1714.8,155.1,0.1732,236.1733,86.0
42,116,1095,788601.6,674831.77,1620.4,263.2,0.1706,250.3583,84.7
42,117,1095,751473.4,637299.24,1669.0,76.5,0.1681,239.1433,85.0
42,118,1095,761996.2,646832.48,1772.1,197.7,0.1655,237.2433,86.5
42,119,1095,751888.06,633296.26,1740.5,104.2,0.1631,236.9265,85.7
42,120,1095,765713.6,633964.95,1695.7,184.4,0.1606,233.9993,86.9
42,121,1095,750404.4,642731.04,1794.9,128.8,0.1582,246.3264,83.5
42,122,1095,760546.5,642410.29,1743.6,89.6,0.1558,238.7674,86.1
42,123,1095,767535.6,634072.54,1767.2,188.9,0.1535,241.0209,85.8
42,124,1095,763567.7,644673.73,1845.9,108.5,0.1512,242.2972,84.4
42,125,1095,778286.94,653175.21,1689.9,157.1,0.1489,240.6745,84.7
42,126,1095,770019.2,645090.13,1716.5,104.7,0.1467,252.9161,84.7
42,127,1095,765598.56,644267.17,1727.0,99.3,0.1445,240.0537,84.6
42,128,1095,763251.5,637754.08,1709.1,167.1,0.1423,240.6013,86.7
42,129,1095,764234.4,638206.31,1747.9,100.2,0.1402,239.8078,85.2
42,130,1095,764370.3,636865.39,1783.4,71.7,0.1381,235.4622,85.6
42,131,1095,796021.94,665587.28,1641.2,262.9,0.136,251.4651,83.8
42,132,1095,811844.94,670656.22,1585.0,235.9,0.134,244.7409,84.2
42,133,1095,769783.8,644397.44,1869.0,119.4,0.132,242.956,84.6
42,134,1095,784503.94,644071.25,1722.2,124.5,0.13,240.7186,86.1
42,135,1095,786216.75,653228.12,1764.7,185.9,0.128,237.2045,86.2
42,136,1095,788206.2,645361.26,1795.6,144.7,0.1261,250.2383,84.9
42,137,1095,771674.56,634033.99,1849.2,158.1,0.1242,248.6827,85.8
42,138,1095,778122.2,635038.38,1782.3,78.4,0.1224,241.888,83.7
42,139,1095,795024.56,647382.05,1682.4,155.8,0.1205,239.1255,85.2
42,140,1095,781301.4,635041.73,1825.7,172.0,0.1187,248.0216,85.0
42,141,1095,778088.2,631909.31,1805.9,170.6,0.1169,255.385,88.2
42,142,1095,815734.75,670605.14,1628.7,234.7,0.1152,246.3189,87.3
42,143,1095,784596.4,637145.12,1809.2,100.5,0.1135,246.5008,84.8
42,144,1095,772191.25,640739.04,1851.9,98.0,0.1118,246.3441,84.7
42,145,1095,787957.5,648534.33,1774.5,116.6,0.1101,241.3346,84.8
42,146,1095,786102.6,640463.43,1762.3,123.2,0.1084,247.5393,84.8
42,147,1095,771833.6,626932.35,1758.2,174.1,0.1068,250.0077,84.5
42,148,1095,788074.75,640622.99,1773.3,165.1,0.1052,246.5094,84.7
42,149,1095,829301.7,663683.26,1598.7,250.1,0.1036,244.3767,83.4
