faixa,qtd_media,n_trans,pct_centro,ord,uplift,categoria
0%,8.509249866593445,11581140,7.802956563508347e-05,0,1.0,destilados
1-5%,1.579667063020214,1682,3.459940460225697,1,0.186,destilados
5-10%,2.569920844327177,1895,6.854471269076898,2,0.302,destilados
10-15%,7.893729372937294,1515,14.016966906005907,3,0.928,destilados
15-25%,12.158333333333333,1680,21.32609269307417,4,1.429,destilados
>25%,3.895775076870978,998101,64.8000916941759,5,0.458,destilados
