categoria,mes_aprox,pct_desconto,mag_desconto,n_trans
sanduiche,11,70.425,29.575,1374
sanduiche,12,63.81666666666666,29.383333333333336,903
snack,1,49.61,23.35,7156
snack,2,56.525,23.9125,7104
snack,3,52.7,24.89,10282
snack,4,56.65,26.1375,9902
snack,5,52.7625,24.1875,10111
snack,6,46.92,23.43,12377
snack,7,47.675,22.7,9780
snack,8,47.487500000000004,22.05,9380
snack,9,44.660000000000004,22.009999999999998,11878
snack,10,54.949999999999996,25.1125,10167
snack,11,52.6875,25.775,10994
snack,12,43.416666666666664,22.3,7082
sorvete,1,80.26,29.939999999999998,2576
sorvete,2,80.575,32.7125,2540
sorvete,3,80.27000000000001,35.019999999999996,4803
sorvete,4,81.8625,32.3375,4104
sorvete,5,82.9875,36.925,4643
sorvete,6,76.61,35.760000000000005,4721
sorvete,7,77.8375,35.225,3373
sorvete,8,73.0625,35.1125,2891
sorvete,9,69.97999999999999,34.5,3345
sorvete,10,68.52499999999999,36.475,3295
sorvete,11,69.8125,35.4625,3313
sorvete,12,72.0,33.4,2389
suco,1,63.31,29.310000000000002,3886
suco,2,66.3875,29.3125,3675
suco,3,67.44,32.1,5726
suco,4,57.15,33.3625,5114
suco,5,57.2375,30.162499999999998,5244
suco,6,53.8,27.130000000000003,6309
suco,7,53.3625,24.4625,4889
suco,8,56.162499999999994,26.825,5204
suco,9,55.419999999999995,26.339999999999996,6495
suco,10,56.375,24.0,5890
suco,11,48.7125,20.2875,5290
suco,12,49.0,26.266666666666666,4025
vinho,1,0.22000000000000003,1.54,544
vinho,2,0.5375,3.6,503
vinho,3,0.7100000000000001,10.559999999999999,748
vinho,4,1.0875,8.475,691
vinho,5,1.0875,9.4125,705
vinho,6,0.79,15.25,884
vinho,7,0.275,5.4375,713
vinho,8,0.9875,11.1625,834
vinho,9,1.27,20.82,1377
vinho,10,0.2375,6.725,899
vinho,11,0.8375,11.3625,893
vinho,12,0.0,0.0,518
