categoria,mes_aprox,pct_display_medio,pct_mailer_medio,pct_promo_qualquer_medio,n_semanas
sanduiche,10,47.2,77.0,100.0,8
sanduiche,11,46.9,83.8,100.0,8
sanduiche,12,41.7,82.1,100.0,5
snack,1,62.3,52.0,100.0,5
snack,2,59.5,57.7,100.0,5
snack,3,60.4,56.9,100.0,10
snack,4,69.6,45.2,100.0,8
snack,5,65.8,49.3,100.0,8
snack,6,64.0,49.2,100.0,10
snack,7,62.8,49.3,100.0,8
snack,8,66.6,46.2,100.0,8
snack,9,72.0,41.7,100.0,10
snack,10,59.0,55.4,100.0,8
snack,11,59.1,55.6,100.0,8
snack,12,73.5,38.4,100.0,5
sorvete,1,36.0,81.5,100.0,5
sorvete,2,36.1,82.0,100.0,5
sorvete,3,38.9,76.4,100.0,10
sorvete,4,32.4,81.1,100.0,8
sorvete,5,40.6,73.1,100.0,8
sorvete,6,44.4,71.2,100.0,10
sorvete,7,34.9,78.4,100.0,8
sorvete,8,26.6,86.5,100.0,8
sorvete,9,27.3,87.2,100.0,10
sorvete,10,28.2,86.7,100.0,8
sorvete,11,31.4,82.7,100.0,8
sorvete,12,40.3,79.5,100.0,5
suco,1,36.0,78.6,100.0,5
suco,2,35.8,80.6,100.0,5
suco,3,32.0,83.6,100.0,10
suco,4,36.7,79.0,100.0,8
suco,5,44.8,72.7,100.0,8
suco,6,43.9,70.8,100.0,10
suco,7,38.9,71.3,100.0,8
suco,8,36.2,77.6,100.0,8
suco,9,40.5,68.5,100.0,10
suco,10,28.1,83.5,100.0,8
suco,11,42.2,70.3,100.0,8
suco,12,34.6,79.3,100.0,5
vinho,1,97.9,2.6,100.0,5
vinho,2,98.2,2.1,100.0,5
vinho,3,98.2,2.2,100.0,10
vinho,4,98.3,2.0,100.0,8
vinho,5,98.8,1.5,100.0,8
vinho,6,98.1,2.1,100.0,10
vinho,7,96.3,4.7,100.0,8
vinho,8,96.4,4.5,100.0,8
vinho,9,94.8,6.5,100.0,10
vinho,10,91.7,10.0,100.0,8
vinho,11,95.0,5.8,100.0,8
vinho,12,97.5,2.9,100.0,5
