episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,0,2304.7799999999997,0.0,0.997,2304.7799999999997,0.8666666666666667,0.16666666666666666,0,4,4,3,6,8,5
1,0,3672.37,0.0,0.994009,2988.575,0.8333333333333334,0.23333333333333334,0,5,5,3,7,3,7
2,0,2614.07,772.3701239691841,0.991026973,2863.74,0.8333333333333334,0.26666666666666666,0,5,3,10,1,3,8
3,0,10557.630000000001,833.118729654948,0.988053892081,4787.2125,0.8666666666666667,0.26666666666666666,0,4,1,8,3,6,8
4,0,7004.970000000002,911.8640096028646,0.985089730404757,5230.764,0.6666666666666666,0.13333333333333333,0,10,6,1,4,5,4
5,0,-403.98999999999967,845.6626932779948,0.9821344612135428,4291.638333333333,0.7666666666666667,0.13333333333333333,0,7,4,8,2,5,4
6,0,5383.75,732.326963297526,0.9791880578299021,4447.654285714286,0.9333333333333333,0.23333333333333334,0,2,4,2,5,10,7
7,0,-861.3799999999997,705.390468343099,0.9762504936564125,3784.025,0.9,0.16666666666666666,0,3,3,4,6,9,5
8,0,4010.7599999999993,703.0231323242188,0.9733217421754432,3809.217777777778,0.8666666666666667,0.23333333333333334,0,4,5,6,1,7,7
9,0,5160.389999999999,662.0208079020182,0.9704017769489168,3944.335,0.8,0.2,0,6,5,5,4,4,6
10,0,5153.32,714.7837320963541,0.9674905716180701,4054.2427272727273,0.8333333333333334,0.13333333333333333,0,5,3,8,3,7,4
11,0,54.8600000000001,640.3831207275391,0.9645880999032158,3720.960833333333,0.8666666666666667,0.03333333333333333,0,4,11,3,10,1,1
12,0,4967.05,626.811870320638,0.9616943356035061,3816.8138461538465,0.7,0.2,0,9,4,1,4,6,6
13,0,4951.13,664.0732137044271,0.9588092525966956,3897.8364285714283,0.7666666666666667,0.06666666666666667,0,7,5,3,8,5,2
14,0,5183.91,670.3119140625,0.9559328248389055,3983.5746666666664,0.8333333333333334,0.3333333333333333,0,5,3,3,6,3,10
15,0,2363.55,682.6500020345052,0.9530650263643888,3882.3231250000003,0.8,0.13333333333333333,0,6,6,7,3,4,4
16,0,2268.3700000000003,689.9932637532552,0.9502058312852957,3787.3847058823535,0.8,0.23333333333333334,0,6,8,3,3,3,7
17,0,4993.909999999999,673.9930908203125,0.9473552137914398,3854.4138888888897,0.8666666666666667,0.16666666666666666,0,4,2,8,5,6,5
18,0,11551.110000000002,809.3275685628255,0.9445131481500655,4259.503157894737,0.8333333333333334,0.36666666666666664,0,5,4,6,3,1,11
19,0,-892.3500000000006,1109.9552998860677,0.9416796087056153,4001.9105000000004,0.8,0.1,0,6,7,5,5,4,3
20,0,2020.06,947.2974975585937,0.9388545698794984,3907.536666666667,0.9333333333333333,0.13333333333333333,0,2,7,8,2,7,4
21,0,3616.2899999999995,752.1722778320312,0.93603800616986,3894.2981818181815,0.8333333333333334,0.26666666666666666,0,5,2,2,7,6,8
22,0,4919.8099999999995,746.079443359375,0.9332298921513504,3938.885652173913,0.8,0.3,0,6,2,7,3,3,9
23,0,3674.0899999999997,771.1434936523438,0.9304302024748964,3927.8525000000004,0.6333333333333333,0.16666666666666666,0,11,4,5,5,0,5
24,0,1120.0900000000001,744.6514485677084,0.9276389118674717,3815.542,0.8333333333333334,0.13333333333333333,0,5,3,4,8,6,4
25,0,5946.89,744.3570353190104,0.9248559951318693,3897.5169230769234,0.8333333333333334,0.13333333333333333,0,5,5,4,6,6,4
26,0,2767.5300000000007,782.0246439615886,0.9220814271464737,3855.665555555556,0.7666666666666667,0.23333333333333334,0,7,7,4,3,2,7
27,0,2585.17,687.4008260091146,0.9193151828650342,3810.2907142857143,0.9,0.2,0,3,7,5,4,5,6
28,0,6162.97,729.8007853190104,0.9165572373164391,3891.4175862068964,1.0,0.26666666666666666,0,0,8,5,4,5,8
29,0,5333.549999999999,755.2170247395833,0.9138075656044898,3939.4886666666666,0.9333333333333333,0.26666666666666666,0,2,5,5,4,6,8
30,0,3814.9900000000002,742.5797119140625,0.9110661429076764,3989.829,0.8666666666666667,0.3,0,4,6,5,5,1,9
31,0,9182.289999999999,743.2393127441406,0.9083329444789534,4173.493,0.8,0.3333333333333333,0,6,8,2,1,3,10
32,0,6615.16,728.6055653889974,0.9056079456455165,4306.862666666667,0.9333333333333333,0.3,0,2,1,4,10,4,9
33,0,5493.990000000001,749.8708028157552,0.90289112180858,4138.074666666667,0.8333333333333334,0.3,0,5,3,6,3,4,9
34,0,3152.28,757.5871256510417,0.9001824484431542,4009.651666666667,0.8666666666666667,0.2,0,4,5,7,4,4,6
35,0,3508.36,1034.2274983723958,0.8974819010978248,4140.0633333333335,0.9,0.36666666666666664,0,3,5,3,2,6,11
36,0,1235.29,935.2467325846354,0.8947894553945313,4001.781333333333,0.8666666666666667,0.23333333333333334,0,4,5,5,5,4,7
37,0,415.7099999999998,781.5883036295573,0.8921050870283477,4044.351,0.8,0.16666666666666666,0,6,6,9,3,1,5
38,0,3419.87,840.6930786132813,0.8894287717672626,4024.6546666666663,0.8333333333333334,0.4,0,5,3,4,3,3,12
39,0,4246.52,818.948154703776,0.8867604854519608,3994.1923333333334,0.9333333333333333,0.3333333333333333,0,2,2,6,6,4,10
40,0,5625.1799999999985,799.2135050455729,0.884100203995605,4009.9210000000003,0.9,0.3333333333333333,0,3,4,3,6,4,10
41,0,5600.880000000001,805.2216125488281,0.8814479033836181,4194.788333333334,0.8666666666666667,0.3,0,4,6,5,4,2,9
42,0,5518.980000000001,807.430839029948,0.8788035596734672,4213.186,0.9333333333333333,0.3333333333333333,0,2,8,5,1,4,10
43,0,5977.26,804.361885579427,0.8761671489944468,4247.390333333333,0.8666666666666667,0.26666666666666666,0,4,10,1,3,4,8
44,0,7753.640000000001,849.5406677246094,0.8735386475474635,4333.048,0.8333333333333334,0.4,0,5,5,3,3,2,12
