episodio,seed,reward,loss,eps,avg_reward_30ep,promoveu_pct,combo_pct,combo_invalido_pdv,acao_nada,acao_desc3,acao_desc5,acao_desc7,acao_desc10,acao_combo
0,0,-4208.37,0.0,0.997,-4208.37,0.9,0.13333333333333333,0,3,6,6,7,4,4
1,0,-4101.050000000001,0.0,0.994009,-4154.710000000001,0.9,0.2,0,3,8,6,4,3,6
2,0,-3477.47,578.1197781032986,0.991026973,-3928.9633333333336,0.5666666666666667,0.1,0,13,3,6,2,3,3
3,0,-2313.7200000000003,550.0128824869792,0.988053892081,-3525.1525,0.7666666666666667,0.06666666666666667,0,7,6,4,6,5,2
4,0,-2273.2999999999997,520.7464426676432,0.985089730404757,-3274.782,0.8333333333333334,0.13333333333333333,0,5,4,6,6,5,4
5,0,-2728.34,454.7515940348307,0.9821344612135428,-3183.7083333333335,0.8,0.16666666666666666,0,6,3,6,2,8,5
6,0,-1213.3800000000003,429.0138895670573,0.9791880578299021,-2902.2328571428575,0.7333333333333333,0.16666666666666666,0,8,4,4,5,4,5
7,0,-5303.04,411.9991882324219,0.9762504936564125,-3202.3337500000002,0.9,0.13333333333333333,0,3,6,5,7,5,4
8,0,-1267.6599999999994,412.02577209472656,0.9733217421754432,-2987.3700000000003,0.8333333333333334,0.13333333333333333,0,5,1,4,7,9,4
9,0,-1881.12,422.6778086344401,0.9704017769489168,-2876.745,0.9,0.1,0,3,7,9,5,3,3
10,0,-1584.0900000000001,444.0043060302734,0.9674905716180701,-2759.2309090909093,0.9333333333333333,0.13333333333333333,0,2,5,7,5,7,4
11,0,-1098.8500000000001,425.81651000976564,0.9645880999032158,-2620.8658333333333,0.9333333333333333,0.16666666666666666,0,2,6,5,5,7,5
12,0,-3366.27,451.2220855712891,0.9616943356035061,-2678.204615384615,0.8,0.16666666666666666,0,6,1,7,7,4,5
13,0,1471.7499999999995,462.25506490071615,0.9588092525966956,-2381.7792857142854,0.8,0.26666666666666666,0,6,4,3,5,4,8
14,0,-3220.1900000000005,469.2154307047526,0.9559328248389055,-2437.673333333333,0.6666666666666666,0.13333333333333333,0,10,6,4,2,4,4
15,0,-2846.5999999999995,416.23353169759116,0.9530650263643888,-2463.23125,0.9,0.1,0,3,6,9,4,5,3
16,0,-3882.6400000000003,408.86572265625,0.9502058312852957,-2546.725882352941,0.8333333333333334,0.13333333333333333,0,5,4,7,5,5,4
17,0,-1097.0500000000004,439.13791809082034,0.9473552137914398,-2466.1883333333335,0.8,0.26666666666666666,0,6,2,6,6,2,8
18,0,1641.88,443.6369639078776,0.9445131481500655,-2249.974210526316,0.8666666666666667,0.13333333333333333,0,4,7,4,4,7,4
19,0,-3722.7199999999984,477.67658081054685,0.9416796087056153,-2323.6115,0.7666666666666667,0.23333333333333334,0,7,4,3,2,7,7
20,0,-2521.8900000000003,451.911176554362,0.9388545698794984,-2333.0533333333333,0.8,0.3,0,6,3,2,7,3,9
21,0,-3852.5699999999997,439.8950693766276,0.93603800616986,-2402.122272727273,0.8666666666666667,0.0,0,4,8,4,7,7,0
22,0,-4254.95,446.20558268229166,0.9332298921513504,-2482.68,0.9,0.2,0,3,8,5,2,6,6
23,0,-2346.81,426.63136800130206,0.9304302024748964,-2477.0187499999997,0.8666666666666667,0.13333333333333333,0,4,6,6,3,7,4
24,0,-780.6300000000001,441.4892252604167,0.9276389118674717,-2409.1632,0.7,0.2,0,9,1,7,1,6,6
25,0,381.1799999999999,457.8669138590495,0.9248559951318693,-2301.8423076923073,0.8,0.16666666666666666,0,6,7,4,2,6,5
26,0,-2148.2599999999993,443.63800760904945,0.9220814271464737,-2296.154074074074,0.7,0.2,0,9,3,2,2,8,6
27,0,-2370.09,428.1647155761719,0.9193151828650342,-2298.7946428571427,0.8,0.13333333333333333,0,6,6,5,5,4,4
28,0,1119.2799999999997,442.4678090413411,0.9165572373164391,-2180.93,0.7666666666666667,0.16666666666666666,0,7,6,3,5,4,5
29,0,-2172.2699999999995,459.2764200846354,0.9138075656044898,-2180.6413333333335,0.8,0.23333333333333334,0,6,5,2,5,5,7
30,0,-2189.020000000001,449.0421112060547,0.9110661429076764,-2113.329666666667,0.7333333333333333,0.2,0,8,3,5,4,4,6
31,0,-1094.59,461.59385884602864,0.9083329444789534,-2013.1143333333334,0.8333333333333334,0.13333333333333333,0,5,6,6,5,4,4
32,0,-360.4199999999998,451.51710408528646,0.9056079456455165,-1909.2126666666666,0.8,0.3,0,6,4,5,4,2,9
33,0,-3537.209999999999,462.5972595214844,0.90289112180858,-1949.9956666666665,0.7333333333333333,0.26666666666666666,0,8,3,4,3,4,8
34,0,-973.309999999999,437.76201782226565,0.9001824484431542,-1906.6626666666664,0.9666666666666667,0.3,0,1,8,3,2,7,9
35,0,-1797.6100000000006,502.3503133138021,0.8974819010978248,-1875.638333333333,0.9,0.16666666666666666,0,3,4,6,5,7,5
36,0,-2561.0999999999995,484.4794118245443,0.8947894553945313,-1920.5623333333328,0.8333333333333334,0.26666666666666666,0,5,3,4,5,5,8
37,0,-2529.7999999999993,454.9905680338542,0.8921050870283477,-1828.1209999999996,0.9333333333333333,0.23333333333333334,0,2,5,5,6,5,7
38,0,-2230.5099999999998,446.490879313151,0.8894287717672626,-1860.2160000000001,0.7666666666666667,0.3,0,7,2,5,5,2,9
39,0,-1535.8699999999997,466.8048421223958,0.8867604854519608,-1848.7076666666665,0.8,0.26666666666666666,0,6,3,3,7,3,8
40,0,-4368.710000000002,474.5875233968099,0.884100203995605,-1941.5283333333332,0.7666666666666667,0.16666666666666666,0,7,5,6,3,4,5
41,0,-2128.6700000000005,458.7435567220052,0.8814479033836181,-1975.8556666666668,0.8333333333333334,0.1,0,5,4,5,8,5,3
42,0,-580.4799999999998,447.9305104573568,0.8788035596734672,-1882.996,0.6333333333333333,0.26666666666666666,0,11,2,1,7,1,8
43,0,-2437.5899999999997,461.1201700846354,0.8761671489944468,-2013.3073333333334,0.8666666666666667,0.2,0,4,4,2,6,8,6
44,0,-466.71000000000055,455.21067301432294,0.8735386475474635,-1921.5246666666667,0.8,0.26666666666666666,0,6,3,6,5,2,8
45,0,-312.60999999999996,442.2339314778646,0.8709180316048211,-1837.0583333333332,0.5666666666666667,0.2,0,13,0,3,1,7,6
46,0,1750.96,452.4025482177734,0.8683052775100066,-1649.2716666666668,0.8333333333333334,0.3,0,5,4,4,8,0,9
47,0,-2952.6300000000006,448.6607401529948,0.8657003616774767,-1711.1243333333332,0.8333333333333334,0.2,0,5,4,4,6,5,6
48,0,-2334.84,434.5030771891276,0.8631032605924442,-1843.6816666666666,0.8333333333333334,0.26666666666666666,0,5,5,4,3,5,8
49,0,-3675.84,457.8820861816406,0.860513950810667,-1842.1189999999997,0.8666666666666667,0.2,0,4,3,7,7,3,6
50,0,-2071.539999999999,446.85125935872395,0.857932408958235,-1827.1073333333331,0.8,0.26666666666666666,0,6,4,6,3,3,8
51,0,-704.5999999999999,471.2386962890625,0.8553586117313603,-1722.175,0.8333333333333334,0.26666666666666666,0,5,2,3,7,5,8
52,0,-4277.6,523.9305979410807,0.8527925358961662,-1722.9299999999996,0.7666666666666667,0.06666666666666667,0,7,4,7,4,6,2
53,0,-3616.5400000000004,516.237880452474,0.8502341582884777,-1765.254333333333,0.8,0.36666666666666664,0,6,3,4,5,1,11
54,0,1745.3899999999999,496.9147054036458,0.8476834558136123,-1681.0536666666667,0.8,0.36666666666666664,0,6,3,3,5,2,11
55,0,629.7800000000002,504.77808736165366,0.8451404054461714,-1672.767,0.8,0.23333333333333334,0,6,4,5,4,4,7
56,0,-178.57000000000014,520.3330535888672,0.8426049842298329,-1607.1106666666667,0.8,0.4,0,6,4,3,3,2,12
57,0,-2407.6399999999994,513.9712575276693,0.8400771692771434,-1608.3623333333335,0.8666666666666667,0.2,0,4,5,1,5,9,6
