data,indice,termo,categoria,datas_alvo
2023-01-22,42,chocolate,chocolate,pascoa;namorados;maes
2023-01-29,39,chocolate,chocolate,pascoa;namorados;maes
2023-02-05,39,chocolate,chocolate,pascoa;namorados;maes
2023-02-12,40,chocolate,chocolate,pascoa;namorados;maes
2023-02-19,49,chocolate,chocolate,pascoa;namorados;maes
2023-02-26,44,chocolate,chocolate,pascoa;namorados;maes
2023-03-05,49,chocolate,chocolate,pascoa;namorados;maes
2023-03-12,52,chocolate,chocolate,pascoa;namorados;maes
2023-03-19,56,chocolate,chocolate,pascoa;namorados;maes
2023-03-26,64,chocolate,chocolate,pascoa;namorados;maes
2023-04-02,100,chocolate,chocolate,pascoa;namorados;maes
2023-04-09,53,chocolate,chocolate,pascoa;namorados;maes
2023-04-16,47,chocolate,chocolate,pascoa;namorados;maes
2023-04-23,45,chocolate,chocolate,pascoa;namorados;maes
2023-04-30,46,chocolate,chocolate,pascoa;namorados;maes
2023-05-07,44,chocolate,chocolate,pascoa;namorados;maes
2023-05-14,43,chocolate,chocolate,pascoa;namorados;maes
2023-05-21,48,chocolate,chocolate,pascoa;namorados;maes
2023-05-28,50,chocolate,chocolate,pascoa;namorados;maes
2023-06-04,49,chocolate,chocolate,pascoa;namorados;maes
2023-06-11,59,chocolate,chocolate,pascoa;namorados;maes
2023-06-18,53,chocolate,chocolate,pascoa;namorados;maes
2023-06-25,50,chocolate,chocolate,pascoa;namorados;maes
2023-07-02,48,chocolate,chocolate,pascoa;namorados;maes
2023-07-09,43,chocolate,chocolate,pascoa;namorados;maes
2023-07-16,45,chocolate,chocolate,pascoa;namorados;maes
2023-07-23,42,chocolate,chocolate,pascoa;namorados;maes
2023-07-30,40,chocolate,chocolate,pascoa;namorados;maes
2023-08-06,39,chocolate,chocolate,pascoa;namorados;maes
2023-08-13,38,chocolate,chocolate,pascoa;namorados;maes
2023-08-20,38,chocolate,chocolate,pascoa;namorados;maes
2023-08-27,43,chocolate,chocolate,pascoa;namorados;maes
2023-09-03,41,chocolate,chocolate,pascoa;namorados;maes
2023-09-10,37,chocolate,chocolate,pascoa;namorados;maes
