data,indice,termo,categoria,datas_alvo
2022-12-18,82,cerveja,cerveja,fim_ano;copa;carnaval
2022-12-25,97,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-01,61,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-08,60,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-15,61,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-22,60,cerveja,cerveja,fim_ano;copa;carnaval
2023-01-29,61,cerveja,cerveja,fim_ano;copa;carnaval
2023-02-05,59,cerveja,cerveja,fim_ano;copa;carnaval
2023-02-12,65,cerveja,cerveja,fim_ano;copa;carnaval
2023-02-19,64,cerveja,cerveja,fim_ano;copa;carnaval
2023-02-26,55,cerveja,cerveja,fim_ano;copa;carnaval
2023-03-05,57,cerveja,cerveja,fim_ano;copa;carnaval
2023-03-12,57,cerveja,cerveja,fim_ano;copa;carnaval
2023-03-19,55,cerveja,cerveja,fim_ano;copa;carnaval
2023-03-26,56,cerveja,cerveja,fim_ano;copa;carnaval
2023-04-02,60,cerveja,cerveja,fim_ano;copa;carnaval
2023-04-09,50,cerveja,cerveja,fim_ano;copa;carnaval
2023-04-16,56,cerveja,cerveja,fim_ano;copa;carnaval
2023-04-23,54,cerveja,cerveja,fim_ano;copa;carnaval
2023-04-30,54,cerveja,cerveja,fim_ano;copa;carnaval
2023-05-07,51,cerveja,cerveja,fim_ano;copa;carnaval
2023-05-14,53,cerveja,cerveja,fim_ano;copa;carnaval
2023-05-21,51,cerveja,cerveja,fim_ano;copa;carnaval
2023-05-28,53,cerveja,cerveja,fim_ano;copa;carnaval
2023-06-04,57,cerveja,cerveja,fim_ano;copa;carnaval
2023-06-11,50,cerveja,cerveja,fim_ano;copa;carnaval
2023-06-18,52,cerveja,cerveja,fim_ano;copa;carnaval
2023-06-25,55,cerveja,cerveja,fim_ano;copa;carnaval
2023-07-02,51,cerveja,cerveja,fim_ano;copa;carnaval
2023-07-09,52,cerveja,cerveja,fim_ano;copa;carnaval
2023-07-16,54,cerveja,cerveja,fim_ano;copa;carnaval
2023-07-23,54,cerveja,cerveja,fim_ano;copa;carnaval
2023-07-30,63,cerveja,cerveja,fim_ano;copa;carnaval
2023-08-06,59,cerveja,cerveja,fim_ano;copa;carnaval
2023-08-13,52,cerveja,cerveja,fim_ano;copa;carnaval
2023-08-20,49,cerveja,cerveja,fim_ano;copa;carnaval
2023-08-27,49,cerveja,cerveja,fim_ano;copa;carnaval
2023-09-03,59,cerveja,cerveja,fim_ano;copa;carnaval
2023-09-10,53,cerveja,cerveja,fim_ano;copa;carnaval
2023-09-17,57,cerveja,cerveja,fim_ano;copa;carnaval
2023-09-24,55,cerveja,cerveja,fim_ano;copa;carnaval
2023-10-01,51,cerveja,cerveja,fim_ano;copa;carnaval
2023-10-08,55,cerveja,cerveja,fim_ano;copa;carnaval
2023-10-15,51,cerveja,cerveja,fim_ano;copa;carnaval
2023-10-22,49,cerveja,cerveja,fim_ano;copa;carnaval
2023-10-29,53,cerveja,cerveja,fim_ano;copa;carnaval
2023-11-05,54,cerveja,cerveja,fim_ano;copa;carnaval
2023-11-12,61,cerveja,cerveja,fim_ano;copa;carnaval
2023-11-19,56,cerveja,cerveja,fim_ano;copa;carnaval
2023-11-26,56,cerveja,cerveja,fim_ano;copa;carnaval
2023-12-03,62,cerveja,cerveja,fim_ano;copa;carnaval
2023-12-10,68,cerveja,cerveja,fim_ano;copa;carnaval
2023-12-17,76,cerveja,cerveja,fim_ano;copa;carnaval
2023-12-24,93,cerveja,cerveja,fim_ano;copa;carnaval
2023-12-31,69,cerveja,cerveja,fim_ano;copa;carnaval
2024-01-07,56,cerveja,cerveja,fim_ano;copa;carnaval
2024-01-14,56,cerveja,cerveja,fim_ano;copa;carnaval
2024-01-21,49,cerveja,cerveja,fim_ano;copa;carnaval
2024-01-28,50,cerveja,cerveja,fim_ano;copa;carnaval
2024-02-04,56,cerveja,cerveja,fim_ano;copa;carnaval
2024-02-11,56,cerveja,cerveja,fim_ano;copa;carnaval
2024-02-18,43,cerveja,cerveja,fim_ano;copa;carnaval
2024-02-25,44,cerveja,cerveja,fim_ano;copa;carnaval
2024-03-03,44,cerveja,cerveja,fim_ano;copa;carnaval
2024-03-10,46,cerveja,cerveja,fim_ano;copa;carnaval
