data,indice,termo,categoria,datas_alvo
2023-08-27,30,whisky,whisky,pais;natal
2023-09-03,32,whisky,whisky,pais;natal
2023-09-10,30,whisky,whisky,pais;natal
2023-09-17,28,whisky,whisky,pais;natal
2023-09-24,26,whisky,whisky,pais;natal
2023-10-01,29,whisky,whisky,pais;natal
2023-10-08,34,whisky,whisky,pais;natal
2023-10-15,31,whisky,whisky,pais;natal
2023-10-22,31,whisky,whisky,pais;natal
2023-10-29,32,whisky,whisky,pais;natal
2023-11-05,32,whisky,whisky,pais;natal
2023-11-12,34,whisky,whisky,pais;natal
2023-11-19,44,whisky,whisky,pais;natal
2023-11-26,42,whisky,whisky,pais;natal
2023-12-03,44,whisky,whisky,pais;natal
2023-12-10,53,whisky,whisky,pais;natal
2023-12-17,65,whisky,whisky,pais;natal
2023-12-24,87,whisky,whisky,pais;natal
2023-12-31,60,whisky,whisky,pais;natal
2024-01-07,37,whisky,whisky,pais;natal
2024-01-14,34,whisky,whisky,pais;natal
2024-01-21,30,whisky,whisky,pais;natal
2024-01-28,28,whisky,whisky,pais;natal
2024-02-04,30,whisky,whisky,pais;natal
2024-02-11,30,whisky,whisky,pais;natal
2024-02-18,26,whisky,whisky,pais;natal
2024-02-25,24,whisky,whisky,pais;natal
2024-03-03,23,whisky,whisky,pais;natal
2024-03-10,24,whisky,whisky,pais;natal
2024-03-17,23,whisky,whisky,pais;natal
2024-03-24,24,whisky,whisky,pais;natal
2024-03-31,24,whisky,whisky,pais;natal
2024-04-07,23,whisky,whisky,pais;natal
2024-04-14,22,whisky,whisky,pais;natal
2024-04-21,23,whisky,whisky,pais;natal
2024-04-28,26,whisky,whisky,pais;natal
2024-05-05,24,whisky,whisky,pais;natal
2024-05-12,24,whisky,whisky,pais;natal
2024-05-19,26,whisky,whisky,pais;natal
2024-05-26,29,whisky,whisky,pais;natal
2024-06-02,28,whisky,whisky,pais;natal
2024-06-09,30,whisky,whisky,pais;natal
2024-06-16,27,whisky,whisky,pais;natal
2024-06-23,28,whisky,whisky,pais;natal
2024-06-30,27,whisky,whisky,pais;natal
2024-07-07,29,whisky,whisky,pais;natal
2024-07-14,31,whisky,whisky,pais;natal
2024-07-21,29,whisky,whisky,pais;natal
2024-07-28,26,whisky,whisky,pais;natal
2024-08-04,29,whisky,whisky,pais;natal
2024-08-11,24,whisky,whisky,pais;natal
2024-08-18,26,whisky,whisky,pais;natal
2024-08-25,25,whisky,whisky,pais;natal
2024-09-01,26,whisky,whisky,pais;natal
2024-09-08,26,whisky,whisky,pais;natal
2024-09-15,24,whisky,whisky,pais;natal
2024-09-22,25,whisky,whisky,pais;natal
2024-09-29,23,whisky,whisky,pais;natal
2024-10-06,23,whisky,whisky,pais;natal
2024-10-13,25,whisky,whisky,pais;natal
2024-10-20,25,whisky,whisky,pais;natal
2024-10-27,25,whisky,whisky,pais;natal
2024-11-03,29,whisky,whisky,pais;natal
2024-11-10,29,whisky,whisky,pais;natal
2024-11-17,31,whisky,whisky,pais;natal
2024-11-24,34,whisky,whisky,pais;natal
2024-12-01,33,whisky,whisky,pais;natal
2024-12-08,37,whisky,whisky,pais;natal
2024-12-15,53,whisky,whisky,pais;natal
2024-12-22,70,whisky,whisky,pais;natal
2024-12-29,62,whisky,whisky,pais;natal
2025-01-05,32,whisky,whisky,pais;natal
2025-01-12,27,whisky,whisky,pais;natal
2025-01-19,27,whisky,whisky,pais;natal
2025-01-26,23,whisky,whisky,pais;natal
2025-02-02,24,whisky,whisky,pais;natal
2025-02-09,24,whisky,whisky,pais;natal
2025-02-16,23,whisky,whisky,pais;natal
2025-02-23,25,whisky,whisky,pais;natal
2025-03-02,28,whisky,whisky,pais;natal
2025-03-09,22,whisky,whisky,pais;natal
2025-03-16,24,whisky,whisky,pais;natal
2025-03-23,24,whisky,whisky,pais;natal
2025-03-30,22,whisky,whisky,pais;natal
2025-04-06,25,whisky,whisky,pais;natal
2025-04-13,29,whisky,whisky,pais;natal
2025-04-20,26,whisky,whisky,pais;natal
2025-04-27,28,whisky,whisky,pais;natal
2025-05-04,24,whisky,whisky,pais;natal
2025-05-11,23,whisky,whisky,pais;natal
2025-05-18,24,whisky,whisky,pais;natal
2025-05-25,26,whisky,whisky,pais;natal
2025-06-01,26,whisky,whisky,pais;natal
2025-06-08,29,whisky,whisky,pais;natal
2025-06-15,31,whisky,whisky,pais;natal
2025-06-22,29,whisky,whisky,pais;natal
2025-06-29,29,whisky,whisky,pais;natal
2025-07-06,27,whisky,whisky,pais;natal
2025-07-13,26,whisky,whisky,pais;natal
2025-07-20,28,whisky,whisky,pais;natal
2025-07-27,27,whisky,whisky,pais;natal
2025-08-03,28,whisky,whisky,pais;natal
2025-08-10,25,whisky,whisky,pais;natal
2025-08-17,25,whisky,whisky,pais;natal
2025-08-24,23,whisky,whisky,pais;natal
