data,indice,termo,categoria,datas_alvo
2023-04-30,65,refrigerante,refrigerante,verao;copa
2023-05-07,67,refrigerante,refrigerante,verao;copa
2023-05-14,68,refrigerante,refrigerante,verao;copa
2023-05-21,71,refrigerante,refrigerante,verao;copa
2023-05-28,76,refrigerante,refrigerante,verao;copa
2023-06-04,70,refrigerante,refrigerante,verao;copa
2023-06-11,68,refrigerante,refrigerante,verao;copa
2023-06-18,66,refrigerante,refrigerante,verao;copa
2023-06-25,75,refrigerante,refrigerante,verao;copa
2023-07-02,73,refrigerante,refrigerante,verao;copa
2023-07-09,73,refrigerante,refrigerante,verao;copa
2023-07-16,70,refrigerante,refrigerante,verao;copa
2023-07-23,68,refrigerante,refrigerante,verao;copa
2023-07-30,67,refrigerante,refrigerante,verao;copa
2023-08-06,70,refrigerante,refrigerante,verao;copa
2023-08-13,70,refrigerante,refrigerante,verao;copa
2023-08-20,73,refrigerante,refrigerante,verao;copa
2023-08-27,71,refrigerante,refrigerante,verao;copa
2023-09-03,72,refrigerante,refrigerante,verao;copa
2023-09-10,71,refrigerante,refrigerante,verao;copa
2023-09-17,80,refrigerante,refrigerante,verao;copa
2023-09-24,74,refrigerante,refrigerante,verao;copa
2023-10-01,76,refrigerante,refrigerante,verao;copa
2023-10-08,79,refrigerante,refrigerante,verao;copa
2023-10-15,73,refrigerante,refrigerante,verao;copa
2023-10-22,70,refrigerante,refrigerante,verao;copa
2023-10-29,71,refrigerante,refrigerante,verao;copa
2023-11-05,73,refrigerante,refrigerante,verao;copa
2023-11-12,84,refrigerante,refrigerante,verao;copa
2023-11-19,75,refrigerante,refrigerante,verao;copa
2023-11-26,73,refrigerante,refrigerante,verao;copa
2023-12-03,84,refrigerante,refrigerante,verao;copa
2023-12-10,82,refrigerante,refrigerante,verao;copa
2023-12-17,82,refrigerante,refrigerante,verao;copa
2023-12-24,90,refrigerante,refrigerante,verao;copa
2023-12-31,80,refrigerante,refrigerante,verao;copa
2024-01-07,73,refrigerante,refrigerante,verao;copa
2024-01-14,74,refrigerante,refrigerante,verao;copa
2024-01-21,69,refrigerante,refrigerante,verao;copa
2024-01-28,70,refrigerante,refrigerante,verao;copa
2024-02-04,70,refrigerante,refrigerante,verao;copa
2024-02-11,76,refrigerante,refrigerante,verao;copa
2024-02-18,72,refrigerante,refrigerante,verao;copa
2024-02-25,72,refrigerante,refrigerante,verao;copa
2024-03-03,81,refrigerante,refrigerante,verao;copa
2024-03-10,71,refrigerante,refrigerante,verao;copa
2024-03-17,71,refrigerante,refrigerante,verao;copa
2024-03-24,71,refrigerante,refrigerante,verao;copa
2024-03-31,70,refrigerante,refrigerante,verao;copa
2024-04-07,70,refrigerante,refrigerante,verao;copa
2024-04-14,72,refrigerante,refrigerante,verao;copa
2024-04-21,72,refrigerante,refrigerante,verao;copa
2024-04-28,74,refrigerante,refrigerante,verao;copa
2024-05-05,72,refrigerante,refrigerante,verao;copa
2024-05-12,74,refrigerante,refrigerante,verao;copa
2024-05-19,68,refrigerante,refrigerante,verao;copa
2024-05-26,65,refrigerante,refrigerante,verao;copa
2024-06-02,71,refrigerante,refrigerante,verao;copa
2024-06-09,71,refrigerante,refrigerante,verao;copa
2024-06-16,67,refrigerante,refrigerante,verao;copa
2024-06-23,70,refrigerante,refrigerante,verao;copa
2024-06-30,67,refrigerante,refrigerante,verao;copa
2024-07-07,67,refrigerante,refrigerante,verao;copa
2024-07-14,70,refrigerante,refrigerante,verao;copa
2024-07-21,66,refrigerante,refrigerante,verao;copa
2024-07-28,64,refrigerante,refrigerante,verao;copa
2024-08-04,70,refrigerante,refrigerante,verao;copa
2024-08-11,68,refrigerante,refrigerante,verao;copa
2024-08-18,72,refrigerante,refrigerante,verao;copa
2024-08-25,79,refrigerante,refrigerante,verao;copa
2024-09-01,74,refrigerante,refrigerante,verao;copa
2024-09-08,73,refrigerante,refrigerante,verao;copa
2024-09-15,73,refrigerante,refrigerante,verao;copa
