data,indice,termo,categoria,datas_alvo
2024-02-11,51,energético,energetico,cotidiano
2024-02-18,42,energético,energetico,cotidiano
2024-02-25,46,energético,energetico,cotidiano
2024-03-03,46,energético,energetico,cotidiano
2024-03-10,51,energético,energetico,cotidiano
2024-03-17,49,energético,energetico,cotidiano
2024-03-24,43,energético,energetico,cotidiano
2024-03-31,50,energético,energetico,cotidiano
2024-04-07,49,energético,energetico,cotidiano
2024-04-14,46,energético,energetico,cotidiano
2024-04-21,47,energético,energetico,cotidiano
2024-04-28,50,energético,energetico,cotidiano
2024-05-05,45,energético,energetico,cotidiano
2024-05-12,47,energético,energetico,cotidiano
2024-05-19,44,energético,energetico,cotidiano
2024-05-26,44,energético,energetico,cotidiano
2024-06-02,49,energético,energetico,cotidiano
2024-06-09,50,energético,energetico,cotidiano
2024-06-16,49,energético,energetico,cotidiano
2024-06-23,47,energético,energetico,cotidiano
2024-06-30,44,energético,energetico,cotidiano
2024-07-07,41,energético,energetico,cotidiano
2024-07-14,45,energético,energetico,cotidiano
2024-07-21,42,energético,energetico,cotidiano
2024-07-28,40,energético,energetico,cotidiano
2024-08-04,48,energético,energetico,cotidiano
2024-08-11,48,energético,energetico,cotidiano
2024-08-18,47,energético,energetico,cotidiano
2024-08-25,48,energético,energetico,cotidiano
2024-09-01,53,energético,energetico,cotidiano
2024-09-08,58,energético,energetico,cotidiano
2024-09-15,51,energético,energetico,cotidiano
2024-09-22,53,energético,energetico,cotidiano
2024-09-29,49,energético,energetico,cotidiano
2024-10-06,49,energético,energetico,cotidiano
2024-10-13,51,energético,energetico,cotidiano
2024-10-20,51,energético,energetico,cotidiano
2024-10-27,55,energético,energetico,cotidiano
2024-11-03,51,energético,energetico,cotidiano
2024-11-10,57,energético,energetico,cotidiano
2024-11-17,56,energético,energetico,cotidiano
2024-11-24,54,energético,energetico,cotidiano
2024-12-01,54,energético,energetico,cotidiano
2024-12-08,55,energético,energetico,cotidiano
2024-12-15,55,energético,energetico,cotidiano
2024-12-22,73,energético,energetico,cotidiano
2024-12-29,86,energético,energetico,cotidiano
2025-01-05,49,energético,energetico,cotidiano
2025-01-12,49,energético,energetico,cotidiano
2025-01-19,50,energético,energetico,cotidiano
2025-01-26,43,energético,energetico,cotidiano
2025-02-02,45,energético,energetico,cotidiano
2025-02-09,51,energético,energetico,cotidiano
2025-02-16,52,energético,energetico,cotidiano
2025-02-23,62,energético,energetico,cotidiano
2025-03-02,65,energético,energetico,cotidiano
2025-03-09,52,energético,energetico,cotidiano
2025-03-16,52,energético,energetico,cotidiano
2025-03-23,53,energético,energetico,cotidiano
2025-03-30,51,energético,energetico,cotidiano
2025-04-06,54,energético,energetico,cotidiano
2025-04-13,48,energético,energetico,cotidiano
2025-04-20,45,energético,energetico,cotidiano
2025-04-27,47,energético,energetico,cotidiano
2025-05-04,45,energético,energetico,cotidiano
2025-05-11,47,energético,energetico,cotidiano
2025-05-18,45,energético,energetico,cotidiano
2025-05-25,46,energético,energetico,cotidiano
2025-06-01,52,energético,energetico,cotidiano
2025-06-08,51,energético,energetico,cotidiano
2025-06-15,56,energético,energetico,cotidiano
2025-06-22,44,energético,energetico,cotidiano
2025-06-29,45,energético,energetico,cotidiano
2025-07-06,48,energético,energetico,cotidiano
2025-07-13,46,energético,energetico,cotidiano
2025-07-20,45,energético,energetico,cotidiano
2025-07-27,45,energético,energetico,cotidiano
2025-08-03,48,energético,energetico,cotidiano
2025-08-10,53,energético,energetico,cotidiano
2025-08-17,54,energético,energetico,cotidiano
2025-08-24,53,energético,energetico,cotidiano
2025-08-31,60,energético,energetico,cotidiano
2025-09-07,57,energético,energetico,cotidiano
2025-09-14,57,energético,energetico,cotidiano
2025-09-21,56,energético,energetico,cotidiano
2025-09-28,57,energético,energetico,cotidiano
2025-10-05,54,energético,energetico,cotidiano
2025-10-12,52,energético,energetico,cotidiano
2025-10-19,52,energético,energetico,cotidiano
2025-10-26,50,energético,energetico,cotidiano
2025-11-02,52,energético,energetico,cotidiano
2025-11-09,62,energético,energetico,cotidiano
2025-11-16,59,energético,energetico,cotidiano
2025-11-23,54,energético,energetico,cotidiano
2025-11-30,63,energético,energetico,cotidiano
2025-12-07,57,energético,energetico,cotidiano
2025-12-14,56,energético,energetico,cotidiano
2025-12-21,89,energético,energetico,cotidiano
2025-12-28,100,energético,energetico,cotidiano
2026-01-04,66,energético,energetico,cotidiano
2026-01-11,71,energético,energetico,cotidiano
2026-01-18,74,energético,energetico,cotidiano
2026-01-25,76,energético,energetico,cotidiano
2026-02-01,75,energético,energetico,cotidiano
2026-02-08,87,energético,energetico,cotidiano
2026-02-15,92,energético,energetico,cotidiano
2026-02-22,79,energético,energetico,cotidiano
2026-03-01,72,energético,energetico,cotidiano
2026-03-08,70,energético,energetico,cotidiano
2026-03-15,72,energético,energetico,cotidiano
2026-03-22,81,energético,energetico,cotidiano
2026-03-29,71,energético,energetico,cotidiano
2026-04-05,65,energético,energetico,cotidiano
2026-04-12,68,energético,energetico,cotidiano
2026-04-19,68,energético,energetico,cotidiano
2026-04-26,65,energético,energetico,cotidiano
2026-05-03,66,energético,energetico,cotidiano
2026-05-10,56,energético,energetico,cotidiano
