data,indice,termo,categoria,datas_alvo
2023-05-21,12,espumante,espumante,reveillon;namorados
2023-05-28,12,espumante,espumante,reveillon;namorados
2023-06-04,14,espumante,espumante,reveillon;namorados
2023-06-11,14,espumante,espumante,reveillon;namorados
2023-06-18,10,espumante,espumante,reveillon;namorados
2023-06-25,11,espumante,espumante,reveillon;namorados
2023-07-02,12,espumante,espumante,reveillon;namorados
2023-07-09,12,espumante,espumante,reveillon;namorados
2023-07-16,12,espumante,espumante,reveillon;namorados
2023-07-23,12,espumante,espumante,reveillon;namorados
2023-07-30,12,espumante,espumante,reveillon;namorados
2023-08-06,12,espumante,espumante,reveillon;namorados
2023-08-13,12,espumante,espumante,reveillon;namorados
2023-08-20,12,espumante,espumante,reveillon;namorados
2023-08-27,11,espumante,espumante,reveillon;namorados
2023-09-03,13,espumante,espumante,reveillon;namorados
2023-09-10,11,espumante,espumante,reveillon;namorados
2023-09-17,13,espumante,espumante,reveillon;namorados
2023-09-24,13,espumante,espumante,reveillon;namorados
2023-10-01,13,espumante,espumante,reveillon;namorados
2023-10-08,13,espumante,espumante,reveillon;namorados
2023-10-15,13,espumante,espumante,reveillon;namorados
2023-10-22,15,espumante,espumante,reveillon;namorados
2023-10-29,16,espumante,espumante,reveillon;namorados
2023-11-05,17,espumante,espumante,reveillon;namorados
2023-11-12,20,espumante,espumante,reveillon;namorados
2023-11-19,25,espumante,espumante,reveillon;namorados
2023-11-26,25,espumante,espumante,reveillon;namorados
2023-12-03,32,espumante,espumante,reveillon;namorados
2023-12-10,41,espumante,espumante,reveillon;namorados
2023-12-17,63,espumante,espumante,reveillon;namorados
2023-12-24,90,espumante,espumante,reveillon;namorados
2023-12-31,53,espumante,espumante,reveillon;namorados
2024-01-07,19,espumante,espumante,reveillon;namorados
2024-01-14,15,espumante,espumante,reveillon;namorados
2024-01-21,13,espumante,espumante,reveillon;namorados
2024-01-28,13,espumante,espumante,reveillon;namorados
2024-02-04,12,espumante,espumante,reveillon;namorados
2024-02-11,13,espumante,espumante,reveillon;namorados
2024-02-18,11,espumante,espumante,reveillon;namorados
2024-02-25,11,espumante,espumante,reveillon;namorados
2024-03-03,11,espumante,espumante,reveillon;namorados
2024-03-10,11,espumante,espumante,reveillon;namorados
2024-03-17,11,espumante,espumante,reveillon;namorados
2024-03-24,12,espumante,espumante,reveillon;namorados
2024-03-31,11,espumante,espumante,reveillon;namorados
2024-04-07,11,espumante,espumante,reveillon;namorados
2024-04-14,10,espumante,espumante,reveillon;namorados
2024-04-21,10,espumante,espumante,reveillon;namorados
2024-04-28,11,espumante,espumante,reveillon;namorados
2024-05-05,10,espumante,espumante,reveillon;namorados
2024-05-12,11,espumante,espumante,reveillon;namorados
2024-05-19,10,espumante,espumante,reveillon;namorados
2024-05-26,11,espumante,espumante,reveillon;namorados
2024-06-02,11,espumante,espumante,reveillon;namorados
2024-06-09,16,espumante,espumante,reveillon;namorados
2024-06-16,11,espumante,espumante,reveillon;namorados
2024-06-23,10,espumante,espumante,reveillon;namorados
2024-06-30,11,espumante,espumante,reveillon;namorados
2024-07-07,12,espumante,espumante,reveillon;namorados
2024-07-14,13,espumante,espumante,reveillon;namorados
2024-07-21,11,espumante,espumante,reveillon;namorados
2024-07-28,12,espumante,espumante,reveillon;namorados
2024-08-04,11,espumante,espumante,reveillon;namorados
2024-08-11,11,espumante,espumante,reveillon;namorados
2024-08-18,12,espumante,espumante,reveillon;namorados
2024-08-25,12,espumante,espumante,reveillon;namorados
2024-09-01,13,espumante,espumante,reveillon;namorados
2024-09-08,12,espumante,espumante,reveillon;namorados
2024-09-15,13,espumante,espumante,reveillon;namorados
2024-09-22,13,espumante,espumante,reveillon;namorados
2024-09-29,12,espumante,espumante,reveillon;namorados
2024-10-06,12,espumante,espumante,reveillon;namorados
2024-10-13,14,espumante,espumante,reveillon;namorados
2024-10-20,15,espumante,espumante,reveillon;namorados
2024-10-27,16,espumante,espumante,reveillon;namorados
2024-11-03,18,espumante,espumante,reveillon;namorados
2024-11-10,22,espumante,espumante,reveillon;namorados
2024-11-17,23,espumante,espumante,reveillon;namorados
2024-11-24,32,espumante,espumante,reveillon;namorados
2024-12-01,33,espumante,espumante,reveillon;namorados
2024-12-08,40,espumante,espumante,reveillon;namorados
2024-12-15,57,espumante,espumante,reveillon;namorados
2024-12-22,76,espumante,espumante,reveillon;namorados
2024-12-29,87,espumante,espumante,reveillon;namorados
2025-01-05,20,espumante,espumante,reveillon;namorados
2025-01-12,18,espumante,espumante,reveillon;namorados
2025-01-19,17,espumante,espumante,reveillon;namorados
2025-01-26,14,espumante,espumante,reveillon;namorados
2025-02-02,14,espumante,espumante,reveillon;namorados
2025-02-09,13,espumante,espumante,reveillon;namorados
2025-02-16,12,espumante,espumante,reveillon;namorados
